OnlineSecurity,tenure_bins,Partner,TechSupport,monthly_charges_bins,OnlineBackup,PhoneService,StreamingTV,gender,MultipleLines,InternetService,SeniorCitizen,DeviceProtection,PaymentMethod,PaperlessBilling,Dependents,Contract,StreamingMovies,original_customer_count,original_churn_sum,original_customer_ratio,original_churn_ratio,new_customer_count_float,new_customer_count_int,new_customer_optimized,new_churn_customers
No internet service,"(-0.073, 7.2]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Electronic check,No,No,Month-to-month,No internet service,6,3,0.0008519096975720574,0.05,5.939514411472384,6.0,5,0
No internet service,"(-0.073, 7.2]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Electronic check,Yes,No,Month-to-month,No internet service,6,1,0.0008519096975720574,0.016666666666666666,5.939514411472384,6.0,5,0
No internet service,"(64.8, 72.0]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,Yes,No,No,No internet service,Bank transfer (automatic),No,Yes,Two year,No internet service,6,0,0.0008519096975720574,0.0,5.939514411472384,6.0,5,0
No internet service,"(57.6, 64.8]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Credit card (automatic),No,Yes,Two year,No internet service,6,0,0.0008519096975720574,0.0,5.939514411472384,6.0,5,0
No internet service,"(7.2, 14.4]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Mailed check,Yes,No,Month-to-month,No internet service,6,0,0.0008519096975720574,0.0,5.939514411472384,6.0,5,0
No internet service,"(64.8, 72.0]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,Yes,No,No,No internet service,Credit card (automatic),No,No,Two year,No internet service,6,0,0.0008519096975720574,0.0,5.939514411472384,6.0,5,0
No,"(-0.073, 7.2]",No,No,"(68.5, 78.55]",No,Yes,No,Female,Yes,Fiber optic,No,No,Electronic check,No,No,Month-to-month,No,6,4,0.0008519096975720574,0.06666666666666667,5.939514411472384,6.0,5,0
No internet service,"(14.4, 21.6]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Mailed check,No,No,One year,No internet service,6,0,0.0008519096975720574,0.0,5.939514411472384,6.0,5,0
No,"(-0.073, 7.2]",No,No,"(48.4, 58.45]",No,Yes,No,Female,No,DSL,No,No,Electronic check,Yes,No,Month-to-month,Yes,5,3,0.0007099247479767144,0.06,4.949595342893653,5.0,4,0
No,"(-0.073, 7.2]",No,No,"(88.6, 98.65]",No,Yes,Yes,Male,Yes,Fiber optic,Yes,No,Electronic check,Yes,No,Month-to-month,Yes,5,4,0.0007099247479767144,0.08000000000000002,4.949595342893653,5.0,4,0
Yes,"(64.8, 72.0]",Yes,Yes,"(88.6, 98.65]",Yes,Yes,Yes,Male,Yes,DSL,No,Yes,Credit card (automatic),No,Yes,Two year,Yes,5,0,0.0007099247479767144,0.0,4.949595342893653,5.0,4,0
No internet service,"(7.2, 14.4]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Mailed check,No,No,One year,No internet service,5,0,0.0007099247479767144,0.0,4.949595342893653,5.0,4,0
Yes,"(-0.073, 7.2]",No,No,"(48.4, 58.45]",No,Yes,No,Male,No,DSL,No,No,Mailed check,Yes,No,Month-to-month,No,5,2,0.0007099247479767144,0.04000000000000001,4.949595342893653,5.0,4,0
No,"(-0.073, 7.2]",No,No,"(78.55, 88.6]",No,Yes,No,Male,Yes,Fiber optic,No,No,Electronic check,Yes,No,Month-to-month,Yes,5,5,0.0007099247479767144,0.1,4.949595342893653,5.0,4,0
No internet service,"(-0.073, 7.2]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Mailed check,No,Yes,Two year,No internet service,5,0,0.0007099247479767144,0.0,4.949595342893653,5.0,4,0
No internet service,"(64.8, 72.0]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,Yes,No,No,No internet service,Mailed check,No,Yes,Two year,No internet service,5,0,0.0007099247479767144,0.0,4.949595342893653,5.0,4,0
No,"(-0.073, 7.2]",No,No,"(88.6, 98.65]",No,Yes,Yes,Female,Yes,Fiber optic,No,No,Electronic check,Yes,No,Month-to-month,Yes,5,5,0.0007099247479767144,0.1,4.949595342893653,5.0,4,0
No,"(-0.073, 7.2]",No,No,"(38.35, 48.4]",No,Yes,No,Male,No,DSL,No,No,Bank transfer (automatic),Yes,No,Month-to-month,No,5,1,0.0007099247479767144,0.020000000000000004,4.949595342893653,5.0,4,0
No internet service,"(43.2, 50.4]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Mailed check,No,Yes,Two year,No internet service,5,0,0.0007099247479767144,0.0,4.949595342893653,5.0,5,0
No internet service,"(21.6, 28.8]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Mailed check,No,No,One year,No internet service,5,0,0.0007099247479767144,0.0,4.949595342893653,5.0,5,0
Yes,"(64.8, 72.0]",Yes,Yes,"(108.7, 118.75]",Yes,Yes,Yes,Male,Yes,Fiber optic,No,Yes,Credit card (automatic),Yes,Yes,Two year,Yes,5,0,0.0007099247479767144,0.0,4.949595342893653,5.0,5,0
No internet service,"(64.8, 72.0]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,Yes,No,No,No internet service,Bank transfer (automatic),No,No,Two year,No internet service,5,0,0.0007099247479767144,0.0,4.949595342893653,5.0,5,0
No,"(-0.073, 7.2]",No,No,"(68.5, 78.55]",No,Yes,No,Female,No,Fiber optic,No,No,Mailed check,No,No,Month-to-month,No,5,4,0.0007099247479767144,0.08000000000000002,4.949595342893653,5.0,5,0
Yes,"(64.8, 72.0]",Yes,Yes,"(108.7, 118.75]",Yes,Yes,Yes,Male,Yes,Fiber optic,No,Yes,Bank transfer (automatic),Yes,Yes,Two year,Yes,5,0,0.0007099247479767144,0.0,4.949595342893653,5.0,5,0
No internet service,"(43.2, 50.4]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Bank transfer (automatic),No,Yes,Two year,No internet service,5,0,0.0007099247479767144,0.0,4.949595342893653,5.0,5,0
No internet service,"(7.2, 14.4]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Mailed check,No,Yes,Two year,No internet service,5,0,0.0007099247479767144,0.0,4.949595342893653,5.0,5,0
No internet service,"(64.8, 72.0]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Bank transfer (automatic),No,No,Two year,No internet service,5,0,0.0007099247479767144,0.0,4.949595342893653,5.0,5,0
No internet service,"(14.4, 21.6]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Mailed check,No,No,One year,No internet service,5,0,0.0007099247479767144,0.0,4.949595342893653,5.0,5,0
No internet service,"(57.6, 64.8]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Mailed check,No,Yes,Two year,No internet service,5,0,0.0007099247479767144,0.0,4.949595342893653,5.0,5,0
No internet service,"(64.8, 72.0]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Credit card (automatic),No,Yes,Two year,No internet service,5,0,0.0007099247479767144,0.0,4.949595342893653,5.0,5,0
No,"(-0.073, 7.2]",No,No,"(68.5, 78.55]",No,Yes,No,Male,No,Fiber optic,No,No,Mailed check,Yes,No,Month-to-month,No,5,2,0.0007099247479767144,0.04000000000000001,4.949595342893653,5.0,5,0
No,"(-0.073, 7.2]",No,No,"(68.5, 78.55]",No,Yes,No,Male,No,Fiber optic,Yes,No,Electronic check,Yes,No,Month-to-month,No,5,3,0.0007099247479767144,0.06,4.949595342893653,5.0,5,0
No internet service,"(28.8, 36.0]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Mailed check,No,Yes,Two year,No internet service,5,0,0.0007099247479767144,0.0,4.949595342893653,5.0,5,0
No internet service,"(7.2, 14.4]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Credit card (automatic),No,No,Month-to-month,No internet service,5,0,0.0007099247479767144,0.0,4.949595342893653,5.0,5,0
No internet service,"(57.6, 64.8]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Credit card (automatic),No,Yes,Two year,No internet service,5,0,0.0007099247479767144,0.0,4.949595342893653,5.0,5,0
No internet service,"(7.2, 14.4]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Bank transfer (automatic),No,No,Month-to-month,No internet service,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
No internet service,"(64.8, 72.0]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Credit card (automatic),No,Yes,Two year,No internet service,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
No internet service,"(64.8, 72.0]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Credit card (automatic),No,No,Two year,No internet service,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
No,"(-0.073, 7.2]",No,No,"(68.5, 78.55]",No,Yes,No,Female,Yes,Fiber optic,Yes,No,Electronic check,Yes,No,Month-to-month,No,4,2,0.0005679397983813716,0.05,3.9596762743149228,4.0,4,0
No internet service,"(21.6, 28.8]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Credit card (automatic),No,No,One year,No internet service,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
No internet service,"(28.8, 36.0]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Mailed check,No,Yes,Two year,No internet service,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
No internet service,"(7.2, 14.4]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Mailed check,No,No,One year,No internet service,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
Yes,"(64.8, 72.0]",Yes,Yes,"(88.6, 98.65]",Yes,Yes,Yes,Male,Yes,DSL,No,Yes,Credit card (automatic),Yes,No,Two year,Yes,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
No internet service,"(14.4, 21.6]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Mailed check,Yes,No,One year,No internet service,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
No,"(14.4, 21.6]",No,No,"(68.5, 78.55]",No,Yes,No,Female,No,Fiber optic,No,No,Electronic check,Yes,No,Month-to-month,No,4,1,0.0005679397983813716,0.025,3.9596762743149228,4.0,4,0
No internet service,"(50.4, 57.6]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Mailed check,No,No,Two year,No internet service,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
No internet service,"(64.8, 72.0]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,Yes,No,No,No internet service,Bank transfer (automatic),Yes,Yes,Two year,No internet service,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
No internet service,"(64.8, 72.0]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,Yes,No,No,No internet service,Bank transfer (automatic),No,No,Two year,No internet service,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
Yes,"(64.8, 72.0]",Yes,Yes,"(88.6, 98.65]",Yes,Yes,Yes,Female,Yes,DSL,No,Yes,Credit card (automatic),No,Yes,Two year,Yes,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
No internet service,"(14.4, 21.6]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Mailed check,No,No,Two year,No internet service,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
No,"(-0.073, 7.2]",No,No,"(88.6, 98.65]",No,Yes,Yes,Female,No,Fiber optic,Yes,No,Electronic check,Yes,No,Month-to-month,Yes,4,2,0.0005679397983813716,0.05,3.9596762743149228,4.0,4,0
No,"(-0.073, 7.2]",Yes,No,"(68.5, 78.55]",No,Yes,No,Male,Yes,Fiber optic,Yes,No,Electronic check,Yes,No,Month-to-month,No,4,2,0.0005679397983813716,0.05,3.9596762743149228,4.0,4,0
No internet service,"(-0.073, 7.2]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Mailed check,No,No,One year,No internet service,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
No,"(-0.073, 7.2]",No,No,"(18.148999999999997, 28.3]",No,No,No,Female,No phone service,DSL,No,No,Electronic check,No,No,Month-to-month,No,4,2,0.0005679397983813716,0.05,3.9596762743149228,4.0,4,0
No internet service,"(14.4, 21.6]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Credit card (automatic),No,No,One year,No internet service,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
No internet service,"(21.6, 28.8]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Mailed check,No,Yes,One year,No internet service,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
No internet service,"(-0.073, 7.2]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,No,No,No,No internet service,Credit card (automatic),Yes,No,Month-to-month,No internet service,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
No internet service,"(14.4, 21.6]",No,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Female,No,No,No,No internet service,Mailed check,No,No,Month-to-month,No internet service,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
No internet service,"(43.2, 50.4]",Yes,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,No internet service,Male,Yes,No,No,No internet service,Mailed check,No,Yes,Two year,No internet service,4,0,0.0005679397983813716,0.0,3.9596762743149228,4.0,4,0
