,Churn,0
437,True,True
438,False,False
439,False,False
440,False,False
441,False,False
442,True,False
443,True,True
444,False,False
445,False,False
446,False,False
447,False,False
448,False,False
449,False,False
450,False,False
451,False,False
452,False,False
453,False,False
454,False,False
455,False,False
456,False,False
457,False,False
458,True,True
459,False,False
460,False,True
461,False,False
462,True,True
463,True,False
464,False,False
465,False,False
466,False,False
467,True,False
468,True,False
469,False,False
470,True,True
471,False,False
472,False,False
473,False,False
474,False,False
475,False,False
476,False,False
477,True,True
478,False,True
479,True,False
480,True,True
481,False,False
482,False,False
483,False,False
484,True,True
485,False,False
486,False,False
487,False,False
488,False,False
489,False,False
490,True,False
491,False,False
492,True,True
493,False,False
494,False,False
495,False,False
496,False,False
497,False,False
498,False,False
499,False,True
500,True,True
501,False,False
502,True,False
503,False,False
504,True,False
505,False,False
506,True,False
507,False,False
508,False,False
509,False,False
510,False,False
511,False,False
512,False,False
513,False,False
514,False,False
515,False,False
516,False,True
517,False,False
518,True,False
519,False,False
520,True,False
521,False,False
522,True,False
523,False,False
524,False,False
525,False,False
526,False,False
527,True,False
528,False,False
529,True,False
530,False,False
531,False,False
532,False,False
533,False,True
534,False,False
535,False,False
536,False,False
537,True,False
538,False,False
539,False,False
540,False,False
541,False,False
542,True,True
543,False,False
544,True,False
545,False,False
546,False,False
547,False,False
548,False,False
549,False,False
550,False,False
551,False,False
552,False,False
553,False,False
554,False,False
555,True,False
556,False,False
557,False,False
558,True,True
559,False,False
560,False,False
561,False,False
562,False,False
563,True,False
564,True,True
565,False,False
566,False,False
567,False,False
568,False,True
569,False,False
570,False,False
571,False,False
572,False,False
573,True,False
574,False,False
575,False,False
576,False,False
577,True,True
578,False,False
579,False,False
580,True,False
581,False,True
582,False,False
583,False,True
584,True,True
585,False,False
586,False,False
587,False,False
588,False,False
589,False,False
590,False,False
591,True,True
592,True,False
593,False,False
594,False,False
595,False,False
596,False,False
597,False,False
598,True,True
599,False,False
600,False,False
601,False,False
602,False,False
603,True,True
604,False,False
605,False,False
606,False,False
607,False,False
608,False,False
609,False,False
610,False,False
611,True,False
612,True,False
613,True,False
614,False,False
615,False,False
616,False,False
617,False,False
618,True,False
619,False,False
620,True,True
621,False,False
622,False,False
623,False,False
624,False,False
625,False,False
626,False,False
627,False,False
628,True,True
629,True,True
630,False,False
631,False,False
632,False,False
633,False,True
634,False,False
635,False,False
636,False,False
637,False,False
638,True,False
639,False,False
640,False,False
641,False,False
642,False,False
643,False,False
644,False,False
645,False,False
646,False,True
647,True,False
648,True,True
649,False,False
650,False,False
651,True,True
652,False,False
653,False,False
654,True,True
655,False,False
656,False,True
657,True,False
658,False,True
659,False,True
660,True,False
661,False,False
662,False,False
663,False,False
664,False,False
665,False,False
666,False,False
667,False,False
668,False,False
669,False,False
670,False,False
671,False,True
672,True,True
673,False,False
674,False,False
675,False,False
676,False,False
677,True,False
678,True,True
679,False,False
680,False,True
681,False,False
682,False,False
683,False,False
684,False,False
685,True,True
686,True,True
687,False,False
688,False,False
689,False,False
690,False,False
691,False,False
692,True,True
693,True,True
694,True,False
695,False,False
696,False,False
697,True,True
698,False,False
699,False,False
700,False,False
701,False,False
702,True,False
703,False,True
