TechSupport,Dependents,StreamingMovies,PaymentMethod,OnlineBackup,OnlineSecurity,monthly_charges_bins,PhoneService,InternetService,MultipleLines,gender,Partner,SeniorCitizen,StreamingTV,PaperlessBilling,tenure_bins,Contract,DeviceProtection,customerID,Churn
No,No,Yes,Credit card (automatic),Yes,Yes,"(108.7, 118.75]",Yes,Fiber optic,Yes,Female,Yes,No,Yes,Yes,"(57.6, 64.8]",One year,Yes,d8b334fa-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,Yes,"(21.6, 28.8]",Month-to-month,No internet service,e7f66fd6-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(38.35, 48.4]",Yes,DSL,No,Female,No,No,No,No,"(-0.073, 7.2]",Month-to-month,No,d7f81954-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,Yes,No,"(78.55, 88.6]",Yes,Fiber optic,Yes,Male,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d8994fae-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Electronic check,Yes,No,"(108.7, 118.75]",Yes,Fiber optic,Yes,Female,Yes,No,Yes,No,"(50.4, 57.6]",One year,Yes,de385fcc-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(78.55, 88.6]",Yes,Fiber optic,Yes,Male,No,No,No,Yes,"(21.6, 28.8]",Month-to-month,Yes,d8c75e08-82c9-11ec-954a-acde48001122,0
Yes,Yes,Yes,Bank transfer (automatic),No,Yes,"(78.55, 88.6]",Yes,DSL,Yes,Female,Yes,No,Yes,Yes,"(64.8, 72.0]",Two year,Yes,d9ca6912-82c9-11ec-954a-acde48001122,0
No,No,Yes,Bank transfer (automatic),Yes,Yes,"(38.35, 48.4]",No,DSL,No phone service,Male,No,No,No,No,"(50.4, 57.6]",Two year,No,e3ea7de2-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Electronic check,Yes,No,"(88.6, 98.65]",Yes,Fiber optic,No,Male,No,No,Yes,Yes,"(28.8, 36.0]",Month-to-month,No,e796aa42-82c9-11ec-954a-acde48001122,0
No,No,Yes,Bank transfer (automatic),No,No,"(28.3, 38.35]",No,DSL,No phone service,Male,No,Yes,No,Yes,"(21.6, 28.8]",Month-to-month,No,e23644d6-82c9-11ec-954a-acde48001122,0
Yes,No,No,Electronic check,No,No,"(58.45, 68.5]",Yes,DSL,Yes,Female,No,No,Yes,No,"(-0.073, 7.2]",Month-to-month,No,dae3c640-82c9-11ec-954a-acde48001122,0
No,No,Yes,Mailed check,No,No,"(28.3, 38.35]",No,DSL,No phone service,Female,No,No,No,No,"(-0.073, 7.2]",Month-to-month,No,ea2ddc8a-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Credit card (automatic),No,No,"(58.45, 68.5]",Yes,DSL,No,Female,Yes,No,No,No,"(50.4, 57.6]",One year,Yes,e84c98de-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,No,No,No internet service,Yes,"(36.0, 43.2]",One year,No internet service,dcf36788-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,No,No,"(78.55, 88.6]",Yes,Fiber optic,Yes,Female,Yes,No,No,Yes,"(21.6, 28.8]",Month-to-month,Yes,e1d660a2-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Credit card (automatic),No,Yes,"(68.5, 78.55]",Yes,DSL,Yes,Male,Yes,No,Yes,Yes,"(64.8, 72.0]",Two year,No,e0cfbc44-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,Yes,Female,No,No,No internet service,No,"(57.6, 64.8]",Two year,No internet service,d9094c96-82c9-11ec-954a-acde48001122,0
Yes,No,No,Electronic check,No,No,"(48.4, 58.45]",Yes,DSL,No,Male,No,Yes,No,Yes,"(50.4, 57.6]",One year,Yes,dae21174-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,No,Yes,"(48.4, 58.45]",Yes,DSL,Yes,Female,No,No,No,No,"(28.8, 36.0]",One year,No,e1e3701c-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,Yes,No,No internet service,No,"(7.2, 14.4]",Two year,No internet service,d80e4d64-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,No,"(50.4, 57.6]",Two year,No internet service,d93c3412-82c9-11ec-954a-acde48001122,0
No,No,No,Credit card (automatic),No,No,"(68.5, 78.55]",Yes,Fiber optic,Yes,Male,No,No,No,Yes,"(36.0, 43.2]",Month-to-month,No,d9d5a638-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,No,No,No internet service,No,"(28.8, 36.0]",One year,No internet service,d86ac2e2-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,No,"(88.6, 98.65]",Yes,Fiber optic,No,Female,No,No,Yes,No,"(-0.073, 7.2]",Month-to-month,No,d869e5a2-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(78.55, 88.6]",Yes,Fiber optic,No,Male,Yes,No,Yes,Yes,"(7.2, 14.4]",Month-to-month,No,e54c242e-82c9-11ec-954a-acde48001122,0
Yes,No,No,Mailed check,Yes,No,"(88.6, 98.65]",Yes,Fiber optic,No,Male,No,No,Yes,No,"(28.8, 36.0]",Month-to-month,No,dfe938f0-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Bank transfer (automatic),Yes,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Male,Yes,No,Yes,No,"(64.8, 72.0]",Two year,No,e83f27a8-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,Yes,No,No internet service,No,"(14.4, 21.6]",One year,No internet service,d988a27a-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Male,No,No,Yes,Yes,"(36.0, 43.2]",Month-to-month,No,d96adbe6-82c9-11ec-954a-acde48001122,0
Yes,No,No,Electronic check,No,Yes,"(48.4, 58.45]",Yes,DSL,No,Male,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,db3f724c-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,No,"(-0.073, 7.2]",Month-to-month,No internet service,d7c7dbcc-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,No,"(48.4, 58.45]",No,DSL,No phone service,Female,No,No,Yes,Yes,"(36.0, 43.2]",Month-to-month,Yes,e97d8970-82c9-11ec-954a-acde48001122,0
No,Yes,No,Credit card (automatic),No,No,"(68.5, 78.55]",Yes,Fiber optic,Yes,Male,No,No,No,No,"(43.2, 50.4]",Month-to-month,No,e7113a56-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(48.4, 58.45]",Yes,DSL,No,Male,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,Yes,d9d84870-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,No,No,"(18.148999999999997, 28.3]",No,DSL,No phone service,Female,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d835c858-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Bank transfer (automatic),No,Yes,"(78.55, 88.6]",Yes,DSL,No,Female,No,No,Yes,No,"(43.2, 50.4]",Two year,Yes,e00dab86-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Credit card (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,No,"(28.8, 36.0]",Month-to-month,No internet service,dcbb41fa-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Electronic check,Yes,Yes,"(108.7, 118.75]",Yes,Fiber optic,Yes,Male,Yes,No,Yes,No,"(57.6, 64.8]",Two year,Yes,df6d198c-82c9-11ec-954a-acde48001122,0
No,Yes,No,Electronic check,Yes,Yes,"(78.55, 88.6]",Yes,Fiber optic,Yes,Female,Yes,No,No,Yes,"(50.4, 57.6]",Month-to-month,No,e68cb6d2-82c9-11ec-954a-acde48001122,0
No,No,Yes,Bank transfer (automatic),No,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Female,No,No,Yes,Yes,"(57.6, 64.8]",One year,No,e3cc6cee-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Electronic check,Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Male,Yes,Yes,Yes,No,"(36.0, 43.2]",Month-to-month,No,e819a37a-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,Yes,"(68.5, 78.55]",Yes,Fiber optic,No,Female,Yes,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,e59a7868-82c9-11ec-954a-acde48001122,0
Yes,No,No,Bank transfer (automatic),Yes,No,"(58.45, 68.5]",Yes,DSL,Yes,Male,No,Yes,No,No,"(43.2, 50.4]",Two year,No,da0c64ca-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Male,No,No,Yes,Yes,"(50.4, 57.6]",Month-to-month,Yes,eb0e2a06-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Credit card (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,No,No,No internet service,No,"(14.4, 21.6]",Month-to-month,No internet service,d87975b2-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Credit card (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,No,"(57.6, 64.8]",Two year,No internet service,dcdeabf4-82c9-11ec-954a-acde48001122,0
Yes,No,No,Electronic check,Yes,No,"(88.6, 98.65]",Yes,Fiber optic,Yes,Female,No,No,No,No,"(7.2, 14.4]",Month-to-month,Yes,e0767256-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,Yes,No,No internet service,Yes,"(50.4, 57.6]",Two year,No internet service,d9298754-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Bank transfer (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,Yes,No,No internet service,No,"(14.4, 21.6]",One year,No internet service,d88b8310-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Female,No,No,No internet service,No,"(14.4, 21.6]",Month-to-month,No internet service,d834e546-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Bank transfer (automatic),Yes,Yes,"(78.55, 88.6]",Yes,DSL,No,Male,Yes,Yes,Yes,Yes,"(50.4, 57.6]",Two year,Yes,e18f4302-82c9-11ec-954a-acde48001122,0
No,No,Yes,Credit card (automatic),No,Yes,"(48.4, 58.45]",No,DSL,No phone service,Male,Yes,No,Yes,No,"(28.8, 36.0]",One year,Yes,e3796ecc-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Bank transfer (automatic),Yes,No,"(78.55, 88.6]",Yes,DSL,Yes,Male,Yes,No,Yes,No,"(64.8, 72.0]",Two year,Yes,e1711620-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,No,"(88.6, 98.65]",Yes,Fiber optic,No,Female,No,Yes,Yes,Yes,"(-0.073, 7.2]",Month-to-month,No,d83253b2-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Electronic check,Yes,Yes,"(108.7, 118.75]",Yes,Fiber optic,No,Female,No,No,Yes,Yes,"(64.8, 72.0]",Two year,Yes,de1bb98a-82c9-11ec-954a-acde48001122,0
No,No,Yes,Bank transfer (automatic),Yes,No,"(88.6, 98.65]",Yes,Fiber optic,No,Female,Yes,No,Yes,Yes,"(14.4, 21.6]",Month-to-month,No,e40cf548-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Male,No,No,Yes,No,"(21.6, 28.8]",One year,No,eb0b7752-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Mailed check,No,Yes,"(58.45, 68.5]",Yes,DSL,No,Female,No,No,No,Yes,"(57.6, 64.8]",Two year,No,df532b26-82c9-11ec-954a-acde48001122,0
No,Yes,No,Electronic check,No,No,"(48.4, 58.45]",Yes,DSL,Yes,Male,Yes,Yes,No,Yes,"(21.6, 28.8]",One year,No,e75482ac-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(68.5, 78.55]",Yes,Fiber optic,Yes,Female,No,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d7ce1618-82c9-11ec-954a-acde48001122,0
Yes,Yes,Yes,Credit card (automatic),Yes,Yes,"(108.7, 118.75]",Yes,Fiber optic,Yes,Male,Yes,No,Yes,No,"(43.2, 50.4]",Two year,Yes,dd5bc6d4-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Mailed check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,Yes,No,No internet service,No,"(-0.073, 7.2]",Two year,No internet service,d9a76f66-82c9-11ec-954a-acde48001122,0
No internet service,No,No internet service,Credit card (automatic),No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,Yes,No,No internet service,No,"(64.8, 72.0]",Two year,No internet service,d89b0a1a-82c9-11ec-954a-acde48001122,0
No,No,No,Mailed check,No,No,"(18.148999999999997, 28.3]",No,DSL,No phone service,Male,No,No,No,No,"(-0.073, 7.2]",Month-to-month,No,d8197cb6-82c9-11ec-954a-acde48001122,0
No,No,Yes,Credit card (automatic),Yes,Yes,"(98.65, 108.7]",Yes,Fiber optic,Yes,Female,No,No,Yes,No,"(57.6, 64.8]",Month-to-month,Yes,e9a2bfc4-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Electronic check,Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Male,Yes,No,No,Yes,"(36.0, 43.2]",Month-to-month,Yes,de35c1d6-82c9-11ec-954a-acde48001122,0
No internet service,Yes,No internet service,Electronic check,No internet service,No internet service,"(18.148999999999997, 28.3]",Yes,No,No,Male,Yes,No,No internet service,Yes,"(-0.073, 7.2]",One year,No internet service,da7cae10-82c9-11ec-954a-acde48001122,0
Yes,No,No,Mailed check,No,Yes,"(48.4, 58.45]",Yes,DSL,No,Female,No,No,No,No,"(7.2, 14.4]",One year,No,d9734f6a-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,No,No,"(78.55, 88.6]",Yes,Fiber optic,Yes,Male,No,No,No,Yes,"(14.4, 21.6]",Month-to-month,No,e9b4109e-82c9-11ec-954a-acde48001122,0
No,No,No,Bank transfer (automatic),No,No,"(68.5, 78.55]",Yes,Fiber optic,Yes,Male,No,No,No,No,"(43.2, 50.4]",Month-to-month,No,e4b7400c-82c9-11ec-954a-acde48001122,0
Yes,No,No,Electronic check,Yes,No,"(68.5, 78.55]",Yes,DSL,Yes,Male,No,No,Yes,Yes,"(14.4, 21.6]",One year,No,db218476-82c9-11ec-954a-acde48001122,0
No,No,Yes,Electronic check,Yes,No,"(48.4, 58.45]",No,DSL,No phone service,Female,No,No,Yes,Yes,"(57.6, 64.8]",Month-to-month,No,e910409a-82c9-11ec-954a-acde48001122,0
Yes,Yes,No,Credit card (automatic),Yes,No,"(68.5, 78.55]",Yes,DSL,Yes,Female,Yes,No,Yes,Yes,"(21.6, 28.8]",Month-to-month,No,df35efde-82c9-11ec-954a-acde48001122,0
No,Yes,Yes,Bank transfer (automatic),Yes,No,"(98.65, 108.7]",Yes,Fiber optic,Yes,Female,Yes,No,Yes,Yes,"(14.4, 21.6]",Month-to-month,Yes,d916d9ba-82c9-11ec-954a-acde48001122,0
No,No,No,Credit card (automatic),No,No,"(48.4, 58.45]",Yes,DSL,Yes,Female,Yes,No,No,Yes,"(43.2, 50.4]",Month-to-month,No,e49e7cc0-82c9-11ec-954a-acde48001122,0
Yes,Yes,No,Mailed check,Yes,Yes,"(68.5, 78.55]",Yes,DSL,Yes,Female,No,No,Yes,Yes,"(14.4, 21.6]",Month-to-month,No,e01a6344-82c9-11ec-954a-acde48001122,0
No,No,No,Electronic check,No,No,"(68.5, 78.55]",Yes,Fiber optic,No,Female,Yes,Yes,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d8926360-82c9-11ec-954a-acde48001122,0
No,Yes,No,Electronic check,No,No,"(68.5, 78.55]",Yes,Fiber optic,No,Female,Yes,No,No,Yes,"(-0.073, 7.2]",Month-to-month,No,d82fbfd0-82c9-11ec-954a-acde48001122,0
Yes,No,Yes,Bank transfer (automatic),Yes,Yes,"(108.7, 118.75]",Yes,Fiber optic,Yes,Male,No,No,Yes,Yes,"(64.8, 72.0]",One year,Yes,d83bcad2-82c9-11ec-954a-acde48001122,0
