customerID,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn,tenure_bins,monthly_charges_bins
5318-YKDPV,Male,No,Yes,Yes,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0,"(36.0, 43.2]","(78.55, 88.6]"
5893-PYOLZ,Male,No,No,No,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0,"(50.4, 57.6]","(78.55, 88.6]"
9601-BRXPO,Female,No,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1,"(21.6, 28.8]","(98.65, 108.7]"
1502-XFCVR,Female,No,No,No,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,1,"(57.6, 64.8]","(98.65, 108.7]"
7703-ZEKEF,Male,No,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,1,"(21.6, 28.8]","(78.55, 88.6]"
3845-JHAMY,Female,No,Yes,Yes,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),0,"(14.4, 21.6]","(28.3, 38.35]"
8775-LHDJH,Female,Yes,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,1,"(-0.073, 7.2]","(88.6, 98.65]"
5561-NWEVX,Female,Yes,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,1,"(-0.073, 7.2]","(78.55, 88.6]"
3487-EARAT,Female,No,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),0,"(64.8, 72.0]","(68.5, 78.55]"
6907-NZZIJ,Female,No,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,"(28.8, 36.0]","(98.65, 108.7]"
3351-NQLDI,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),1,"(64.8, 72.0]","(88.6, 98.65]"
8665-UTDHZ,Male,No,Yes,Yes,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,1,"(-0.073, 7.2]","(28.3, 38.35]"
4816-JBHOV,Male,Yes,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,"(-0.073, 7.2]","(38.35, 48.4]"
3144-KMTWZ,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),0,"(64.8, 72.0]","(88.6, 98.65]"
3078-ZKNTS,Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0,"(7.2, 14.4]","(18.148999999999997, 28.3]"
3370-GQEAL,Male,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,0,"(28.8, 36.0]","(78.55, 88.6]"
1767-TGTKO,Female,No,Yes,Yes,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0,"(7.2, 14.4]","(38.35, 48.4]"
5353-WILCI,Female,No,No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,0,"(21.6, 28.8]","(48.4, 58.45]"
9248-OJYKK,Male,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,"(-0.073, 7.2]","(68.5, 78.55]"
9451-WLYRI,Female,No,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),0,"(50.4, 57.6]","(18.148999999999997, 28.3]"
7622-FWGEW,Male,Yes,Yes,No,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0,"(50.4, 57.6]","(78.55, 88.6]"
6169-PGNCD,Female,No,No,No,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),0,"(50.4, 57.6]","(68.5, 78.55]"
6670-MFRPK,Male,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),0,"(64.8, 72.0]","(78.55, 88.6]"
6295-OSINB,Male,No,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,0,"(64.8, 72.0]","(108.7, 118.75]"
8199-ZLLSA,Male,No,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),1,"(64.8, 72.0]","(108.7, 118.75]"
1384-RCUXW,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,0,"(14.4, 21.6]","(78.55, 88.6]"
2380-DAMQP,Female,No,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,0,"(64.8, 72.0]","(108.7, 118.75]"
2369-UAPKZ,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,1,"(-0.073, 7.2]","(98.65, 108.7]"
7203-OYKCT,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,0,"(64.8, 72.0]","(98.65, 108.7]"
2072-ZVJJX,Male,No,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0,"(64.8, 72.0]","(18.148999999999997, 28.3]"
1852-QSWCD,Male,No,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0,"(57.6, 64.8]","(18.148999999999997, 28.3]"
9629-NHXFW,Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0,"(-0.073, 7.2]","(18.148999999999997, 28.3]"
7753-USQYQ,Male,No,No,No,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Electronic check,0,"(50.4, 57.6]","(58.45, 68.5]"
9975-GPKZU,Male,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0,"(43.2, 50.4]","(18.148999999999997, 28.3]"
2393-DIVAI,Female,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,0,"(-0.073, 7.2]","(18.148999999999997, 28.3]"
7590-VHVEG,Female,No,Yes,No,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0,"(-0.073, 7.2]","(28.3, 38.35]"
6383-ZTSIW,Female,Yes,Yes,No,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,No,Mailed check,0,"(36.0, 43.2]","(98.65, 108.7]"
6855-VLGOS,Male,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,0,"(64.8, 72.0]","(18.148999999999997, 28.3]"
5803-NQJZO,Male,No,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),0,"(64.8, 72.0]","(58.45, 68.5]"
8779-QRDMV,Male,Yes,No,No,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,1,"(-0.073, 7.2]","(38.35, 48.4]"
9637-EIHEQ,Female,No,No,No,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,1,"(-0.073, 7.2]","(48.4, 58.45]"
2501-XWWTZ,Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,0,"(7.2, 14.4]","(68.5, 78.55]"
5949-EBSQK,Male,No,Yes,Yes,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),1,"(-0.073, 7.2]","(58.45, 68.5]"
2773-MADBQ,Female,No,No,No,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Mailed check,0,"(28.8, 36.0]","(48.4, 58.45]"
2153-MREFK,Female,No,Yes,No,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,1,"(36.0, 43.2]","(98.65, 108.7]"
9917-KWRBE,Female,No,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),0,"(36.0, 43.2]","(68.5, 78.55]"
4636-JGAAI,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,0,"(28.8, 36.0]","(88.6, 98.65]"
0302-JOIVN,Female,No,Yes,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,1,"(7.2, 14.4]","(98.65, 108.7]"
3932-IJWDZ,Male,No,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0,"(43.2, 50.4]","(98.65, 108.7]"
3451-VAWLI,Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0,"(28.8, 36.0]","(18.148999999999997, 28.3]"
7401-RUBNK,Female,No,Yes,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,0,"(14.4, 21.6]","(68.5, 78.55]"
0280-XJGEX,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1,"(43.2, 50.4]","(98.65, 108.7]"
0508-SQWPL,Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0,"(50.4, 57.6]","(18.148999999999997, 28.3]"
9286-BHDQG,Male,No,Yes,Yes,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),0,"(64.8, 72.0]","(38.35, 48.4]"
3740-RLMVT,Male,Yes,Yes,No,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),0,"(64.8, 72.0]","(58.45, 68.5]"
2240-HSJQD,Male,No,No,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,0,"(36.0, 43.2]","(78.55, 88.6]"
9127-QRZMH,Male,No,Yes,No,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),0,"(43.2, 50.4]","(58.45, 68.5]"
2523-EWWZL,Female,No,Yes,No,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,0,"(21.6, 28.8]","(68.5, 78.55]"
0096-BXERS,Female,No,Yes,No,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,0,"(-0.073, 7.2]","(48.4, 58.45]"
6847-KJLTS,Female,Yes,Yes,No,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0,"(57.6, 64.8]","(98.65, 108.7]"
9903-LYSAB,Male,No,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0,"(14.4, 21.6]","(68.5, 78.55]"
0289-IVARM,Female,No,No,No,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,0,"(28.8, 36.0]","(58.45, 68.5]"
1297-VQDRP,Male,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),0,"(64.8, 72.0]","(98.65, 108.7]"
5438-QMDDL,Female,No,Yes,No,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,0,"(14.4, 21.6]","(58.45, 68.5]"
7629-WFGLW,Female,Yes,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,No,Electronic check,0,"(50.4, 57.6]","(88.6, 98.65]"
3351-NGXYI,Female,Yes,No,No,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,0,"(14.4, 21.6]","(48.4, 58.45]"
3363-DTIVD,Male,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,0,"(64.8, 72.0]","(98.65, 108.7]"
7134-MJPDY,Female,Yes,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),0,"(64.8, 72.0]","(98.65, 108.7]"
9480-BQJEI,Male,No,No,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Bank transfer (automatic),0,"(57.6, 64.8]","(88.6, 98.65]"
0943-ZQPXH,Male,No,Yes,Yes,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0,"(43.2, 50.4]","(88.6, 98.65]"
2405-LBMUW,Female,No,Yes,Yes,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),0,"(57.6, 64.8]","(48.4, 58.45]"
7208-PSIHR,Female,No,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0,"(64.8, 72.0]","(98.65, 108.7]"
6689-TCZHQ,Female,Yes,No,No,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,1,"(-0.073, 7.2]","(78.55, 88.6]"
3926-YZVVX,Female,No,No,No,Yes,No,DSL,No,No,No,Yes,No,No,One year,No,Bank transfer (automatic),0,"(36.0, 43.2]","(48.4, 58.45]"
9700-ZCLOT,Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,"(-0.073, 7.2]","(18.148999999999997, 28.3]"
0674-DGMAQ,Male,Yes,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,0,"(28.8, 36.0]","(88.6, 98.65]"
6994-FGRHH,Male,No,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,0,"(64.8, 72.0]","(98.65, 108.7]"
4325-NFSKC,Male,Yes,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1,"(14.4, 21.6]","(88.6, 98.65]"
0056-EPFBG,Male,No,Yes,Yes,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),0,"(14.4, 21.6]","(38.35, 48.4]"
8059-UDZFY,Female,Yes,No,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0,"(28.8, 36.0]","(98.65, 108.7]"
6907-FLBER,Male,No,No,No,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,0,"(-0.073, 7.2]","(48.4, 58.45]"
1172-VIYBP,Male,No,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Bank transfer (automatic),0,"(50.4, 57.6]","(68.5, 78.55]"
8380-MQINP,Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0,"(50.4, 57.6]","(18.148999999999997, 28.3]"
1219-NNDDO,Female,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,0,"(7.2, 14.4]","(68.5, 78.55]"
5924-SNGKP,Female,No,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),0,"(36.0, 43.2]","(18.148999999999997, 28.3]"
3429-IFLEM,Female,No,No,No,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),0,"(64.8, 72.0]","(68.5, 78.55]"
5756-JYOJT,Female,No,No,No,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),0,"(7.2, 14.4]","(58.45, 68.5]"
6598-KELSS,Male,No,No,Yes,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,One year,Yes,Bank transfer (automatic),0,"(43.2, 50.4]","(38.35, 48.4]"
7495-OOKFY,Female,Yes,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1,"(7.2, 14.4]","(78.55, 88.6]"
0595-ITUDF,Male,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,0,"(57.6, 64.8]","(88.6, 98.65]"
5539-TMZLF,Male,Yes,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,"(-0.073, 7.2]","(68.5, 78.55]"
8595-SIZNC,Female,Yes,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0,"(21.6, 28.8]","(18.148999999999997, 28.3]"
2325-NBPZG,Female,No,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,0,"(-0.073, 7.2]","(68.5, 78.55]"
0875-CABNR,Female,Yes,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),1,"(7.2, 14.4]","(78.55, 88.6]"
2959-EEXWB,Female,No,Yes,Yes,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0,"(43.2, 50.4]","(48.4, 58.45]"
2642-DTVCO,Male,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1,"(7.2, 14.4]","(78.55, 88.6]"
2911-IJORQ,Male,No,No,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),0,"(36.0, 43.2]","(88.6, 98.65]"
0750-EKNGL,Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,"(-0.073, 7.2]","(18.148999999999997, 28.3]"
7147-AYBAA,Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,0,"(36.0, 43.2]","(68.5, 78.55]"
8739-XNIKG,Female,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,0,"(-0.073, 7.2]","(78.55, 88.6]"
3838-OZURD,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1,"(64.8, 72.0]","(98.65, 108.7]"
8327-WKMIE,Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),0,"(36.0, 43.2]","(18.148999999999997, 28.3]"
2933-XEUJM,Female,No,No,No,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Mailed check,0,"(43.2, 50.4]","(78.55, 88.6]"
8065-BVEPF,Male,Yes,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0,"(64.8, 72.0]","(98.65, 108.7]"
0004-TLHLJ,Male,No,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,1,"(-0.073, 7.2]","(68.5, 78.55]"
2065-MMKGR,Female,No,No,No,Yes,Yes,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),0,"(28.8, 36.0]","(68.5, 78.55]"
4174-LPGTI,Female,No,Yes,Yes,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),1,"(36.0, 43.2]","(58.45, 68.5]"
0237-YFUTL,Female,No,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0,"(43.2, 50.4]","(108.7, 118.75]"
3597-MVHJT,Female,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0,"(21.6, 28.8]","(88.6, 98.65]"
6576-FBXOJ,Male,No,Yes,No,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,0,"(14.4, 21.6]","(48.4, 58.45]"
4418-LZMSV,Male,No,Yes,Yes,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),0,"(7.2, 14.4]","(58.45, 68.5]"
5985-TBABQ,Female,No,No,No,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,0,"(28.8, 36.0]","(68.5, 78.55]"
8661-BOYNW,Female,No,Yes,No,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0,"(64.8, 72.0]","(78.55, 88.6]"
9221-OTIVJ,Female,Yes,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,"(7.2, 14.4]","(98.65, 108.7]"
1813-JYWTO,Female,No,Yes,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),0,"(64.8, 72.0]","(78.55, 88.6]"
6849-WLEYG,Male,No,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1,"(-0.073, 7.2]","(18.148999999999997, 28.3]"
6424-ELEYH,Female,No,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),1,"(-0.073, 7.2]","(68.5, 78.55]"
5339-PXDVH,Male,No,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,0,"(-0.073, 7.2]","(88.6, 98.65]"
9362-MWODR,Female,No,No,Yes,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0,"(36.0, 43.2]","(58.45, 68.5]"
5736-YEJAX,Male,No,No,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),0,"(64.8, 72.0]","(78.55, 88.6]"
7925-PNRGI,Female,No,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,0,"(43.2, 50.4]","(78.55, 88.6]"
