InternetService,Dependents,Partner,StreamingTV,OnlineSecurity,PaperlessBilling,SeniorCitizen,StreamingMovies,tenure_bins,PaymentMethod,DeviceProtection,Contract,TechSupport,monthly_charges_bins,MultipleLines,gender,PhoneService,OnlineBackup,customerID,Churn
DSL,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(18.148999999999997, 28.3]",No phone service,Female,No,No,bf35e3a2-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,No,Yes,Yes,No,"(21.6, 28.8]",Bank transfer (automatic),No,Month-to-month,Yes,"(88.6, 98.65]",Yes,Male,Yes,No,c347a1b0-7b0c-11ec-a944-acde48001122,1
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(21.6, 28.8]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,c664b19e-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,No,Yes,No,Yes,"(36.0, 43.2]",Electronic check,Yes,Month-to-month,No,"(48.4, 58.45]",No phone service,Female,No,No,caee1bb0-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,No,No,No,No,"(-0.073, 7.2]",Bank transfer (automatic),No,Month-to-month,No,"(68.5, 78.55]",Yes,Female,Yes,No,d05eaa7e-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,No,No,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(28.3, 38.35]",No phone service,Female,No,Yes,ce287bfe-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,No,Yes,No,No,"(7.2, 14.4]",Mailed check,Yes,Month-to-month,Yes,"(88.6, 98.65]",No,Male,Yes,Yes,c15581e2-7b0c-11ec-a944-acde48001122,1
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Credit card (automatic),No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,beda9e34-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,No,Yes,"(7.2, 14.4]",Electronic check,Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,c13f2492-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,No,Yes,No,No,"(14.4, 21.6]",Electronic check,No,Month-to-month,No,"(48.4, 58.45]",Yes,Male,Yes,No,ccfde99e-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,Yes,No,No internet service,"(50.4, 57.6]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c0bff0b4-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(57.6, 64.8]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Female,Yes,Yes,c494469a-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,No,Yes,No,No,"(7.2, 14.4]",Credit card (automatic),No,Month-to-month,No,"(38.35, 48.4]",No,Male,Yes,No,c0f6ee02-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,No,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,No,"(68.5, 78.55]",Yes,Female,Yes,No,d45ea7b4-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,Yes,No,No internet service,"(14.4, 21.6]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c6b42d78-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",Yes,Female,Yes,No,bf389930-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,No,No,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Male,Yes,No,c00480e0-7b0c-11ec-a944-acde48001122,1
DSL,Yes,No,No,No,No,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(18.148999999999997, 28.3]",No phone service,Male,No,No,cbdcff00-7b0c-11ec-a944-acde48001122,1
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,becc6d96-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,Yes,Month-to-month,No,"(28.3, 38.35]",No phone service,Male,No,No,cdd886ee-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,c0420e2e-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,No,Yes,No,No,No,"(36.0, 43.2]",Mailed check,No,Month-to-month,No,"(48.4, 58.45]",No,Male,Yes,Yes,d31fc1bc-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,Yes,No,No internet service,"(-0.073, 7.2]",Credit card (automatic),No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c6478646-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,No,No,Yes,No,Yes,"(7.2, 14.4]",Electronic check,Yes,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,No,c7eddbf8-7b0c-11ec-a944-acde48001122,1
No,No,No,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bf6d85a0-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(-0.073, 7.2]",Electronic check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bef5220e-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,"(21.6, 28.8]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,c9ce860c-7b0c-11ec-a944-acde48001122,1
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(28.8, 36.0]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c677ecaa-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(68.5, 78.55]",No,Male,Yes,No,bf445e8c-7b0c-11ec-a944-acde48001122,1
No,Yes,No,No internet service,No internet service,Yes,No,No internet service,"(14.4, 21.6]",Credit card (automatic),No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,c73af286-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Male,Yes,Yes,c0693300-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Electronic check,Yes,Two year,No,"(108.7, 118.75]",Yes,Female,Yes,Yes,c03414fe-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,Yes,Yes,No,No,"(64.8, 72.0]",Credit card (automatic),No,Two year,Yes,"(78.55, 88.6]",Yes,Male,Yes,Yes,c170f512-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(7.2, 14.4]",Electronic check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bff969c6-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,Yes,No,No,No,"(64.8, 72.0]",Bank transfer (automatic),No,Two year,Yes,"(78.55, 88.6]",No,Male,Yes,Yes,c190ec6e-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(50.4, 57.6]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,bfa250f0-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,Yes,No,No internet service,"(57.6, 64.8]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c0960010-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,No,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(78.55, 88.6]",Yes,Male,Yes,Yes,cb064cbc-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,No,"(28.8, 36.0]",Credit card (automatic),No,Month-to-month,No,"(18.148999999999997, 28.3]",No phone service,Female,No,No,cd0d6b08-7b0c-11ec-a944-acde48001122,1
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,c0e5e1b6-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(28.8, 36.0]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,bef6f958-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,Yes,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,Yes,"(88.6, 98.65]",No,Male,Yes,Yes,c9df13be-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,No,No,No,No,"(36.0, 43.2]",Mailed check,Yes,Two year,Yes,"(88.6, 98.65]",Yes,Male,Yes,No,c1b16e3a-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,No,Yes,Yes,"(50.4, 57.6]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Male,Yes,No,c145da1c-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,No,No,No,Yes,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,No,"(88.6, 98.65]",No,Female,Yes,Yes,c4ac762a-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,becda49a-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,Yes,Yes,Yes,"(7.2, 14.4]",Electronic check,Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,c438042a-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,No,No,Yes,No,No,"(-0.073, 7.2]",Bank transfer (automatic),No,Month-to-month,No,"(68.5, 78.55]",Yes,Male,Yes,No,c4ae8000-7b0c-11ec-a944-acde48001122,1
DSL,No,Yes,Yes,No,No,No,Yes,"(21.6, 28.8]",Bank transfer (automatic),Yes,Month-to-month,Yes,"(78.55, 88.6]",No,Female,Yes,Yes,ccb4626a-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,"(57.6, 64.8]",Credit card (automatic),Yes,One year,No,"(68.5, 78.55]",No,Male,Yes,No,d0b14f9a-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,Yes,No,No,No,"(64.8, 72.0]",Bank transfer (automatic),No,Two year,No,"(78.55, 88.6]",Yes,Female,Yes,No,c190039e-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",Yes,Male,Yes,No,c056bdb0-7b0c-11ec-a944-acde48001122,1
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(21.6, 28.8]",Electronic check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bfb84126-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bee12c7c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,No,"(21.6, 28.8]",Mailed check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Female,Yes,No,d17b9174-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c64b7fa8-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,Yes,Yes,No,No,Yes,"(64.8, 72.0]",Electronic check,Yes,Two year,Yes,"(78.55, 88.6]",Yes,Male,Yes,No,cbbb8d7a-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,No,No,Yes,"(21.6, 28.8]",Electronic check,Yes,Month-to-month,Yes,"(88.6, 98.65]",No,Male,Yes,No,d0c8de12-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,No,No,Yes,"(21.6, 28.8]",Electronic check,Yes,One year,No,"(48.4, 58.45]",No phone service,Female,No,Yes,d4adc20e-7b0c-11ec-a944-acde48001122,0
DSL,Yes,No,No,Yes,Yes,No,Yes,"(-0.073, 7.2]",Bank transfer (automatic),No,Month-to-month,Yes,"(58.45, 68.5]",No,Female,Yes,No,d3dfd34e-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,Yes,No,"(64.8, 72.0]",Bank transfer (automatic),Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Female,Yes,Yes,c2efd5de-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,"(36.0, 43.2]",Mailed check,Yes,One year,Yes,"(108.7, 118.75]",Yes,Female,Yes,No,c8c38078-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,Yes,No,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(38.35, 48.4]",No phone service,Male,No,No,cf0a8f8a-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,becda4f4-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,Yes,No,No,No,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(68.5, 78.55]",Yes,Male,Yes,Yes,c0a980b8-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,No,No,Yes,Yes,Yes,"(50.4, 57.6]",Bank transfer (automatic),Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,Yes,c29f992a-7b0c-11ec-a944-acde48001122,1
No,No,No,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,beff346a-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Male,Yes,No,bf03d1c8-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,Yes,No,No,Yes,"(43.2, 50.4]",Mailed check,No,Two year,Yes,"(68.5, 78.55]",Yes,Female,Yes,Yes,cf11333a-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Electronic check,Yes,Month-to-month,No,"(98.65, 108.7]",Yes,Female,Yes,No,c8b38f42-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,c0304d38-7b0c-11ec-a944-acde48001122,0
No,Yes,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bed256f2-7b0c-11ec-a944-acde48001122,1
DSL,No,Yes,Yes,No,Yes,No,Yes,"(-0.073, 7.2]",Electronic check,Yes,Month-to-month,No,"(48.4, 58.45]",No phone service,Male,No,No,cc8cfc3e-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,No,No,Yes,Yes,Yes,"(7.2, 14.4]",Credit card (automatic),Yes,Month-to-month,No,"(78.55, 88.6]",No,Female,Yes,No,d2050bde-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,No,No,No,No,"(28.8, 36.0]",Electronic check,Yes,Month-to-month,Yes,"(88.6, 98.65]",Yes,Male,Yes,No,d14b2cb4-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,Yes,No,"(28.8, 36.0]",Credit card (automatic),Yes,Month-to-month,No,"(78.55, 88.6]",Yes,Male,Yes,Yes,d20977a0-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,No,Yes,No,Yes,Yes,"(7.2, 14.4]",Credit card (automatic),No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,Yes,c17ea6bc-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(57.6, 64.8]",Electronic check,Yes,Two year,No,"(98.65, 108.7]",No,Female,Yes,Yes,c48c769a-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,No,Yes,Yes,Yes,No,"(57.6, 64.8]",Bank transfer (automatic),No,One year,Yes,"(88.6, 98.65]",Yes,Male,Yes,Yes,c9eb5b38-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(43.2, 50.4]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,c63e94b4-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,No,Yes,No,Yes,"(21.6, 28.8]",Bank transfer (automatic),No,Month-to-month,Yes,"(58.45, 68.5]",No,Female,Yes,Yes,cd1f007a-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,No,No,Yes,No,No,"(21.6, 28.8]",Bank transfer (automatic),No,Month-to-month,No,"(68.5, 78.55]",Yes,Male,Yes,No,c7e77a9c-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,Yes,Yes,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Male,Yes,No,bfd712c2-7b0c-11ec-a944-acde48001122,1
DSL,No,No,No,No,No,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(18.148999999999997, 28.3]",No phone service,Female,No,No,bf98cfbc-7b0c-11ec-a944-acde48001122,1
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,becc71ce-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,No,Yes,No,No,"(21.6, 28.8]",Mailed check,Yes,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,d17a75dc-7b0c-11ec-a944-acde48001122,1
Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,"(57.6, 64.8]",Electronic check,No,One year,No,"(98.65, 108.7]",Yes,Male,Yes,Yes,c9d09b40-7b0c-11ec-a944-acde48001122,0
DSL,No,No,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(78.55, 88.6]",No,Female,Yes,No,ca400ed0-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,No,Yes,Yes,No,Yes,Yes,"(50.4, 57.6]",Credit card (automatic),No,One year,No,"(88.6, 98.65]",No,Male,Yes,No,c7933f54-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,No,No,No,"(57.6, 64.8]",Bank transfer (automatic),No,Two year,Yes,"(48.4, 58.45]",No phone service,Female,No,Yes,d43ca682-7b0c-11ec-a944-acde48001122,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(43.2, 50.4]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,bf2193b6-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(28.8, 36.0]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,c09f2b9a-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),No,Two year,Yes,"(78.55, 88.6]",Yes,Female,Yes,No,d0aba9e6-7b0c-11ec-a944-acde48001122,0
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(28.8, 36.0]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,bfe06502-7b0c-11ec-a944-acde48001122,0
DSL,No,No,No,Yes,Yes,No,No,"(14.4, 21.6]",Electronic check,Yes,One year,Yes,"(58.45, 68.5]",No,Female,Yes,No,cf98705c-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,Yes,No,Yes,No,Yes,"(21.6, 28.8]",Credit card (automatic),Yes,One year,Yes,"(58.45, 68.5]",No phone service,Male,No,Yes,d44dd542-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,No,No,Yes,Yes,Yes,"(43.2, 50.4]",Bank transfer (automatic),No,One year,No,"(58.45, 68.5]",No,Female,Yes,Yes,ca6ebfc8-7b0c-11ec-a944-acde48001122,0
DSL,No,Yes,No,No,No,Yes,No,"(43.2, 50.4]",Mailed check,No,Two year,No,"(48.4, 58.45]",No,Male,Yes,Yes,ca217e70-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,No,Yes,No,Yes,No,Yes,"(21.6, 28.8]",Electronic check,Yes,Two year,Yes,"(98.65, 108.7]",No,Female,Yes,Yes,c78f0574-7b0c-11ec-a944-acde48001122,0
Fiber optic,Yes,Yes,No,Yes,No,Yes,Yes,"(14.4, 21.6]",Credit card (automatic),Yes,One year,Yes,"(88.6, 98.65]",No,Male,Yes,No,c98f6404-7b0c-11ec-a944-acde48001122,0
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Credit card (automatic),No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,Yes,d0d2e98e-7b0c-11ec-a944-acde48001122,1
DSL,No,No,Yes,No,Yes,No,Yes,"(-0.073, 7.2]",Credit card (automatic),No,Month-to-month,Yes,"(68.5, 78.55]",No,Female,Yes,No,ce98317e-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,Yes,Yes,No,Yes,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Female,Yes,Yes,c2be7e1c-7b0c-11ec-a944-acde48001122,1
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(57.6, 64.8]",Electronic check,No,Month-to-month,Yes,"(88.6, 98.65]",No,Female,Yes,No,c4963e00-7b0c-11ec-a944-acde48001122,0
DSL,Yes,Yes,No,Yes,Yes,No,No,"(14.4, 21.6]",Bank transfer (automatic),No,Month-to-month,No,"(28.3, 38.35]",No phone service,Male,No,No,d51f80e2-7b0c-11ec-a944-acde48001122,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,beedc64e-7b0c-11ec-a944-acde48001122,0
