TechSupport,InternetService,DeviceProtection,StreamingTV,OnlineSecurity,monthly_charges_bins,tenure_bins,OnlineBackup,PaymentMethod,Contract,Dependents,Partner,gender,SeniorCitizen,PhoneService,MultipleLines,PaperlessBilling,StreamingMovies,customerID,Churn
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(43.2, 50.4]",No internet service,Credit card (automatic),Two year,Yes,No,Female,No,Yes,No,No,No internet service,c63af740-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,No,No,"(78.55, 88.6]","(7.2, 14.4]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,Yes,Yes,No,d63104d2-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,No,No,"(68.5, 78.55]","(-0.073, 7.2]",No,Bank transfer (automatic),Month-to-month,No,No,Female,No,Yes,No,Yes,No,c528825a-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,No,Yes,"(58.45, 68.5]","(-0.073, 7.2]",Yes,Mailed check,Two year,Yes,Yes,Male,No,Yes,No,No,No,c77175c6-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,Yes,"(108.7, 118.75]","(64.8, 72.0]",Yes,Electronic check,Two year,Yes,Yes,Male,No,Yes,Yes,Yes,Yes,d3e11cf8-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,No,Yes,"(58.45, 68.5]","(64.8, 72.0]",Yes,Bank transfer (automatic),Two year,No,Yes,Female,No,Yes,Yes,No,No,cef2612a-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,Yes,"(48.4, 58.45]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,Yes,Female,Yes,Yes,No,Yes,No,d09d7046-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,No,Yes,"(78.55, 88.6]","(-0.073, 7.2]",Yes,Electronic check,Month-to-month,No,No,Female,No,Yes,No,Yes,No,d5b9d984-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,Yes,Yes,No,"(78.55, 88.6]","(21.6, 28.8]",No,Bank transfer (automatic),Month-to-month,No,Yes,Male,No,Yes,No,Yes,No,d2b3c754-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,Yes,"(88.6, 98.65]","(36.0, 43.2]",Yes,Electronic check,Month-to-month,No,Yes,Female,Yes,Yes,Yes,Yes,No,d60e4fdc-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,Month-to-month,No,No,Male,No,Yes,No,No,No internet service,c46a4d3a-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,No,"(38.35, 48.4]","(7.2, 14.4]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,No,Yes,No,c6482820-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,No,Yes,No,"(88.6, 98.65]","(14.4, 21.6]",No,Electronic check,Month-to-month,No,Yes,Female,No,Yes,Yes,Yes,No,cbf00fcc-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,No,"(78.55, 88.6]","(14.4, 21.6]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,No,No,No,d2a6d990-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,No,Yes,No,"(98.65, 108.7]","(36.0, 43.2]",No,Credit card (automatic),Month-to-month,No,No,Female,No,Yes,Yes,No,Yes,cb21aa1a-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,No,Yes,No,"(88.6, 98.65]","(21.6, 28.8]",No,Credit card (automatic),Month-to-month,No,Yes,Male,No,Yes,No,Yes,Yes,cbeccc9a-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(88.6, 98.65]","(7.2, 14.4]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,Yes,No,Yes,d5043a70-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,Yes,No,"(78.55, 88.6]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,Yes,Female,No,Yes,Yes,Yes,No,c5604f96-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,No,"(98.65, 108.7]","(43.2, 50.4]",Yes,Bank transfer (automatic),Month-to-month,Yes,Yes,Male,No,Yes,Yes,Yes,Yes,d49dd140-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,Two year,No,No,Female,No,Yes,No,No,No internet service,c8bd1af2-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(78.55, 88.6]","(43.2, 50.4]",Yes,Electronic check,One year,No,Yes,Male,No,Yes,Yes,Yes,No,d26ebac4-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,No,No,"(28.3, 38.35]","(14.4, 21.6]",No,Electronic check,Month-to-month,No,No,Male,No,No,No phone service,Yes,No,c6c83f7e-82c9-11ec-acdd-acde48001122,1
Yes,Fiber optic,Yes,Yes,No,"(108.7, 118.75]","(64.8, 72.0]",Yes,Electronic check,Two year,No,Yes,Female,No,Yes,Yes,Yes,Yes,c668830e-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(21.6, 28.8]",No internet service,Mailed check,Two year,Yes,Yes,Female,No,Yes,No,Yes,No internet service,c5361c44-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,Month-to-month,Yes,No,Male,No,Yes,No,Yes,No internet service,c488e6b4-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Mailed check,Month-to-month,No,No,Male,No,Yes,No,No,No internet service,c46a4f56-82c9-11ec-acdd-acde48001122,1
Yes,Fiber optic,Yes,Yes,No,"(108.7, 118.75]","(64.8, 72.0]",Yes,Electronic check,Month-to-month,No,No,Male,No,Yes,Yes,Yes,Yes,c9648792-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,Yes,No,Yes,"(88.6, 98.65]","(50.4, 57.6]",Yes,Electronic check,One year,No,Yes,Male,No,Yes,Yes,Yes,No,d35f83f0-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,No,Yes,"(58.45, 68.5]","(14.4, 21.6]",Yes,Mailed check,One year,Yes,Yes,Female,No,Yes,No,Yes,No,c785f0b4-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(78.55, 88.6]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Female,Yes,Yes,Yes,Yes,No,c54c9186-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(36.0, 43.2]",No internet service,Electronic check,Month-to-month,Yes,Yes,Male,No,Yes,No,No,No internet service,c956abe0-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,No,No,"(68.5, 78.55]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,No,Yes,No,c4fb8af2-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(64.8, 72.0]",No internet service,Bank transfer (automatic),Two year,Yes,Yes,Male,No,Yes,Yes,No,No internet service,c48e8d9e-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(78.55, 88.6]","(28.8, 36.0]",Yes,Bank transfer (automatic),Month-to-month,No,Yes,Female,No,Yes,No,No,Yes,cf840bfc-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,Yes,No,"(88.6, 98.65]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,Yes,Yes,Yes,Yes,Yes,c4a57270-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(7.2, 14.4]",No internet service,Credit card (automatic),Month-to-month,No,No,Male,No,Yes,No,No,No internet service,c4b30cfa-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,Yes,"(48.4, 58.45]","(21.6, 28.8]",Yes,Mailed check,Month-to-month,No,No,Female,No,Yes,No,Yes,No,d1ed30e4-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,Yes,No,"(78.55, 88.6]","(64.8, 72.0]",Yes,Bank transfer (automatic),Two year,Yes,Yes,Female,No,Yes,Yes,Yes,Yes,ccf2998a-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,Yes,No,"(98.65, 108.7]","(50.4, 57.6]",No,Bank transfer (automatic),Month-to-month,No,Yes,Female,Yes,Yes,Yes,Yes,Yes,d496dc82-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(7.2, 14.4]",No internet service,Mailed check,Two year,Yes,Yes,Female,No,Yes,No,No,No internet service,c47ff8d8-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(88.6, 98.65]","(-0.073, 7.2]",Yes,Mailed check,Month-to-month,Yes,No,Female,No,Yes,Yes,No,No,d50a5428-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,Yes,Yes,No,"(98.65, 108.7]","(36.0, 43.2]",No,Credit card (automatic),Month-to-month,Yes,Yes,Male,No,Yes,Yes,Yes,Yes,d4329b14-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(88.6, 98.65]","(36.0, 43.2]",No,Bank transfer (automatic),Month-to-month,No,No,Male,Yes,Yes,Yes,Yes,Yes,d66f8ac2-82c9-11ec-acdd-acde48001122,1
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(-0.073, 7.2]",No internet service,Credit card (automatic),Month-to-month,No,No,Female,No,Yes,No,No,No internet service,c477157e-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(78.55, 88.6]","(28.8, 36.0]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,Yes,No,No,d4c9180a-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(36.0, 43.2]",No internet service,Mailed check,One year,Yes,Yes,Male,No,Yes,No,Yes,No internet service,c9655b22-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,Yes,"(48.4, 58.45]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,Yes,Yes,No,c651f616-82c9-11ec-acdd-acde48001122,0
Yes,Fiber optic,Yes,Yes,No,"(108.7, 118.75]","(57.6, 64.8]",Yes,Credit card (automatic),Two year,No,No,Female,No,Yes,Yes,Yes,Yes,c995e7ba-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,No,No,"(58.45, 68.5]","(-0.073, 7.2]",Yes,Mailed check,Month-to-month,Yes,Yes,Female,No,Yes,Yes,Yes,No,c7e82176-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,No,No,"(68.5, 78.55]","(14.4, 21.6]",Yes,Bank transfer (automatic),One year,No,Yes,Female,Yes,Yes,Yes,No,Yes,ceb1b85a-82c9-11ec-acdd-acde48001122,0
Yes,DSL,Yes,Yes,Yes,"(58.45, 68.5]","(64.8, 72.0]",Yes,Bank transfer (automatic),Two year,Yes,Yes,Male,Yes,No,No phone service,Yes,Yes,caf8df86-82c9-11ec-acdd-acde48001122,0
Yes,DSL,Yes,Yes,No,"(68.5, 78.55]","(64.8, 72.0]",Yes,Credit card (automatic),Two year,No,Yes,Male,Yes,Yes,Yes,No,No,cd758e58-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(78.55, 88.6]","(21.6, 28.8]",No,Electronic check,Month-to-month,No,No,Male,No,Yes,Yes,Yes,Yes,c58ccc6a-82c9-11ec-acdd-acde48001122,1
No,DSL,Yes,No,Yes,"(48.4, 58.45]","(64.8, 72.0]",No,Mailed check,Month-to-month,No,Yes,Female,No,Yes,No,Yes,No,cf1744c2-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(21.6, 28.8]",No,Electronic check,Month-to-month,No,Yes,Male,Yes,Yes,Yes,Yes,No,d00a604e-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,No,No,"(78.55, 88.6]","(7.2, 14.4]",No,Credit card (automatic),Month-to-month,No,Yes,Female,No,Yes,Yes,Yes,Yes,cf77c77a-82c9-11ec-acdd-acde48001122,1
Yes,DSL,No,Yes,No,"(58.45, 68.5]","(-0.073, 7.2]",Yes,Bank transfer (automatic),Month-to-month,No,No,Male,No,Yes,No,Yes,No,ccb9f77e-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(7.2, 14.4]",No internet service,Bank transfer (automatic),Month-to-month,No,No,Female,No,Yes,No,No,No internet service,c4cbcc18-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(14.4, 21.6]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,No,Yes,No,c4b8ba10-82c9-11ec-acdd-acde48001122,0
Yes,DSL,No,Yes,No,"(68.5, 78.55]","(-0.073, 7.2]",Yes,Electronic check,Month-to-month,No,No,Female,No,Yes,No,Yes,Yes,ccc16e00-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,Yes,No,"(68.5, 78.55]","(28.8, 36.0]",No,Bank transfer (automatic),One year,Yes,Yes,Male,No,Yes,Yes,No,Yes,ce5f04f2-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(21.6, 28.8]",No internet service,Bank transfer (automatic),Month-to-month,No,Yes,Male,No,Yes,No,Yes,No internet service,c8a4984c-82c9-11ec-acdd-acde48001122,0
No,DSL,Yes,No,Yes,"(48.4, 58.45]","(64.8, 72.0]",No,Credit card (automatic),One year,No,No,Female,No,Yes,No,Yes,No,cf18effc-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(57.6, 64.8]",No internet service,Credit card (automatic),Two year,Yes,Yes,Female,No,Yes,Yes,No,No internet service,c6f356b4-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(-0.073, 7.2]",No,Mailed check,Month-to-month,No,No,Female,Yes,Yes,No,Yes,No,c56d47aa-82c9-11ec-acdd-acde48001122,1
Yes,DSL,Yes,Yes,Yes,"(78.55, 88.6]","(64.8, 72.0]",Yes,Bank transfer (automatic),Two year,No,Yes,Male,No,Yes,No,Yes,Yes,c54463d0-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,Yes,No,Yes,"(78.55, 88.6]","(36.0, 43.2]",Yes,Credit card (automatic),Month-to-month,No,Yes,Male,No,Yes,No,Yes,No,d3560366-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,Yes,No,"(88.6, 98.65]","(36.0, 43.2]",No,Electronic check,Month-to-month,No,No,Female,Yes,Yes,No,Yes,Yes,d66bf42a-82c9-11ec-acdd-acde48001122,0
No,DSL,No,No,No,"(48.4, 58.45]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,No,Yes,Yes,c4a65a82-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(57.6, 64.8]",No internet service,Bank transfer (automatic),Two year,No,No,Male,Yes,Yes,No,Yes,No internet service,c70b9044-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(14.4, 21.6]",No internet service,Mailed check,Month-to-month,Yes,Yes,Female,No,Yes,No,No,No internet service,c4867ae6-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(64.8, 72.0]",No internet service,Mailed check,Two year,No,Yes,Male,No,Yes,Yes,No,No internet service,c5f8f232-82c9-11ec-acdd-acde48001122,0
Yes,DSL,Yes,Yes,No,"(48.4, 58.45]","(50.4, 57.6]",No,Bank transfer (automatic),One year,No,Yes,Male,No,No,No phone service,Yes,Yes,cd2ffca8-82c9-11ec-acdd-acde48001122,0
No internet service,No,No internet service,No internet service,No internet service,"(18.148999999999997, 28.3]","(14.4, 21.6]",No internet service,Mailed check,Month-to-month,Yes,Yes,Male,No,Yes,No,No,No internet service,c84b0b7e-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(78.55, 88.6]","(7.2, 14.4]",Yes,Electronic check,Month-to-month,No,No,Female,No,Yes,No,Yes,Yes,c5a02760-82c9-11ec-acdd-acde48001122,0
No,Fiber optic,No,No,No,"(68.5, 78.55]","(-0.073, 7.2]",No,Electronic check,Month-to-month,No,No,Male,Yes,Yes,Yes,Yes,No,c47bf94a-82c9-11ec-acdd-acde48001122,1
No,Fiber optic,No,No,Yes,"(68.5, 78.55]","(7.2, 14.4]",No,Electronic check,Month-to-month,No,No,Female,No,Yes,No,No,No,d5457724-82c9-11ec-acdd-acde48001122,0
