Partner,Dependents,gender,OnlineSecurity,monthly_charges_bins,OnlineBackup,MultipleLines,PhoneService,PaymentMethod,InternetService,tenure_bins,StreamingMovies,TechSupport,StreamingTV,Contract,DeviceProtection,PaperlessBilling,SeniorCitizen,customerID,Churn
Yes,No,Male,Yes,"(38.35, 48.4]",Yes,No phone service,No,Bank transfer (automatic),DSL,"(36.0, 43.2]",No,No,No,One year,Yes,Yes,No,5839-JISXH,1
Yes,Yes,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(21.6, 28.8]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,5078-OVJYK,0
No,Yes,Male,Yes,"(48.4, 58.45]",No,No,Yes,Electronic check,DSL,"(50.4, 57.6]",No,No internet service,No,One year,Yes,No,No,0839-MKIJW,0
Yes,Yes,Female,No,"(98.65, 108.7]",No,Yes,Yes,Bank transfer (automatic),Fiber optic,"(14.4, 21.6]",Yes,Yes,Yes,Month-to-month,No,No,Yes,4201-IKLJY,1
Yes,Yes,Female,Yes,"(28.3, 38.35]",No,No phone service,No,Credit card (automatic),DSL,"(64.8, 72.0]",No,Yes,No,Two year,No,No,No,5886-OLKIC,0
No,Yes,Female,No,"(58.45, 68.5]",Yes,No phone service,No,Electronic check,DSL,"(7.2, 14.4]",Yes,Yes,Yes,One year,Yes,No,No,9813-CODUE,0
Yes,Yes,Male,Yes,"(48.4, 58.45]",No,No,Yes,Electronic check,DSL,"(14.4, 21.6]",No,No internet service,No,One year,No,Yes,No,3890-FBLOW,1
No,Yes,Female,No,"(88.6, 98.65]",Yes,Yes,Yes,Credit card (automatic),Fiber optic,"(43.2, 50.4]",No,No,Yes,Month-to-month,No,Yes,No,0896-ZEUCH,1
No,Yes,Male,No,"(48.4, 58.45]",No,No,Yes,Bank transfer (automatic),DSL,"(-0.073, 7.2]",No,Yes,No,Two year,No,Yes,No,5921-VBDAB,0
No,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(7.2, 14.4]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,9842-PIADB,0
No,No,Male,Yes,"(98.65, 108.7]",No,No,Yes,Bank transfer (automatic),Fiber optic,"(64.8, 72.0]",Yes,Yes,Yes,Two year,Yes,Yes,No,3994-GJLOE,0
Yes,Yes,Male,Yes,"(98.65, 108.7]",Yes,Yes,Yes,Credit card (automatic),Fiber optic,"(50.4, 57.6]",Yes,No,Yes,One year,Yes,Yes,No,8766-ZLTOP,1
No,No,Female,Yes,"(48.4, 58.45]",Yes,No,Yes,Mailed check,DSL,"(21.6, 28.8]",No,No,No,One year,No,Yes,No,4885-YYWZN,0
No,No,Male,Yes,"(48.4, 58.45]",No,No phone service,No,Credit card (automatic),DSL,"(28.8, 36.0]",Yes,No internet service,Yes,One year,Yes,Yes,No,7168-VHUTL,0
Yes,Yes,Male,Yes,"(98.65, 108.7]",Yes,Yes,Yes,Credit card (automatic),Fiber optic,"(64.8, 72.0]",Yes,No internet service,Yes,Month-to-month,No,Yes,Yes,8985-GTMPF,1
Yes,No,Female,No,"(68.5, 78.55]",No,Yes,Yes,Credit card (automatic),Fiber optic,"(-0.073, 7.2]",No,No internet service,No,One year,No,Yes,No,9999-SGRPE,1
Yes,Yes,Male,No internet service,"(68.5, 78.55]",No,No,Yes,Electronic check,Fiber optic,"(14.4, 21.6]",No,No,No,Month-to-month,No,Yes,No,3831-TVUUP,1
Yes,No,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,Mailed check,No,"(64.8, 72.0]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,8760-CLSWV,0
Yes,No,Female,Yes,"(58.45, 68.5]",Yes,No phone service,No,Bank transfer (automatic),DSL,"(21.6, 28.8]",Yes,Yes,Yes,One year,Yes,No,No,4368-SEHCY,0
Yes,Yes,Male,No,"(108.7, 118.75]",Yes,Yes,Yes,Credit card (automatic),Fiber optic,"(28.8, 36.0]",Yes,Yes,Yes,Two year,Yes,Yes,Yes,8363-MWWXQ,0
Yes,Yes,Male,No internet service,"(18.148999999999997, 28.3]",No internet service,No,Yes,Mailed check,No,"(28.8, 36.0]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,8498-PVXGE,0
Yes,Yes,Female,No,"(68.5, 78.55]",No,No,Yes,Credit card (automatic),Fiber optic,"(-0.073, 7.2]",No,No internet service,No,Month-to-month,No,No,No,2644-CMTPZ,0
No,No,Female,No,"(78.55, 88.6]",No,Yes,Yes,Electronic check,Fiber optic,"(-0.073, 7.2]",No,No,Yes,Month-to-month,No,Yes,No,8303-BPYUJ,1
No,No,Male,No,"(48.4, 58.45]",Yes,No,Yes,Credit card (automatic),DSL,"(21.6, 28.8]",No,Yes,No,One year,No,Yes,No,0351-JVMER,1
Yes,Yes,Female,No,"(78.55, 88.6]",Yes,Yes,Yes,Credit card (automatic),Fiber optic,"(28.8, 36.0]",No,No internet service,No,Two year,Yes,Yes,No,0966-BOQTL,0
No,No,Male,No,"(88.6, 98.65]",No,No,Yes,Bank transfer (automatic),Fiber optic,"(7.2, 14.4]",Yes,No,Yes,One year,Yes,Yes,No,5573-UMNRM,1
No,No,Female,No internet service,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,Mailed check,No,"(21.6, 28.8]",No internet service,No internet service,No internet service,Two year,No internet service,No,No,7487-SUWVD,0
No,No,Female,Yes,"(48.4, 58.45]",Yes,No phone service,No,Electronic check,DSL,"(50.4, 57.6]",No,Yes,Yes,One year,Yes,Yes,No,4645-ZRSXC,0
Yes,Yes,Male,Yes,"(98.65, 108.7]",Yes,Yes,Yes,Electronic check,Fiber optic,"(-0.073, 7.2]",No,No,Yes,Two year,Yes,Yes,No,1452-YZSQD,0
