gender,Partner,Contract,DeviceProtection,OnlineBackup,StreamingMovies,InternetService,TechSupport,tenure_bins,StreamingTV,PaymentMethod,PaperlessBilling,monthly_charges_bins,OnlineSecurity,PhoneService,MultipleLines,SeniorCitizen,Dependents,customerID,Churn
Male,No,Two year,No,Yes,Yes,DSL,No,"(36.0, 43.2]",No,Electronic check,Yes,"(58.45, 68.5]",No,Yes,No,No,No,6241-NURHG,0
Female,Yes,One year,No,Yes,No,DSL,No,"(57.6, 64.8]",No,Bank transfer (automatic),Yes,"(48.4, 58.45]",No,Yes,Yes,No,Yes,2805-VRIXJ,0
Female,No,Month-to-month,No,No,No,DSL,No,"(7.2, 14.4]",No,Bank transfer (automatic),No,"(48.4, 58.45]",Yes,Yes,No,No,No,3028-TEWCN,0
Female,Yes,Two year,Yes,Yes,Yes,DSL,Yes,"(64.8, 72.0]",Yes,Credit card (automatic),No,"(78.55, 88.6]",Yes,Yes,No,No,Yes,8998-KIYEA,0
Female,No,Month-to-month,No internet service,No internet service,No internet service,No,No internet service,"(7.2, 14.4]",No internet service,Mailed check,Yes,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,No,No,6416-XQHDN,0
Male,No,Month-to-month,No,Yes,Yes,Fiber optic,No,"(21.6, 28.8]",Yes,Electronic check,Yes,"(98.65, 108.7]",No,Yes,Yes,No,No,7955-QSPNQ,0
Female,No,Two year,No internet service,No internet service,No internet service,No,No internet service,"(36.0, 43.2]",No internet service,Bank transfer (automatic),Yes,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,No,2662-MRIRJ,0
Female,No,Month-to-month,No,No,No,Fiber optic,No,"(-0.073, 7.2]",No,Mailed check,Yes,"(68.5, 78.55]",No,Yes,No,No,No,2669-OZIRQ,0
Male,Yes,Two year,Yes,No,Yes,DSL,Yes,"(57.6, 64.8]",No,Mailed check,No,"(68.5, 78.55]",Yes,Yes,Yes,No,Yes,6454-BPFSJ,0
Male,Yes,Two year,No,Yes,No,DSL,Yes,"(7.2, 14.4]",No,Mailed check,No,"(38.35, 48.4]",Yes,No,No phone service,No,Yes,9063-SWYFU,0
Male,No,Month-to-month,No,No,Yes,Fiber optic,No,"(14.4, 21.6]",Yes,Electronic check,Yes,"(88.6, 98.65]",Yes,Yes,No,No,No,5122-BCLQB,0
Male,Yes,Two year,Yes,Yes,No,Fiber optic,Yes,"(64.8, 72.0]",No,Credit card (automatic),No,"(88.6, 98.65]",Yes,Yes,Yes,No,Yes,4332-GTFTO,0
Female,No,One year,No,Yes,Yes,Fiber optic,Yes,"(36.0, 43.2]",Yes,Credit card (automatic),Yes,"(98.65, 108.7]",Yes,Yes,No,No,Yes,0144-HLZAC,0
Male,Yes,Two year,Yes,No,Yes,DSL,No,"(57.6, 64.8]",No,Mailed check,Yes,"(68.5, 78.55]",Yes,Yes,Yes,No,No,9266-NZGMF,0
Male,Yes,One year,Yes,No,No,DSL,Yes,"(43.2, 50.4]",Yes,Electronic check,Yes,"(68.5, 78.55]",No,Yes,Yes,No,Yes,0238-JTKWL,0
Female,No,Month-to-month,No,No,No,DSL,No,"(-0.073, 7.2]",No,Electronic check,Yes,"(18.148999999999997, 28.3]",No,No,No phone service,Yes,No,0158-KWUET,0
Male,No,One year,No,Yes,Yes,Fiber optic,No,"(57.6, 64.8]",No,Bank transfer (automatic),Yes,"(88.6, 98.65]",Yes,Yes,Yes,No,No,7068-SPZMP,0
Female,No,Month-to-month,No internet service,No internet service,No internet service,No,No internet service,"(-0.073, 7.2]",No internet service,Mailed check,No,"(18.148999999999997, 28.3]",No internet service,Yes,No,Yes,No,4969-JTPPU,0
Male,Yes,Month-to-month,Yes,No,No,DSL,Yes,"(-0.073, 7.2]",No,Mailed check,Yes,"(48.4, 58.45]",No,Yes,No,No,No,2630-MMVVX,0
Male,Yes,Month-to-month,No,No,No,Fiber optic,No,"(-0.073, 7.2]",No,Electronic check,Yes,"(68.5, 78.55]",No,Yes,No,Yes,No,2631-RTINQ,0
Female,Yes,Two year,No internet service,No internet service,No internet service,No,No internet service,"(64.8, 72.0]",No internet service,Credit card (automatic),No,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,Yes,8677-OLJJK,0
Male,Yes,One year,No internet service,No internet service,No internet service,No,No internet service,"(50.4, 57.6]",No internet service,Credit card (automatic),No,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,No,3142-ITBUM,0
Male,Yes,One year,Yes,No,Yes,DSL,Yes,"(28.8, 36.0]",Yes,Mailed check,Yes,"(78.55, 88.6]",No,Yes,Yes,No,No,8954-KEAFG,0
Male,No,One year,Yes,Yes,Yes,Fiber optic,Yes,"(28.8, 36.0]",Yes,Credit card (automatic),No,"(108.7, 118.75]",Yes,Yes,Yes,No,No,4031-YBGNF,0
Male,Yes,Two year,Yes,Yes,Yes,Fiber optic,No,"(64.8, 72.0]",Yes,Electronic check,Yes,"(108.7, 118.75]",Yes,Yes,Yes,No,Yes,1627-DITKP,0
Male,Yes,Month-to-month,Yes,No,No,DSL,No,"(28.8, 36.0]",No,Mailed check,Yes,"(48.4, 58.45]",No,Yes,No,No,No,1553-EIIHX,0
Female,Yes,Month-to-month,No,No,No,Fiber optic,Yes,"(50.4, 57.6]",No,Electronic check,Yes,"(78.55, 88.6]",No,Yes,Yes,No,Yes,5703-XWBIH,0
Male,Yes,Two year,Yes,No,No,DSL,No,"(14.4, 21.6]",Yes,Mailed check,No,"(58.45, 68.5]",Yes,Yes,No,No,Yes,3472-ICTIQ,0
Male,No,Month-to-month,No,No,No,Fiber optic,No,"(-0.073, 7.2]",No,Electronic check,Yes,"(68.5, 78.55]",No,Yes,No,No,No,2758-LRIET,0
Male,No,Month-to-month,No,Yes,No,DSL,Yes,"(14.4, 21.6]",No,Credit card (automatic),Yes,"(58.45, 68.5]",No,Yes,Yes,No,No,3255-UBDRN,0
Female,Yes,Month-to-month,Yes,No,Yes,DSL,No,"(14.4, 21.6]",Yes,Electronic check,Yes,"(38.35, 48.4]",No,No,No phone service,Yes,No,4337-FXKDQ,0
Male,No,Month-to-month,Yes,No,No,Fiber optic,No,"(50.4, 57.6]",Yes,Mailed check,No,"(88.6, 98.65]",Yes,Yes,No,No,No,1801-CUXWP,0
Female,Yes,Two year,Yes,Yes,Yes,DSL,No,"(64.8, 72.0]",No,Credit card (automatic),No,"(68.5, 78.55]",Yes,Yes,No,No,Yes,2112-SPNPH,0
Female,Yes,Two year,No internet service,No internet service,No internet service,No,No internet service,"(57.6, 64.8]",No internet service,Mailed check,Yes,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,No,Yes,8062-SQGXI,0
Female,No,Month-to-month,No internet service,No internet service,No internet service,No,No internet service,"(-0.073, 7.2]",No internet service,Electronic check,No,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,No,4977-ZGZJW,0
Male,No,Month-to-month,Yes,No,No,Fiber optic,No,"(7.2, 14.4]",No,Electronic check,Yes,"(78.55, 88.6]",No,Yes,Yes,Yes,No,7225-OEAGA,0
Female,Yes,Month-to-month,Yes,No,No,Fiber optic,No,"(7.2, 14.4]",No,Credit card (automatic),Yes,"(68.5, 78.55]",No,Yes,Yes,Yes,Yes,7150-IGXYJ,0
Male,No,Two year,No internet service,No internet service,No internet service,No,No internet service,"(64.8, 72.0]",No internet service,Bank transfer (automatic),No,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,No,8819-ULGGY,0
Male,No,Month-to-month,No,No,No,Fiber optic,No,"(-0.073, 7.2]",No,Bank transfer (automatic),Yes,"(68.5, 78.55]",No,Yes,Yes,No,No,3747-CKYCN,0
Female,Yes,Two year,Yes,Yes,Yes,DSL,Yes,"(64.8, 72.0]",Yes,Credit card (automatic),No,"(88.6, 98.65]",Yes,Yes,Yes,No,No,8356-VOQEP,0
Male,Yes,One year,Yes,Yes,Yes,Fiber optic,No,"(57.6, 64.8]",Yes,Electronic check,Yes,"(108.7, 118.75]",Yes,Yes,Yes,No,No,0026-THDBB,0
Female,Yes,Two year,Yes,Yes,Yes,DSL,No,"(64.8, 72.0]",No,Electronic check,Yes,"(48.4, 58.45]",Yes,No,No phone service,No,No,1637-XPPHP,0
Male,No,Month-to-month,No,No,No,Fiber optic,No,"(-0.073, 7.2]",No,Electronic check,Yes,"(68.5, 78.55]",No,Yes,Yes,Yes,No,1264-JCUWR,0
Male,Yes,One year,Yes,No,Yes,DSL,No,"(36.0, 43.2]",Yes,Electronic check,Yes,"(68.5, 78.55]",No,Yes,Yes,No,No,3227-PDZMV,0
Female,Yes,Month-to-month,No,Yes,No,DSL,No,"(57.6, 64.8]",No,Electronic check,No,"(58.45, 68.5]",Yes,Yes,Yes,No,Yes,3384-LUKCK,0
Male,Yes,Two year,No,No,No,DSL,Yes,"(57.6, 64.8]",Yes,Bank transfer (automatic),Yes,"(38.35, 48.4]",No,No,No phone service,No,No,1865-CCATM,0
Female,Yes,Month-to-month,No internet service,No internet service,No internet service,No,No internet service,"(-0.073, 7.2]",No internet service,Mailed check,Yes,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,Yes,2820-YUXQY,0
Female,No,Month-to-month,No,Yes,No,Fiber optic,No,"(28.8, 36.0]",No,Electronic check,Yes,"(68.5, 78.55]",No,Yes,No,Yes,No,1047-IVPMF,0
Male,No,Month-to-month,No,No,No,DSL,No,"(-0.073, 7.2]",No,Credit card (automatic),No,"(48.4, 58.45]",No,Yes,Yes,No,No,0388-TYRSK,0
Male,Yes,Month-to-month,Yes,No,Yes,Fiber optic,No,"(-0.073, 7.2]",Yes,Electronic check,Yes,"(88.6, 98.65]",No,Yes,No,Yes,No,8549-KBNBW,0
Female,No,Month-to-month,No internet service,No internet service,No internet service,No,No internet service,"(-0.073, 7.2]",No internet service,Credit card (automatic),Yes,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,No,0067-KRPWV,0
Male,No,Month-to-month,No,No,No,Fiber optic,Yes,"(7.2, 14.4]",Yes,Electronic check,No,"(78.55, 88.6]",No,Yes,No,No,No,4519-DQXBS,0
Female,No,One year,No internet service,No internet service,No internet service,No,No internet service,"(-0.073, 7.2]",No internet service,Mailed check,Yes,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,Yes,3815-GBZIK,0
Female,No,Month-to-month,Yes,No,Yes,Fiber optic,No,"(14.4, 21.6]",No,Electronic check,Yes,"(78.55, 88.6]",No,Yes,Yes,No,No,0561-BCYUD,0
Male,Yes,Month-to-month,No internet service,No internet service,No internet service,No,No internet service,"(-0.073, 7.2]",No internet service,Mailed check,No,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,Yes,4491-RPSIF,0
Female,No,Month-to-month,No,Yes,No,Fiber optic,No,"(21.6, 28.8]",No,Electronic check,No,"(78.55, 88.6]",Yes,Yes,No,Yes,No,2478-DUPUB,0
Male,Yes,Two year,Yes,No,Yes,DSL,No,"(28.8, 36.0]",Yes,Electronic check,No,"(68.5, 78.55]",No,Yes,Yes,Yes,No,9739-CBJTK,0
Female,Yes,Month-to-month,Yes,Yes,No,Fiber optic,No,"(14.4, 21.6]",Yes,Credit card (automatic),Yes,"(88.6, 98.65]",No,Yes,No,No,Yes,2391-QWGRR,0
Male,No,Two year,No,No,Yes,Fiber optic,Yes,"(50.4, 57.6]",No,Electronic check,No,"(88.6, 98.65]",Yes,Yes,Yes,Yes,No,0215-TZFIV,0
Male,Yes,Month-to-month,Yes,No,Yes,DSL,Yes,"(50.4, 57.6]",Yes,Electronic check,No,"(78.55, 88.6]",Yes,Yes,Yes,No,Yes,5629-KYMUH,0
Male,No,Month-to-month,No,No,No,Fiber optic,No,"(-0.073, 7.2]",Yes,Electronic check,No,"(78.55, 88.6]",No,Yes,No,No,No,9690-HJJZH,0
Male,No,Month-to-month,Yes,Yes,No,Fiber optic,No,"(28.8, 36.0]",No,Credit card (automatic),Yes,"(78.55, 88.6]",Yes,Yes,No,No,No,9936-YYIUE,0
Male,Yes,Month-to-month,No,No,No,DSL,No,"(28.8, 36.0]",No,Credit card (automatic),Yes,"(38.35, 48.4]",No,Yes,No,No,No,3249-IBZHR,0
Male,Yes,Two year,No internet service,No internet service,No internet service,No,No internet service,"(64.8, 72.0]",No internet service,Mailed check,No,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,Yes,1070-VXGHB,0
Female,Yes,One year,Yes,No,Yes,DSL,Yes,"(14.4, 21.6]",Yes,Mailed check,No,"(78.55, 88.6]",Yes,Yes,No,No,No,0094-SBFIB,0
Male,No,One year,No internet service,No internet service,No internet service,No,No internet service,"(21.6, 28.8]",No internet service,Mailed check,No,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,No,8595-QJMHU,0
Male,No,Two year,Yes,No,Yes,Fiber optic,Yes,"(43.2, 50.4]",Yes,Bank transfer (automatic),No,"(98.65, 108.7]",No,Yes,No,No,No,4512-ZSSPZ,0
Female,No,One year,No internet service,No internet service,No internet service,No,No internet service,"(28.8, 36.0]",No internet service,Credit card (automatic),No,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,Yes,8028-YAVHL,0
Male,Yes,Month-to-month,Yes,Yes,No,DSL,Yes,"(28.8, 36.0]",Yes,Electronic check,Yes,"(48.4, 58.45]",No,No,No phone service,Yes,No,9498-ERKSN,0
Female,Yes,Two year,No internet service,No internet service,No internet service,No,No internet service,"(43.2, 50.4]",No internet service,Mailed check,No,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,No,No,1512-GOKBC,0
Male,No,Month-to-month,No,Yes,No,DSL,Yes,"(14.4, 21.6]",No,Mailed check,Yes,"(28.3, 38.35]",No,No,No phone service,No,No,7780-LMEHE,0
Male,No,Month-to-month,No,No,Yes,Fiber optic,No,"(7.2, 14.4]",No,Electronic check,Yes,"(78.55, 88.6]",No,Yes,Yes,Yes,No,1477-PNQOC,0
Male,No,Month-to-month,No,Yes,No,Fiber optic,No,"(7.2, 14.4]",No,Electronic check,No,"(68.5, 78.55]",No,Yes,No,No,No,5387-OZOWB,0
Male,Yes,Month-to-month,Yes,No,Yes,Fiber optic,No,"(50.4, 57.6]",Yes,Electronic check,No,"(98.65, 108.7]",No,Yes,Yes,Yes,No,9758-GDTDN,0
Male,Yes,Two year,Yes,No,No,DSL,Yes,"(50.4, 57.6]",No,Credit card (automatic),Yes,"(48.4, 58.45]",No,Yes,No,No,Yes,0564-VRDBR,0
Male,Yes,One year,No,No,Yes,DSL,No,"(7.2, 14.4]",Yes,Electronic check,Yes,"(58.45, 68.5]",No,Yes,No,No,Yes,4765-HCFCG,0
Male,No,Month-to-month,No,No,No,DSL,No,"(7.2, 14.4]",No,Mailed check,No,"(38.35, 48.4]",No,Yes,No,No,No,5626-MFDDL,0
Female,Yes,One year,No,No,No,DSL,No,"(28.8, 36.0]",Yes,Bank transfer (automatic),Yes,"(58.45, 68.5]",Yes,Yes,No,No,No,6052-EXZGQ,0
Female,No,Two year,No internet service,No internet service,No internet service,No,No internet service,"(64.8, 72.0]",No internet service,Bank transfer (automatic),No,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,No,No,9661-PTFMA,0
Male,No,Month-to-month,No,No,No,DSL,No,"(7.2, 14.4]",No,Mailed check,No,"(38.35, 48.4]",No,Yes,No,No,No,6915-HTACF,0
Male,No,Month-to-month,Yes,No,No,DSL,No,"(-0.073, 7.2]",No,Mailed check,No,"(48.4, 58.45]",Yes,Yes,No,No,Yes,3797-YRNIL,0
Male,Yes,Two year,No,No,Yes,DSL,No,"(64.8, 72.0]",Yes,Credit card (automatic),No,"(48.4, 58.45]",Yes,No,No phone service,No,Yes,1116-MPRTV,0
Female,No,One year,No,Yes,Yes,Fiber optic,Yes,"(50.4, 57.6]",No,Electronic check,No,"(88.6, 98.65]",No,Yes,Yes,No,No,3992-NRNUR,0
Female,Yes,One year,Yes,No,Yes,Fiber optic,Yes,"(64.8, 72.0]",Yes,Electronic check,Yes,"(108.7, 118.75]",Yes,Yes,Yes,No,No,9733-QKVVF,0
Female,No,One year,Yes,Yes,No,Fiber optic,No,"(36.0, 43.2]",No,Electronic check,No,"(78.55, 88.6]",No,Yes,No,No,No,4372-JPKDU,0
Male,Yes,One year,No internet service,No internet service,No internet service,No,No internet service,"(50.4, 57.6]",No internet service,Credit card (automatic),No,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,Yes,7876-GIBQC,0
Male,Yes,One year,Yes,Yes,Yes,Fiber optic,Yes,"(64.8, 72.0]",Yes,Electronic check,Yes,"(108.7, 118.75]",Yes,Yes,Yes,Yes,Yes,9180-KVJTB,0
Female,Yes,Two year,No,No,No,DSL,Yes,"(64.8, 72.0]",No,Credit card (automatic),No,"(58.45, 68.5]",Yes,Yes,Yes,No,Yes,8078-GRVZP,0
Female,Yes,One year,Yes,Yes,Yes,DSL,Yes,"(50.4, 57.6]",Yes,Electronic check,Yes,"(88.6, 98.65]",Yes,Yes,Yes,No,No,3786-CYLBH,0
Female,No,One year,No,Yes,Yes,Fiber optic,Yes,"(64.8, 72.0]",Yes,Bank transfer (automatic),Yes,"(98.65, 108.7]",No,Yes,Yes,No,Yes,4088-IKKUC,0
Female,No,Month-to-month,No internet service,No internet service,No internet service,No,No internet service,"(7.2, 14.4]",No internet service,Credit card (automatic),No,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,Yes,1453-MOLXV,0
Female,Yes,Two year,No internet service,No internet service,No internet service,No,No internet service,"(64.8, 72.0]",No internet service,Bank transfer (automatic),Yes,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,Yes,4835-ZQZEC,0
Male,Yes,Month-to-month,Yes,Yes,Yes,DSL,Yes,"(57.6, 64.8]",Yes,Bank transfer (automatic),Yes,"(58.45, 68.5]",No,No,No phone service,No,No,2985-AGKIY,0
Female,Yes,Month-to-month,No,No,No,DSL,Yes,"(21.6, 28.8]",Yes,Credit card (automatic),Yes,"(68.5, 78.55]",Yes,Yes,Yes,Yes,No,8195-VJUWZ,0
Male,No,One year,No internet service,No internet service,No internet service,No,No internet service,"(14.4, 21.6]",No internet service,Mailed check,Yes,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,No,1635-KRUCK,0
Male,No,Month-to-month,Yes,No,Yes,DSL,No,"(64.8, 72.0]",No,Bank transfer (automatic),Yes,"(38.35, 48.4]",No,No,No phone service,No,No,3009-WOUIT,0
Male,Yes,Month-to-month,Yes,No,No,DSL,Yes,"(28.8, 36.0]",Yes,Electronic check,Yes,"(38.35, 48.4]",No,No,No phone service,No,Yes,9869-BBUVY,0
Female,No,Month-to-month,No,Yes,No,Fiber optic,No,"(21.6, 28.8]",Yes,Electronic check,Yes,"(88.6, 98.65]",No,Yes,Yes,Yes,No,8875-BFKMM,0
Female,No,One year,Yes,Yes,Yes,Fiber optic,Yes,"(28.8, 36.0]",Yes,Bank transfer (automatic),Yes,"(108.7, 118.75]",Yes,Yes,Yes,Yes,No,0200-EVMJU,0
Female,No,One year,No,Yes,Yes,Fiber optic,Yes,"(43.2, 50.4]",Yes,Electronic check,Yes,"(98.65, 108.7]",No,Yes,Yes,Yes,No,0034-TGJJM,0
Male,No,Two year,No internet service,No internet service,No internet service,No,No internet service,"(57.6, 64.8]",No internet service,Credit card (automatic),Yes,"(18.148999999999997, 28.3]",No internet service,Yes,Yes,No,No,4506-DSSPU,0
Female,Yes,One year,No,No,Yes,Fiber optic,No,"(21.6, 28.8]",No,Bank transfer (automatic),Yes,"(78.55, 88.6]",Yes,Yes,No,No,Yes,9593-GFDQM,0
Male,No,Month-to-month,Yes,No,Yes,Fiber optic,No,"(-0.073, 7.2]",Yes,Electronic check,No,"(88.6, 98.65]",No,Yes,No,No,No,0349-ZJSXK,0
Male,Yes,Two year,No internet service,No internet service,No internet service,No,No internet service,"(64.8, 72.0]",No internet service,Credit card (automatic),No,"(18.148999999999997, 28.3]",No internet service,Yes,No,No,Yes,2298-VHZBD,0
Female,Yes,Month-to-month,Yes,Yes,No,DSL,No,"(28.8, 36.0]",No,Mailed check,Yes,"(28.3, 38.35]",No,No,No phone service,Yes,Yes,4454-RQOKN,0
Male,No,Month-to-month,No,No,No,Fiber optic,No,"(-0.073, 7.2]",No,Electronic check,Yes,"(68.5, 78.55]",No,Yes,No,No,No,3521-EBFEV,1
Male,No,Month-to-month,No,No,No,DSL,Yes,"(7.2, 14.4]",No,Bank transfer (automatic),No,"(48.4, 58.45]",No,Yes,No,No,No,4710-YUJDB,0
Female,No,Month-to-month,Yes,No,No,Fiber optic,No,"(-0.073, 7.2]",No,Electronic check,Yes,"(68.5, 78.55]",No,Yes,Yes,Yes,No,9914-ZHJIH,0
Female,No,Month-to-month,Yes,No,Yes,Fiber optic,No,"(7.2, 14.4]",Yes,Credit card (automatic),No,"(88.6, 98.65]",No,Yes,Yes,No,No,7362-LENLV,0
Female,Yes,Two year,Yes,Yes,Yes,DSL,Yes,"(64.8, 72.0]",Yes,Bank transfer (automatic),No,"(88.6, 98.65]",Yes,Yes,Yes,No,No,2321-LTCYI,0
Female,Yes,Two year,Yes,No,Yes,DSL,Yes,"(64.8, 72.0]",No,Bank transfer (automatic),Yes,"(68.5, 78.55]",No,Yes,Yes,No,Yes,9777-JWUFL,0
Female,No,One year,Yes,No,No,DSL,Yes,"(14.4, 21.6]",No,Electronic check,Yes,"(58.45, 68.5]",Yes,Yes,No,No,No,9906-FIOFD,0
Female,Yes,One year,Yes,Yes,Yes,Fiber optic,Yes,"(64.8, 72.0]",Yes,Bank transfer (automatic),Yes,"(108.7, 118.75]",No,Yes,Yes,No,Yes,0173-WTKJQ,0
Male,Yes,Two year,Yes,Yes,Yes,DSL,Yes,"(64.8, 72.0]",Yes,Bank transfer (automatic),Yes,"(58.45, 68.5]",Yes,No,No phone service,No,Yes,6419-LDSNA,0
Female,No,Month-to-month,No,No,Yes,Fiber optic,No,"(21.6, 28.8]",No,Electronic check,Yes,"(78.55, 88.6]",No,Yes,No,No,No,4622-LIBQC,0
Female,No,Month-to-month,No,No,Yes,Fiber optic,No,"(7.2, 14.4]",No,Electronic check,Yes,"(78.55, 88.6]",No,Yes,No,No,No,5897-LRUYG,0
