Contract,OnlineBackup,PhoneService,OnlineSecurity,InternetService,StreamingMovies,PaymentMethod,TechSupport,Dependents,PaperlessBilling,MultipleLines,gender,DeviceProtection,SeniorCitizen,StreamingTV,tenure_bins,monthly_charges_bins,Partner,customerID,Churn
One year,Yes,Yes,Yes,Fiber optic,No,Bank transfer (automatic),No,No,No,Yes,Male,No,No,Yes,"(43.2, 50.4]","(88.6, 98.65]",No,0283-DBIGI,0
Two year,No,Yes,Yes,Fiber optic,Yes,Credit card (automatic),Yes,Yes,Yes,No,Male,Yes,No,Yes,"(64.8, 72.0]","(98.65, 108.7]",Yes,5424-XNHUF,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,No,Female,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",Yes,7208-XERRW,0
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,No,No,Yes,Male,Yes,No,No,"(36.0, 43.2]","(78.55, 88.6]",No,9452-XOGPH,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,No,Male,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",No,2684-XXNAH,0
One year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,Yes,No,Female,No internet service,Yes,No internet service,"(21.6, 28.8]","(18.148999999999997, 28.3]",No,1291-HFAJY,0
One year,Yes,Yes,No,DSL,No,Bank transfer (automatic),No,Yes,Yes,Yes,Female,No,No,No,"(57.6, 64.8]","(48.4, 58.45]",Yes,6716-QFCLM,0
One year,No internet service,Yes,No internet service,No,No internet service,Credit card (automatic),No internet service,No,No,No,Male,No internet service,No,No internet service,"(21.6, 28.8]","(18.148999999999997, 28.3]",No,6819-BPODI,0
Two year,No,Yes,Yes,Fiber optic,Yes,Mailed check,Yes,No,Yes,Yes,Female,Yes,Yes,Yes,"(64.8, 72.0]","(108.7, 118.75]",Yes,2060-OCKCE,0
Month-to-month,No,Yes,No,DSL,No,Mailed check,No,Yes,No,No,Female,No,No,No,"(-0.073, 7.2]","(38.35, 48.4]",Yes,7752-WYPHQ,1
Month-to-month,Yes,Yes,Yes,Fiber optic,No,Credit card (automatic),No,No,Yes,No,Female,No,Yes,No,"(36.0, 43.2]","(78.55, 88.6]",No,3704-EQSNY,1
Two year,No,Yes,No,Fiber optic,No,Electronic check,No,Yes,No,No,Female,Yes,No,No,"(64.8, 72.0]","(68.5, 78.55]",Yes,8477-NVQVM,0
Two year,No,Yes,Yes,DSL,Yes,Credit card (automatic),Yes,Yes,Yes,No,Female,Yes,No,Yes,"(64.8, 72.0]","(78.55, 88.6]",Yes,9027-XWBII,0
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,No,No,No,Yes,Female,No,Yes,No,"(-0.073, 7.2]","(88.6, 98.65]",No,9817-GRCKV,1
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,No,No,Yes,Female,No,No,No,"(-0.073, 7.2]","(68.5, 78.55]",No,0983-ATBYI,1
Two year,Yes,Yes,Yes,Fiber optic,Yes,Bank transfer (automatic),Yes,Yes,Yes,Yes,Female,Yes,No,Yes,"(64.8, 72.0]","(108.7, 118.75]",Yes,4478-QJOSC,0
Two year,No internet service,Yes,No internet service,No,No internet service,Credit card (automatic),No internet service,No,No,Yes,Female,No internet service,No,No internet service,"(21.6, 28.8]","(18.148999999999997, 28.3]",No,4506-QZDJZ,1
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,Yes,Female,No internet service,No,No internet service,"(57.6, 64.8]","(18.148999999999997, 28.3]",Yes,4238-BDLBE,0
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Male,Yes,No,Yes,"(21.6, 28.8]","(98.65, 108.7]",No,9969-MCPVL,1
Month-to-month,No,Yes,No,DSL,No,Mailed check,Yes,No,Yes,No,Male,No,No,No,"(-0.073, 7.2]","(48.4, 58.45]",No,5928-UOEPL,0
Two year,No,No,No,DSL,Yes,Bank transfer (automatic),Yes,Yes,No,No phone service,Male,Yes,No,Yes,"(64.8, 72.0]","(48.4, 58.45]",Yes,8338-TBFVF,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Credit card (automatic),No internet service,Yes,No,No,Male,No internet service,No,No internet service,"(7.2, 14.4]","(18.148999999999997, 28.3]",No,2926-WBICA,0
Month-to-month,Yes,Yes,Yes,DSL,No,Electronic check,No,No,No,No,Female,Yes,No,No,"(-0.073, 7.2]","(58.45, 68.5]",No,5341-OQMXM,0
One year,Yes,No,No,DSL,Yes,Mailed check,Yes,Yes,No,No phone service,Male,Yes,No,Yes,"(36.0, 43.2]","(58.45, 68.5]",Yes,0038-NSLJR,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Female,Yes,No,Yes,"(43.2, 50.4]","(98.65, 108.7]",Yes,7726-FMAZD,0
Two year,No,Yes,Yes,DSL,No,Credit card (automatic),Yes,Yes,Yes,Yes,Male,Yes,No,No,"(36.0, 43.2]","(58.45, 68.5]",Yes,3301-HKINO,0
Month-to-month,No,Yes,No,DSL,No,Bank transfer (automatic),Yes,No,No,No,Male,No,No,No,"(7.2, 14.4]","(48.4, 58.45]",Yes,6470-SUWXO,0
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,No,No,No,Yes,Male,Yes,No,No,"(-0.073, 7.2]","(88.6, 98.65]",No,3191-KVSQB,0
One year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,Yes,No,Male,No internet service,No,No internet service,"(28.8, 36.0]","(18.148999999999997, 28.3]",No,8654-NYHDM,0
One year,Yes,Yes,No,Fiber optic,Yes,Bank transfer (automatic),No,No,Yes,Yes,Female,Yes,Yes,Yes,"(50.4, 57.6]","(98.65, 108.7]",No,3541-NQCKR,1
Month-to-month,No,Yes,No,DSL,No,Mailed check,No,No,No,No,Male,No,No,No,"(-0.073, 7.2]","(38.35, 48.4]",No,1062-LPLRR,0
Month-to-month,No,No,No,DSL,No,Electronic check,No,No,Yes,No phone service,Male,No,No,No,"(-0.073, 7.2]","(18.148999999999997, 28.3]",Yes,7663-WSUDJ,1
Month-to-month,No,Yes,No,Fiber optic,No,Bank transfer (automatic),No,No,Yes,No,Male,No,No,Yes,"(14.4, 21.6]","(78.55, 88.6]",No,1850-RSCET,0
Two year,No internet service,Yes,No internet service,No,No internet service,Credit card (automatic),No internet service,No,No,No,Male,No internet service,No,No internet service,"(21.6, 28.8]","(18.148999999999997, 28.3]",No,0544-OLNLE,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,No,No,Male,No,No,Yes,"(28.8, 36.0]","(88.6, 98.65]",Yes,7291-UZZDS,0
One year,No internet service,Yes,No internet service,No,No internet service,Credit card (automatic),No internet service,No,No,No,Male,No internet service,No,No internet service,"(28.8, 36.0]","(18.148999999999997, 28.3]",No,3966-OQCAB,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Female,No internet service,No,No internet service,"(21.6, 28.8]","(18.148999999999997, 28.3]",Yes,8184-CTCKS,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Credit card (automatic),No internet service,No,Yes,No,Male,No internet service,No,No internet service,"(14.4, 21.6]","(18.148999999999997, 28.3]",No,5334-BRPQT,0
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,Yes,No,Yes,Yes,Female,No,No,Yes,"(14.4, 21.6]","(78.55, 88.6]",No,7876-AEOIJ,1
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,No,Male,No internet service,No,No internet service,"(7.2, 14.4]","(18.148999999999997, 28.3]",No,1029-SVAUR,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,No,Yes,Yes,Yes,Female,Yes,No,No,"(21.6, 28.8]","(88.6, 98.65]",Yes,4590-EFLSK,1
Month-to-month,No,Yes,No,DSL,Yes,Electronic check,Yes,No,Yes,No,Male,No,No,Yes,"(-0.073, 7.2]","(68.5, 78.55]",No,5019-SOOVX,1
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Female,No internet service,No,No internet service,"(36.0, 43.2]","(18.148999999999997, 28.3]",No,8898-SDKJY,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Credit card (automatic),Yes,No,Yes,No,Female,No,No,No,"(-0.073, 7.2]","(78.55, 88.6]",No,7163-QIOJH,1
Month-to-month,Yes,Yes,No,Fiber optic,No,Electronic check,No,Yes,Yes,Yes,Male,No,No,Yes,"(14.4, 21.6]","(88.6, 98.65]",No,6898-BFTMR,0
Month-to-month,Yes,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,No,Female,Yes,No,No,"(7.2, 14.4]","(78.55, 88.6]",No,7911-QTPMR,1
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,Yes,No,Yes,Yes,Male,Yes,Yes,Yes,"(50.4, 57.6]","(108.7, 118.75]",No,1495-WFIXF,0
One year,Yes,No,No,DSL,Yes,Bank transfer (automatic),Yes,Yes,No,No phone service,Female,Yes,No,No,"(43.2, 50.4]","(48.4, 58.45]",Yes,9003-WAMJQ,0
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Male,No internet service,No,No internet service,"(57.6, 64.8]","(18.148999999999997, 28.3]",No,1181-JDRJV,0
One year,Yes,Yes,Yes,DSL,Yes,Credit card (automatic),No,Yes,No,Yes,Male,Yes,No,No,"(64.8, 72.0]","(68.5, 78.55]",Yes,0712-GMKIA,1
Month-to-month,No,Yes,No,Fiber optic,No,Bank transfer (automatic),No,No,Yes,No,Male,No,Yes,No,"(36.0, 43.2]","(68.5, 78.55]",Yes,2919-QNMOS,0
Month-to-month,No,Yes,Yes,DSL,No,Electronic check,No,No,No,No,Male,Yes,No,No,"(-0.073, 7.2]","(48.4, 58.45]",No,0691-VFIHM,0
Month-to-month,No,Yes,No,DSL,No,Credit card (automatic),Yes,No,Yes,No,Male,No,No,No,"(-0.073, 7.2]","(48.4, 58.45]",No,0533-BJIFN,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Electronic check,No internet service,No,Yes,No,Male,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",No,2671-TJGCL,0
One year,No internet service,Yes,No internet service,No,No internet service,Bank transfer (automatic),No internet service,No,No,No,Female,No internet service,No,No internet service,"(50.4, 57.6]","(18.148999999999997, 28.3]",Yes,0224-RHCLB,1
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,Yes,No,Yes,No,Female,No,No,Yes,"(-0.073, 7.2]","(88.6, 98.65]",No,6711-ZVFNI,1
Month-to-month,No,Yes,No,DSL,No,Electronic check,No,Yes,Yes,Yes,Male,No,No,No,"(-0.073, 7.2]","(48.4, 58.45]",No,1475-IMHBD,0
Two year,No,No,No,DSL,No,Mailed check,Yes,No,No,No phone service,Female,Yes,No,No,"(7.2, 14.4]","(28.3, 38.35]",No,1886-NNKVE,0
One year,No,Yes,No,DSL,No,Bank transfer (automatic),No,Yes,No,Yes,Male,Yes,No,No,"(43.2, 50.4]","(48.4, 58.45]",Yes,4424-EYDIL,0
Two year,Yes,Yes,No,Fiber optic,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Male,Yes,Yes,Yes,"(64.8, 72.0]","(108.7, 118.75]",Yes,7785-PEBMF,0
One year,No,Yes,No,DSL,Yes,Bank transfer (automatic),Yes,No,No,No,Female,Yes,Yes,Yes,"(43.2, 50.4]","(68.5, 78.55]",No,6676-DUKAZ,0
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Bank transfer (automatic),No,Yes,Yes,Yes,Male,No,No,Yes,"(28.8, 36.0]","(88.6, 98.65]",Yes,6348-QIGMD,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Credit card (automatic),Yes,Yes,No,No,Male,Yes,No,No,"(-0.073, 7.2]","(88.6, 98.65]",Yes,5616-TJBLF,1
One year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,No,Male,No internet service,No,No internet service,"(14.4, 21.6]","(18.148999999999997, 28.3]",Yes,4022-GDHOF,0
Month-to-month,No,Yes,Yes,DSL,No,Mailed check,No,No,Yes,No,Female,No,No,No,"(28.8, 36.0]","(48.4, 58.45]",No,6539-FXKBZ,0
Month-to-month,No,Yes,No,Fiber optic,No,Mailed check,No,Yes,Yes,Yes,Male,Yes,No,No,"(7.2, 14.4]","(68.5, 78.55]",No,1725-DXGWX,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Electronic check,No internet service,Yes,No,No,Female,No internet service,No,No internet service,"(14.4, 21.6]","(18.148999999999997, 28.3]",Yes,7878-VXALT,0
One year,Yes,No,No,DSL,No,Credit card (automatic),No,Yes,Yes,No phone service,Male,Yes,No,No,"(50.4, 57.6]","(28.3, 38.35]",Yes,1636-CYXKT,0
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Male,No,Yes,Yes,"(28.8, 36.0]","(88.6, 98.65]",Yes,4023-KRDCE,1
Two year,Yes,Yes,Yes,DSL,Yes,Bank transfer (automatic),Yes,No,Yes,No,Male,No,No,Yes,"(64.8, 72.0]","(78.55, 88.6]",Yes,6837-DRISK,0
Month-to-month,No,No,No,DSL,Yes,Electronic check,No,No,Yes,No phone service,Female,No,No,Yes,"(21.6, 28.8]","(38.35, 48.4]",No,3183-ACXXZ,0
Month-to-month,No,No,Yes,DSL,No,Credit card (automatic),Yes,No,Yes,No phone service,Male,No,No,Yes,"(7.2, 14.4]","(38.35, 48.4]",No,2217-FGYTQ,1
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Electronic check,No internet service,Yes,No,No,Male,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",Yes,6818-VDOQO,0
Two year,No,Yes,Yes,DSL,No,Mailed check,No,Yes,No,No,Male,Yes,No,Yes,"(14.4, 21.6]","(58.45, 68.5]",Yes,6163-WVEPN,0
Month-to-month,Yes,No,No,DSL,No,Electronic check,No,Yes,No,No phone service,Female,No,No,No,"(7.2, 14.4]","(28.3, 38.35]",No,9495-BJSAH,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,No,Male,No,Yes,No,"(7.2, 14.4]","(78.55, 88.6]",Yes,3468-NEVLH,1
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Male,No internet service,No,No internet service,"(57.6, 64.8]","(18.148999999999997, 28.3]",Yes,6618-NIKCY,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Female,No internet service,No,No internet service,"(-0.073, 7.2]","(18.148999999999997, 28.3]",No,2534-MGHKO,0
One year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,No,Male,No internet service,No,No internet service,"(21.6, 28.8]","(18.148999999999997, 28.3]",No,2298-QRAWJ,0
Month-to-month,No,Yes,No,DSL,No,Bank transfer (automatic),No,No,No,No,Male,No,No,No,"(-0.073, 7.2]","(38.35, 48.4]",No,7297-DPCXZ,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Bank transfer (automatic),No internet service,No,No,Yes,Female,No internet service,No,No internet service,"(14.4, 21.6]","(18.148999999999997, 28.3]",No,6228-CDLMY,0
Month-to-month,No,Yes,Yes,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Female,No,Yes,No,"(64.8, 72.0]","(88.6, 98.65]",Yes,6992-RMDJN,0
Month-to-month,No,Yes,No,Fiber optic,No,Bank transfer (automatic),No,No,Yes,Yes,Female,No,No,No,"(-0.073, 7.2]","(68.5, 78.55]",No,1277-XEBWY,1
Month-to-month,No,Yes,Yes,Fiber optic,No,Bank transfer (automatic),No,Yes,Yes,No,Male,No,No,No,"(21.6, 28.8]","(68.5, 78.55]",No,7828-JZQUX,1
Month-to-month,No,Yes,Yes,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Male,No,No,Yes,"(21.6, 28.8]","(98.65, 108.7]",No,7247-ELXTG,1
Two year,Yes,Yes,Yes,Fiber optic,No,Credit card (automatic),Yes,Yes,No,No,Male,Yes,No,Yes,"(64.8, 72.0]","(98.65, 108.7]",Yes,5784-IEYQY,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Bank transfer (automatic),No,No,Yes,Yes,Female,Yes,Yes,Yes,"(50.4, 57.6]","(98.65, 108.7]",Yes,0835-OOYXN,1
One year,No,Yes,Yes,DSL,Yes,Credit card (automatic),No,No,No,No,Male,Yes,Yes,No,"(43.2, 50.4]","(58.45, 68.5]",No,9880-GRHIU,1
Two year,Yes,Yes,No,DSL,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Male,Yes,No,No,"(50.4, 57.6]","(68.5, 78.55]",No,6363-FNSKS,0
One year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,No,Yes,Female,No internet service,No,No internet service,"(21.6, 28.8]","(18.148999999999997, 28.3]",Yes,1061-JFEON,0
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Male,Yes,No,Yes,"(7.2, 14.4]","(98.65, 108.7]",No,7372-TPXGI,1
Month-to-month,Yes,Yes,No,DSL,No,Electronic check,No,No,No,Yes,Male,No,No,No,"(-0.073, 7.2]","(48.4, 58.45]",No,0596-ABAEY,0
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,Yes,Yes,No,Female,No,No,Yes,"(-0.073, 7.2]","(78.55, 88.6]",Yes,2065-ELSDQ,0
One year,No,No,Yes,DSL,No,Bank transfer (automatic),No,No,Yes,No phone service,Male,No,No,No,"(43.2, 50.4]","(28.3, 38.35]",No,6615-FBAVX,0
One year,No,No,No,DSL,Yes,Electronic check,Yes,Yes,Yes,No phone service,Female,Yes,No,Yes,"(50.4, 57.6]","(48.4, 58.45]",Yes,0695-IUNFV,0
Month-to-month,No,Yes,No,DSL,No,Electronic check,No,Yes,Yes,No,Male,No,No,No,"(-0.073, 7.2]","(38.35, 48.4]",Yes,6477-FQKTE,0
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,No,Female,No internet service,No,No internet service,"(21.6, 28.8]","(18.148999999999997, 28.3]",No,3517-DVSNX,0
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Male,Yes,Yes,Yes,"(36.0, 43.2]","(98.65, 108.7]",Yes,8940-MGFGQ,1
Two year,Yes,Yes,Yes,DSL,Yes,Credit card (automatic),Yes,Yes,Yes,Yes,Female,Yes,No,Yes,"(64.8, 72.0]","(88.6, 98.65]",Yes,0647-VEPYI,0
Two year,Yes,Yes,Yes,DSL,Yes,Credit card (automatic),Yes,Yes,Yes,Yes,Female,Yes,No,Yes,"(28.8, 36.0]","(88.6, 98.65]",Yes,4639-XWJNN,0
One year,No,Yes,No,DSL,No,Mailed check,No,Yes,Yes,No,Male,No,No,No,"(7.2, 14.4]","(38.35, 48.4]",Yes,1649-JPQYL,0
One year,No internet service,Yes,No internet service,No,No internet service,Electronic check,No internet service,No,No,No,Female,No internet service,No,No internet service,"(50.4, 57.6]","(18.148999999999997, 28.3]",Yes,8987-QVYGJ,0
One year,Yes,Yes,Yes,Fiber optic,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Male,Yes,No,Yes,"(64.8, 72.0]","(108.7, 118.75]",No,6708-AQIUE,1
Two year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,Yes,No,No,Male,No internet service,No,No internet service,"(64.8, 72.0]","(18.148999999999997, 28.3]",Yes,5826-GUTIH,0
Month-to-month,Yes,Yes,No,Fiber optic,No,Credit card (automatic),Yes,Yes,Yes,No,Female,Yes,Yes,Yes,"(50.4, 57.6]","(88.6, 98.65]",Yes,3881-JEDII,0
Two year,Yes,Yes,Yes,Fiber optic,Yes,Bank transfer (automatic),Yes,No,Yes,Yes,Male,Yes,Yes,Yes,"(64.8, 72.0]","(108.7, 118.75]",Yes,6552-TTVRQ,0
One year,No,Yes,Yes,Fiber optic,Yes,Credit card (automatic),Yes,No,Yes,Yes,Male,Yes,No,Yes,"(43.2, 50.4]","(108.7, 118.75]",Yes,4197-MTIGK,1
Two year,Yes,Yes,No,Fiber optic,Yes,Credit card (automatic),Yes,No,Yes,Yes,Male,No,No,Yes,"(64.8, 72.0]","(98.65, 108.7]",Yes,8747-IAPFB,0
Month-to-month,No,Yes,No,Fiber optic,No,Electronic check,No,No,Yes,No,Female,No,Yes,No,"(-0.073, 7.2]","(68.5, 78.55]",No,3377-IWNMR,1
One year,Yes,No,No,DSL,No,Credit card (automatic),Yes,No,Yes,No phone service,Female,Yes,No,No,"(7.2, 14.4]","(38.35, 48.4]",No,3084-MTNPO,0
Month-to-month,No,Yes,No,Fiber optic,Yes,Electronic check,No,No,Yes,No,Male,Yes,Yes,Yes,"(-0.073, 7.2]","(88.6, 98.65]",No,8949-GKRZK,0
Month-to-month,No internet service,Yes,No internet service,No,No internet service,Bank transfer (automatic),No internet service,No,No,No,Female,No internet service,No,No internet service,"(36.0, 43.2]","(18.148999999999997, 28.3]",Yes,0169-YFHWB,0
Month-to-month,Yes,Yes,No,Fiber optic,Yes,Electronic check,Yes,No,Yes,Yes,Male,Yes,No,Yes,"(57.6, 64.8]","(108.7, 118.75]",No,1069-PKADS,0
Month-to-month,No,Yes,No,Fiber optic,No,Bank transfer (automatic),No,No,Yes,No,Male,Yes,No,No,"(-0.073, 7.2]","(68.5, 78.55]",No,8416-LRYYF,1
One year,No,Yes,Yes,Fiber optic,Yes,Electronic check,No,No,Yes,Yes,Male,No,No,Yes,"(50.4, 57.6]","(98.65, 108.7]",Yes,9019-JNXFB,0
Month-to-month,No,Yes,No,Fiber optic,No,Mailed check,No,No,Yes,No,Female,No,Yes,No,"(-0.073, 7.2]","(68.5, 78.55]",No,3247-DYLWH,1
One year,No internet service,Yes,No internet service,No,No internet service,Mailed check,No internet service,No,Yes,No,Female,No internet service,No,No internet service,"(21.6, 28.8]","(18.148999999999997, 28.3]",No,6110-VPHCQ,0
Month-to-month,No,Yes,Yes,DSL,No,Mailed check,No,Yes,No,No,Female,No,No,No,"(-0.073, 7.2]","(48.4, 58.45]",Yes,6954-EEODX,0
Month-to-month,No,Yes,No,Fiber optic,No,Mailed check,No,No,No,Yes,Female,Yes,Yes,No,"(28.8, 36.0]","(78.55, 88.6]",Yes,5835-YXZQE,0
Two year,No,Yes,Yes,Fiber optic,Yes,Bank transfer (automatic),No,No,No,Yes,Female,No,No,Yes,"(64.8, 72.0]","(98.65, 108.7]",Yes,3170-MJRUU,0
Month-to-month,Yes,No,No,DSL,No,Electronic check,No,No,Yes,No phone service,Female,No,Yes,Yes,"(36.0, 43.2]","(38.35, 48.4]",Yes,9369-NVRHW,1
Month-to-month,Yes,Yes,No,DSL,No,Electronic check,Yes,No,Yes,No,Female,No,No,Yes,"(7.2, 14.4]","(58.45, 68.5]",No,9708-YQNUF,0
One year,No,Yes,Yes,Fiber optic,Yes,Bank transfer (automatic),No,No,Yes,Yes,Female,Yes,No,Yes,"(50.4, 57.6]","(98.65, 108.7]",No,2177-LUIIY,1
Month-to-month,Yes,Yes,No,Fiber optic,No,Electronic check,No,No,No,No,Female,Yes,No,No,"(14.4, 21.6]","(68.5, 78.55]",No,1501-HENWA,0
