,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Period
3445,7047-FWEYA,Female,No,Yes,No,58,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,39.69375109831881,5399.922687181586,0,M12
3476,3756-VNWDH,Male,Yes,Yes,No,77,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,39.69375109831881,7479.922687181586,0,M12
3496,5201-FRKKS,Male,No,No,No,37,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),39.69375109831881,2757.5226871815867,0,M12
3513,4063-EIKNQ,Male,No,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),39.69375109831881,1072.6226871815868,1,M12
3568,2227-JRSJX,Female,No,No,No,33,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),39.69375109831881,2761.6726871815863,0,M12
3633,3878-AVSOQ,Female,Yes,No,No,13,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,39.69375109831881,876.5226871815864,0,M12
3692,7159-FVYPK,Female,No,Yes,Yes,15,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),39.69375109831881,1040.2726871815867,1,M12
3701,3812-LRZIR,Female,No,Yes,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,39.69375109831881,1567.2226871815867,1,M12
3704,4227-OJHAL,Female,No,Yes,Yes,80,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),39.69375109831881,5968.272687181587,0,M12
3714,7306-YDSOI,Male,No,Yes,Yes,81,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),39.69375109831881,4875.172687181586,0,M12
3751,2522-AHJXR,Male,No,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),39.69375109831881,7378.122687181587,0,M12
3938,6629-LADHQ,Female,No,No,No,14,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,39.69375109831881,928.3226871815865,0,M12
3943,8720-RQSBJ,Male,Yes,No,No,13,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,39.69375109831881,849.2726871815865,0,M12
3973,3441-CGZJH,Female,No,Yes,Yes,55,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),39.69375109831881,3445.822687181587,1,M12
4017,9473-CBZOP,Female,No,No,No,40,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,39.69375109831881,2459.7226871815865,0,M12
4022,5863-OOKCL,Female,No,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.69375109831881,968.4726871815865,0,M12
4127,8626-XHBIE,Male,No,No,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,39.69375109831881,2229.4726871815865,1,M12
4151,7733-UDMTP,Female,Yes,No,No,69,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,39.69375109831881,3899.322687181587,0,M12
4163,9253-VIFJQ,Male,No,Yes,No,77,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Credit card (automatic),39.69375109831881,5114.822687181587,0,M12
4166,5917-RYRMG,Male,Yes,No,No,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),39.69375109831881,1392.9726871815867,1,M12
4191,2027-WKXMW,Female,No,Yes,No,75,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,39.69375109831881,7676.9726871815865,1,M12
4208,9955-QOPOY,Male,No,Yes,No,81,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),39.69375109831881,5068.672687181586,0,M12
4238,5016-LIPDW,Male,No,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,39.69375109831881,1866.8726871815868,1,M12
4282,5811-IWXYM,Female,No,Yes,Yes,64,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),39.69375109831881,6106.372687181587,0,M12
4383,1088-CNNKB,Male,No,Yes,No,75,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),39.69375109831881,5845.4726871815865,0,M12
4477,6937-GCDGQ,Male,No,Yes,Yes,31,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Bank transfer (automatic),39.69375109831881,1760.8726871815868,1,M12
4560,2252-ISRNH,Male,No,Yes,Yes,21,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,39.69375109831881,1573.172687181587,1,M12
4580,0825-CPPQH,Female,No,Yes,No,83,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),39.69375109831881,2177.7226871815865,0,M12
4621,0311-QYWSS,Female,No,No,No,18,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,39.69375109831881,1119.8726871815866,0,M12
4626,0929-PECLO,Female,Yes,No,No,75,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),39.69375109831881,6344.072687181587,1,M12
4685,0345-XMMUG,Female,No,Yes,No,58,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),39.69375109831881,5659.572687181587,0,M12
4686,8024-XNAFQ,Female,Yes,No,No,84,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),39.69375109831881,8554.022687181585,1,M12
4718,3556-BVQGL,Female,No,Yes,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,39.69375109831881,1221.7226871815867,0,M12
4791,7808-DVWEP,Male,No,Yes,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),39.69375109831881,854.9226871815865,0,M12
4816,5906-DVAPM,Female,No,Yes,Yes,67,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),39.69375109831881,5019.172687181586,0,M12
4833,8510-BBWMU,Female,No,No,No,53,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,39.69375109831881,1612.2226871815867,0,M12
4841,9058-MJLZC,Female,No,No,No,36,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,39.69375109831881,3088.4226871815863,0,M12
4849,8190-ZTQFB,Male,No,No,No,53,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,39.69375109831881,2880.372687181586,1,M12
4853,0440-UEDAI,Female,No,No,No,65,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),39.69375109831881,5848.022687181587,0,M12
4857,6344-SFJVH,Female,No,No,No,32,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),39.69375109831881,1311.2226871815867,0,M12
4878,7869-ZYDST,Male,No,Yes,No,43,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),39.69375109831881,2688.072687181586,1,M12
4887,9184-GALIL,Female,No,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,39.69375109831881,1586.522687181587,1,M12
4890,3162-ZJZFU,Male,No,Yes,Yes,65,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,39.69375109831881,5584.7226871815865,0,M12
5009,0052-DCKON,Male,No,Yes,No,78,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),39.69375109831881,8747.422687181584,0,M12
5013,1261-FWTTE,Male,Yes,No,No,35,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),39.69375109831881,1573.7226871815867,1,M12
5052,3255-GRXMG,Male,No,No,Yes,30,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),39.69375109831881,1552.4726871815867,0,M12
5085,7074-STDCN,Male,No,No,No,51,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,39.69375109831881,2299.7726871815867,1,M12
5128,4128-ETESU,Female,Yes,Yes,No,59,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,39.69375109831881,5552.4726871815865,0,M12
5139,5549-ZGHFB,Male,No,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,39.69375109831881,2066.7226871815865,0,M12
5146,3797-FKOGQ,Male,No,No,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,39.69375109831881,1698.4726871815867,0,M12
5150,7017-VFULY,Female,No,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),39.69375109831881,848.4226871815865,0,M12
5161,0696-UKTOX,Male,No,No,Yes,35,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,39.69375109831881,2117.7226871815865,0,M12
5238,7841-FCRQD,Female,No,Yes,No,45,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),39.69375109831881,2662.572687181587,0,M12
5267,8075-GXIUB,Male,Yes,Yes,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),39.69375109831881,988.4226871815865,0,M12
5305,9027-TMATR,Female,No,Yes,No,55,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,39.69375109831881,4265.572687181587,1,M12
5314,2535-PBCGC,Female,No,Yes,No,82,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),39.69375109831881,5310.172687181586,0,M12
5322,8731-WBBMB,Female,No,Yes,No,38,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),39.69375109831881,2883.822687181587,0,M12
5347,9788-HNGUT,Male,No,Yes,No,84,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),39.69375109831881,9399.672687181583,0,M12
5361,2495-TTHBQ,Female,No,No,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,39.69375109831881,890.0226871815864,0,M12
