,Contract,Dependents,DeviceProtection,InternetService,MultipleLines,OnlineBackup,OnlineSecurity,PaperlessBilling,Partner,PaymentMethod,PhoneService,SeniorCitizen,StreamingMovies,StreamingTV,TechSupport,gender,Churn,percent,combined,t_hash
0,Month-to-month,No,No internet service,No,No,No internet service,No internet service,No,No,Mailed check,Yes,No,No internet service,No internet service,No internet service,Male,18,0.009630818619582664,Month-to-month|No|No internet service|No|No|No internet service|No internet service|No|No|Mailed check|Yes|No|No internet service|No internet service|No internet service|Male,053c2b2b4bd2383e4c2e82940617e5a60c9ebf7eefbf1f16a7db074a15bb6536
20,Month-to-month,No,No,Fiber optic,No,No,No,Yes,No,Electronic check,Yes,No,Yes,No,No,Male,7,0.003745318352059925,Month-to-month|No|No|Fiber optic|No|No|No|Yes|No|Electronic check|Yes|No|Yes|No|No|Male,53a39fdfad60352c10ec29bb7469177ae924e489f875cb6d53eecc4ed1280d48
21,Month-to-month,No,No,Fiber optic,Yes,Yes,No,Yes,No,Electronic check,Yes,No,No,No,No,Male,7,0.003745318352059925,Month-to-month|No|No|Fiber optic|Yes|Yes|No|Yes|No|Electronic check|Yes|No|No|No|No|Male,87cd204fcc7458af1a90c50b43dbd2f5c031d303b17492ae089efb0df52e5b2b
22,Month-to-month,No,No,DSL,No,No,No,Yes,No,Mailed check,Yes,No,No,No,No,Male,7,0.003745318352059925,Month-to-month|No|No|DSL|No|No|No|Yes|No|Mailed check|Yes|No|No|No|No|Male,b26a7feb81ba44d199eec5bc14b4018773b8ae6885c5db693af2676ef78f407a
23,Month-to-month,No,No,Fiber optic,No,No,No,Yes,No,Electronic check,Yes,No,Yes,No,No,Female,7,0.003745318352059925,Month-to-month|No|No|Fiber optic|No|No|No|Yes|No|Electronic check|Yes|No|Yes|No|No|Female,a2d03d9b42df2d61267607ceae7c6e3b08dad92291591a7c439cc8e3465f81dc
24,Month-to-month,No,No,Fiber optic,No,No,No,No,No,Electronic check,Yes,No,No,No,No,Female,7,0.003745318352059925,Month-to-month|No|No|Fiber optic|No|No|No|No|No|Electronic check|Yes|No|No|No|No|Female,fc1246999f73ded0e9cc5e167288e789234a2dbe496e2bb2b3e24c0a63fed7bc
25,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,No,Electronic check,Yes,Yes,No,No,No,Female,7,0.003745318352059925,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|No|Electronic check|Yes|Yes|No|No|No|Female,d4a585a95f924aff7900d49b8b41d0f01405bfa361f02db12646251591e623d1
26,Month-to-month,No,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,No,Male,7,0.003745318352059925,Month-to-month|No|Yes|Fiber optic|Yes|Yes|No|Yes|Yes|Electronic check|Yes|Yes|Yes|Yes|No|Male,feca625ed8476c55f7e033744f5e7d5403216e1b4313cfb4737d4442512aede3
27,Month-to-month,No,No,DSL,No,No,No,Yes,No,Electronic check,Yes,No,No,No,No,Male,7,0.003745318352059925,Month-to-month|No|No|DSL|No|No|No|Yes|No|Electronic check|Yes|No|No|No|No|Male,dec143c4e11a295b0e86a3cdf0505b8da4b6e26459f5d8f86aa9206ba881074d
28,Month-to-month,Yes,No,Fiber optic,No,No,No,Yes,Yes,Electronic check,Yes,No,No,No,No,Male,6,0.0032102728731942215,Month-to-month|Yes|No|Fiber optic|No|No|No|Yes|Yes|Electronic check|Yes|No|No|No|No|Male,7078fba1b02693519f7432d6a17ff310126afae746e72b77b7487e12c91a32c1
29,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,No,Male,6,0.0032102728731942215,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|No|Electronic check|Yes|No|Yes|Yes|No|Male,468377509f1bb60b3612ea494c89ed9d93abfe13f1796875efa2c3e2638fa46e
30,Month-to-month,No,Yes,Fiber optic,Yes,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,No,Female,6,0.0032102728731942215,Month-to-month|No|Yes|Fiber optic|Yes|No|No|Yes|No|Electronic check|Yes|No|Yes|Yes|No|Female,84fb424bd71364a0199dc03786015ffc4deaa4a23e666bdac8c8cb82fb9077ac
31,Month-to-month,No,No,DSL,No,No,No,No,No,Mailed check,Yes,No,No,No,No,Male,6,0.0032102728731942215,Month-to-month|No|No|DSL|No|No|No|No|No|Mailed check|Yes|No|No|No|No|Male,1b841338f562c54f6c4ac9a70174885c1251839cde16fe716c3da2a13a2712e7
32,Month-to-month,No,No,DSL,No,No,No,No,No,Electronic check,Yes,No,No,No,No,Male,6,0.0032102728731942215,Month-to-month|No|No|DSL|No|No|No|No|No|Electronic check|Yes|No|No|No|No|Male,144ca57ffb2f332d053711f5454a5ca5eafaab7da878e767efac97733e17ab7b
33,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,No,Electronic check,Yes,Yes,Yes,No,No,Female,5,0.002675227394328518,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|No|Electronic check|Yes|Yes|Yes|No|No|Female,8cdf555e98d94b0ec21d2b24c6136540e72d6ba022fe8bf1f7fdbd46b1edc359
34,Month-to-month,No,No,Fiber optic,Yes,No,No,No,No,Electronic check,Yes,No,No,No,No,Female,5,0.002675227394328518,Month-to-month|No|No|Fiber optic|Yes|No|No|No|No|Electronic check|Yes|No|No|No|No|Female,e34e3fa20603368f790aeb5dc8af5f7ac8d412173836dd43d9f885ab99ff7923
35,Month-to-month,No,No,Fiber optic,No,No,No,Yes,No,Mailed check,Yes,No,No,No,No,Female,5,0.002675227394328518,Month-to-month|No|No|Fiber optic|No|No|No|Yes|No|Mailed check|Yes|No|No|No|No|Female,02322e6518a23650871c3951875848162dda3815a08c94ed64027bb6dddb9ef4
36,Month-to-month,No,No,DSL,No,No,No,Yes,No,Mailed check,Yes,No,No,No,No,Female,5,0.002675227394328518,Month-to-month|No|No|DSL|No|No|No|Yes|No|Mailed check|Yes|No|No|No|No|Female,ba851ad913d28054842cfd6a0b019232cb2713e75d70c777562b41991a5ec34e
37,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,No,Electronic check,Yes,No,No,Yes,No,Female,5,0.002675227394328518,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|No|Electronic check|Yes|No|No|Yes|No|Female,3fef62b5672648cb40a7aa303b8a412f61d58daf01280a36969adb8d7849ca56
38,Month-to-month,No,No,Fiber optic,No,No,No,Yes,Yes,Electronic check,Yes,No,No,No,No,Male,5,0.002675227394328518,Month-to-month|No|No|Fiber optic|No|No|No|Yes|Yes|Electronic check|Yes|No|No|No|No|Male,9496c70974ed8201199fb0fafbcadbb4640377044926525c67343e0b5f2548b3
39,Month-to-month,No,No,Fiber optic,Yes,Yes,No,Yes,No,Electronic check,Yes,No,Yes,Yes,No,Male,5,0.002675227394328518,Month-to-month|No|No|Fiber optic|Yes|Yes|No|Yes|No|Electronic check|Yes|No|Yes|Yes|No|Male,8d7eb11603855c801ebb703439c74ce2e767bd8e8babad3e3caa42acc7ff725e
40,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,No,Electronic check,Yes,No,Yes,No,No,Female,5,0.002675227394328518,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|No|Electronic check|Yes|No|Yes|No|No|Female,b27381b85345ac3943e97d9cbf4d66325d5c2dbe0d1658a32b9868552d553185
41,Month-to-month,Yes,No internet service,No,No,No internet service,No internet service,No,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,Female,4,0.002140181915462814,Month-to-month|Yes|No internet service|No|No|No internet service|No internet service|No|Yes|Mailed check|Yes|No|No internet service|No internet service|No internet service|Female,e76fa1e09cec4fba6b37f8cf987176c4f9732fb7a51885fd9cfd527631ed0fa2
42,Month-to-month,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,Electronic check,Yes,Yes,Yes,Yes,No,Male,4,0.002140181915462814,Month-to-month|No|No|Fiber optic|Yes|Yes|No|Yes|Yes|Electronic check|Yes|Yes|Yes|Yes|No|Male,1e3a04740162c6039aee7bb99be09b08109808617417579a0abbeba22ed0624c
43,Month-to-month,No,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,Male,4,0.002140181915462814,Month-to-month|No|Yes|Fiber optic|Yes|Yes|No|Yes|Yes|Electronic check|Yes|No|Yes|Yes|No|Male,c0e9b6f079d3b52514164e61f578bde76e7374009956c1809969500e67191338
44,Month-to-month,No,No,Fiber optic,No,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,No,Female,4,0.002140181915462814,Month-to-month|No|No|Fiber optic|No|No|No|Yes|No|Electronic check|Yes|No|Yes|Yes|No|Female,e338f72eba98e4dc65ecf5edd6209e671d1021c76dafb22e596c69dec1810733
45,Month-to-month,No,No,Fiber optic,No,No,No,Yes,Yes,Electronic check,Yes,No,No,No,No,Female,4,0.002140181915462814,Month-to-month|No|No|Fiber optic|No|No|No|Yes|Yes|Electronic check|Yes|No|No|No|No|Female,4aab99b184ed5cfe6f870c0fa9ae27936826d92215c9a12e63b473ed458f2a95
46,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,No,Electronic check,Yes,No,No,Yes,No,Male,4,0.002140181915462814,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|No|Electronic check|Yes|No|No|Yes|No|Male,909ac941972df747c0ac61ee4be2fd7a58cd9119b4125bbc3f41ff7e202484ed
47,Month-to-month,No,No,Fiber optic,No,No,No,Yes,No,Electronic check,Yes,Yes,No,No,No,Male,4,0.002140181915462814,Month-to-month|No|No|Fiber optic|No|No|No|Yes|No|Electronic check|Yes|Yes|No|No|No|Male,98e470c59c1cd3c41700ee05b64935a4d74c269c69ac150eff3c516cedbaf34e
48,Month-to-month,No,No,Fiber optic,No,Yes,No,Yes,No,Electronic check,Yes,Yes,No,No,No,Male,4,0.002140181915462814,Month-to-month|No|No|Fiber optic|No|Yes|No|Yes|No|Electronic check|Yes|Yes|No|No|No|Male,6d5998619123640af9afb44acec56c5932e7153a308968ede8a64bce90a4e3c1
49,Month-to-month,No,Yes,Fiber optic,Yes,Yes,No,Yes,No,Electronic check,Yes,No,Yes,Yes,No,Male,4,0.002140181915462814,Month-to-month|No|Yes|Fiber optic|Yes|Yes|No|Yes|No|Electronic check|Yes|No|Yes|Yes|No|Male,18a8d3798b5e1534bfb6be8e23e4125697709de754f6b55711ac76eb6d89430e
50,Month-to-month,No,Yes,Fiber optic,Yes,Yes,No,Yes,No,Electronic check,Yes,No,Yes,Yes,No,Female,4,0.002140181915462814,Month-to-month|No|Yes|Fiber optic|Yes|Yes|No|Yes|No|Electronic check|Yes|No|Yes|Yes|No|Female,67d529652d2052ef1d8c1826591bb9cd64fc5d18f82fb026d88b04e90e479ccf
51,Month-to-month,No,No internet service,No,No,No internet service,No internet service,No,No,Bank transfer (automatic),Yes,No,No internet service,No internet service,No internet service,Female,4,0.002140181915462814,Month-to-month|No|No internet service|No|No|No internet service|No internet service|No|No|Bank transfer (automatic)|Yes|No|No internet service|No internet service|No internet service|Female,f40222074a7876b938fc52d4bd7037f2d908ad869843ffa1f6ae5e7945782988
52,Month-to-month,No,No,Fiber optic,No,No,No,No,No,Bank transfer (automatic),Yes,No,No,No,No,Female,4,0.002140181915462814,Month-to-month|No|No|Fiber optic|No|No|No|No|No|Bank transfer (automatic)|Yes|No|No|No|No|Female,79e1ff95e0e3f044e4ed958e0346cde998bac3f20d25945bf4e8a610a447ac11
53,Month-to-month,Yes,No internet service,No,No,No internet service,No internet service,Yes,Yes,Mailed check,Yes,No,No internet service,No internet service,No internet service,Female,4,0.002140181915462814,Month-to-month|Yes|No internet service|No|No|No internet service|No internet service|Yes|Yes|Mailed check|Yes|No|No internet service|No internet service|No internet service|Female,dd3ee9edd622f53b67b1bad78ae032fe11950af73e74ff06deb1b4b055d48e86
54,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,Yes,Electronic check,Yes,No,No,No,No,Male,4,0.002140181915462814,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|Yes|Electronic check|Yes|No|No|No|No|Male,c6711896d4da7b385becd9d6d03708d19f8027a32628a86cc03ef40eae8b3ddf
55,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,No,Electronic check,Yes,Yes,No,Yes,No,Female,4,0.002140181915462814,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|No|Electronic check|Yes|Yes|No|Yes|No|Female,14c4d33affa5c5320cb0cc04d6f282b09d9a2787a596df4516d2994690787030
56,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,Yes,Credit card (automatic),Yes,No,No,No,No,Female,4,0.002140181915462814,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|Yes|Credit card (automatic)|Yes|No|No|No|No|Female,130c841957cad2609e073f33297e1aac4913a48a511092a97fc40cc7442916d2
57,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,Yes,Electronic check,Yes,Yes,No,No,No,Male,4,0.002140181915462814,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|Yes|Electronic check|Yes|Yes|No|No|No|Male,53d97048a1e38e3d2efb899dee4b207d9502536d5faab258bfff8592a0bf417f
58,Month-to-month,No,No,DSL,No,No,No,No,No,Mailed check,Yes,No,No,No,No,Female,4,0.002140181915462814,Month-to-month|No|No|DSL|No|No|No|No|No|Mailed check|Yes|No|No|No|No|Female,f4991ba506a234544ff82a562b07bc0ae45a9645154b930098e021d5d1acc8dc
59,Month-to-month,No,No,Fiber optic,No,No,No,No,No,Electronic check,Yes,No,Yes,Yes,No,Female,4,0.002140181915462814,Month-to-month|No|No|Fiber optic|No|No|No|No|No|Electronic check|Yes|No|Yes|Yes|No|Female,fccedd898acc4cfe5008ab254ba08382d83449a216b805fb34cafdd15af73eb9
60,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,Female,4,0.002140181915462814,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|Yes|Electronic check|Yes|No|Yes|Yes|No|Female,83564bb7acf4a3ff2626a5ad683cdf241604691a607a64b52eded4b53ffdea67
61,Month-to-month,No,No,Fiber optic,No,No,No,No,No,Mailed check,Yes,No,No,No,No,Female,4,0.002140181915462814,Month-to-month|No|No|Fiber optic|No|No|No|No|No|Mailed check|Yes|No|No|No|No|Female,838494912c784eb373e6fedf52347353c65831cea7e546969b59248849c0fed4
62,Month-to-month,No,Yes,Fiber optic,Yes,No,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,Male,4,0.002140181915462814,Month-to-month|No|Yes|Fiber optic|Yes|No|No|Yes|Yes|Electronic check|Yes|No|Yes|Yes|No|Male,b57505ced48c3603870caeab15be826f8a3e5a8b8dea6f2267bf7ead2d0daf07
63,Month-to-month,No,No,DSL,No,No,No,No,No,Electronic check,Yes,No,No,No,No,Female,3,0.0016051364365971107,Month-to-month|No|No|DSL|No|No|No|No|No|Electronic check|Yes|No|No|No|No|Female,45a486702a0745f36e6a9e97ee233486d8c438f4a5a6cfa7488eb28cb0231247
64,Month-to-month,No,No,Fiber optic,Yes,Yes,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,No,Female,3,0.0016051364365971107,Month-to-month|No|No|Fiber optic|Yes|Yes|No|Yes|No|Electronic check|Yes|Yes|Yes|Yes|No|Female,c0e36e43a87a9a8e8a2cc820ac0de3bfd02d5884573a34b4f59d5c97baf5e99b
65,Month-to-month,No,No,DSL,No phone service,No,No,No,No,Electronic check,No,Yes,No,No,No,Female,3,0.0016051364365971107,Month-to-month|No|No|DSL|No phone service|No|No|No|No|Electronic check|No|Yes|No|No|No|Female,0c320aea8e6960a6e112a9b45067e28cf59359b8b2fde1c184387705b302edec
66,Month-to-month,No,No,Fiber optic,No,No,No,No,No,Electronic check,Yes,No,No,Yes,No,Male,3,0.0016051364365971107,Month-to-month|No|No|Fiber optic|No|No|No|No|No|Electronic check|Yes|No|No|Yes|No|Male,f11c1df6e92e364afbd20d66be02ccbc72d25d23bbc3ff8c43c4ff1e068ec772
67,Month-to-month,No,Yes,Fiber optic,Yes,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,No,Male,3,0.0016051364365971107,Month-to-month|No|Yes|Fiber optic|Yes|No|No|Yes|No|Electronic check|Yes|No|Yes|Yes|No|Male,e267fe1fb5889e72ef3cda5abe2b514eed69f53af7c331351699c201dd9bdfb7
68,Month-to-month,No,Yes,Fiber optic,No,No,No,Yes,No,Electronic check,Yes,No,Yes,Yes,No,Male,3,0.0016051364365971107,Month-to-month|No|Yes|Fiber optic|No|No|No|Yes|No|Electronic check|Yes|No|Yes|Yes|No|Male,cf1ada3597bfd3e30a604c22c6becb58a0ed747f501f86d5b784684fba894172
69,Month-to-month,No,Yes,Fiber optic,Yes,Yes,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,No,Female,3,0.0016051364365971107,Month-to-month|No|Yes|Fiber optic|Yes|Yes|No|Yes|No|Electronic check|Yes|Yes|Yes|Yes|No|Female,5d8828d569b06e0ce80c78ab6537d7e58db978ca617cbeff2ae94d6393fb0928
70,Month-to-month,No,Yes,Fiber optic,Yes,Yes,No,Yes,No,Electronic check,Yes,Yes,Yes,Yes,No,Male,3,0.0016051364365971107,Month-to-month|No|Yes|Fiber optic|Yes|Yes|No|Yes|No|Electronic check|Yes|Yes|Yes|Yes|No|Male,715b4f4ddab81a66e5548e19ac548db85223009b2a4087403252e916111cf5a2
71,Month-to-month,No,No internet service,No,No,No internet service,No internet service,No,No,Electronic check,Yes,No,No internet service,No internet service,No internet service,Male,3,0.0016051364365971107,Month-to-month|No|No internet service|No|No|No internet service|No internet service|No|No|Electronic check|Yes|No|No internet service|No internet service|No internet service|Male,b466f0393e8ef3d2e44d971c50afbec07a6f0546b757c1399c0757cf2e543fe2
72,Month-to-month,No,No,Fiber optic,Yes,Yes,No,Yes,No,Electronic check,Yes,Yes,No,No,No,Male,3,0.0016051364365971107,Month-to-month|No|No|Fiber optic|Yes|Yes|No|Yes|No|Electronic check|Yes|Yes|No|No|No|Male,29426db0a8800269c421f2c174f29e438f1f952ef1a6ea2a27317912f0a86b40
73,Month-to-month,No,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Electronic check,Yes,No,Yes,Yes,No,Female,3,0.0016051364365971107,Month-to-month|No|Yes|Fiber optic|Yes|Yes|No|Yes|Yes|Electronic check|Yes|No|Yes|Yes|No|Female,a36d420933046f599e8dd66cc748e3c87827cd877eaf5f66c4f1367af7343777
74,Month-to-month,No,Yes,Fiber optic,No,No,No,No,No,Electronic check,Yes,No,No,No,No,Female,3,0.0016051364365971107,Month-to-month|No|Yes|Fiber optic|No|No|No|No|No|Electronic check|Yes|No|No|No|No|Female,bc9e1a7aea002ae53ebc16da039cfa605cb82a725f688d4adb581490cd7b318a
75,Month-to-month,No,No,Fiber optic,No,No,No,Yes,Yes,Electronic check,Yes,No,No,Yes,No,Male,3,0.0016051364365971107,Month-to-month|No|No|Fiber optic|No|No|No|Yes|Yes|Electronic check|Yes|No|No|Yes|No|Male,8e5571e4afe3ccf97bc9b3367ad825349f94c34b73eab4f48c4f4595501efb29
76,Month-to-month,No,No,Fiber optic,Yes,No,No,Yes,Yes,Electronic check,Yes,Yes,No,No,No,Female,3,0.0016051364365971107,Month-to-month|No|No|Fiber optic|Yes|No|No|Yes|Yes|Electronic check|Yes|Yes|No|No|No|Female,d177621acaf8dfc0df7e93f0f4b155bb9681285aa9087a6817c857551f0a1fee
77,Month-to-month,No,No,Fiber optic,Yes,Yes,No,Yes,No,Electronic check,Yes,No,Yes,Yes,No,Female,3,0.0016051364365971107,Month-to-month|No|No|Fiber optic|Yes|Yes|No|Yes|No|Electronic check|Yes|No|Yes|Yes|No|Female,a1a84b9449957ec0dbde3b59cf9a1340b956306b3b76b5cf6374496238b149b7
78,Month-to-month,No,No,Fiber optic,No,Yes,No,Yes,No,Electronic check,Yes,No,No,No,No,Female,3,0.0016051364365971107,Month-to-month|No|No|Fiber optic|No|Yes|No|Yes|No|Electronic check|Yes|No|No|No|No|Female,0b910f2a3c17552b6ffc18a92e3d717337e2672ae97eeb84a3be31f112ec99b1
79,Month-to-month,No,No,Fiber optic,No,No,No,Yes,No,Mailed check,Yes,No,No,No,No,Male,3,0.0016051364365971107,Month-to-month|No|No|Fiber optic|No|No|No|Yes|No|Mailed check|Yes|No|No|No|No|Male,53f7e4cc91fd40427980a6f7c577beba6468299bb0191bcfb6a2cb8b7fcab3ca
