PaperlessBilling,tenure_bins,StreamingTV,DeviceProtection,Dependents,PaymentMethod,gender,Partner,SeniorCitizen,TechSupport,PhoneService,OnlineBackup,Contract,InternetService,OnlineSecurity,MultipleLines,StreamingMovies,monthly_charges_bins,original_customer_count,original_churn_sum,original_churn_ratio,original_customer_ratio,new_customer_count,new_churn_count,new_customer_count_rounded,new_churn_count_rounded,new_customer_totals
No,"(28.8, 36.0]",No internet service,No internet service,No,Mailed check,Female,No,No,No internet service,Yes,No internet service,One year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",6,0,0.0,0.0008519096975720574,5.878176913247196,0.0,6.0,0.0,5.0
No,"(14.4, 21.6]",No internet service,No internet service,No,Mailed check,Male,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",6,0,0.0,0.0008519096975720574,5.878176913247196,0.0,6.0,0.0,5.0
Yes,"(7.2, 14.4]",No,No,No,Electronic check,Female,No,No,No,Yes,No,Month-to-month,Fiber optic,No,Yes,No,"(68.5, 78.55]",6,3,0.5,0.0008519096975720574,5.878176913247196,2.939088456623598,6.0,3.0,5.0
No,"(-0.073, 7.2]",No internet service,No internet service,No,Electronic check,Male,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",6,3,0.5,0.0008519096975720574,5.878176913247196,2.939088456623598,6.0,3.0,5.0
Yes,"(-0.073, 7.2]",No,No,No,Mailed check,Male,No,No,No,Yes,No,Month-to-month,DSL,Yes,No,No,"(48.4, 58.45]",5,2,0.4,0.0007099247479767144,4.8984807610393295,1.959392304415732,5.0,2.0,4.0
Yes,"(-0.073, 7.2]",No,No,No,Bank transfer (automatic),Male,No,No,No,Yes,No,Month-to-month,DSL,No,No,No,"(38.35, 48.4]",5,1,0.2,0.0007099247479767144,4.8984807610393295,0.979696152207866,5.0,1.0,4.0
No,"(-0.073, 7.2]",No,No,No,Mailed check,Female,No,No,No,Yes,No,Month-to-month,Fiber optic,No,No,No,"(68.5, 78.55]",5,4,0.8,0.0007099247479767144,4.8984807610393295,3.918784608831464,5.0,4.0,4.0
Yes,"(64.8, 72.0]",Yes,Yes,Yes,Bank transfer (automatic),Male,Yes,No,Yes,Yes,Yes,Two year,Fiber optic,Yes,Yes,Yes,"(108.7, 118.75]",5,0,0.0,0.0007099247479767144,4.8984807610393295,0.0,5.0,0.0,4.0
No,"(57.6, 64.8]",No internet service,No internet service,Yes,Credit card (automatic),Male,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",5,0,0.0,0.0007099247479767144,4.8984807610393295,0.0,5.0,0.0,4.0
No,"(57.6, 64.8]",No internet service,No internet service,Yes,Mailed check,Male,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",5,0,0.0,0.0007099247479767144,4.8984807610393295,0.0,5.0,0.0,4.0
Yes,"(-0.073, 7.2]",No,No,No,Mailed check,Male,No,No,No,Yes,No,Month-to-month,Fiber optic,No,No,No,"(68.5, 78.55]",5,2,0.4,0.0007099247479767144,4.8984807610393295,1.959392304415732,5.0,2.0,4.0
Yes,"(-0.073, 7.2]",No,No,No,Electronic check,Male,No,Yes,No,Yes,No,Month-to-month,Fiber optic,No,No,No,"(68.5, 78.55]",5,3,0.6,0.0007099247479767144,4.8984807610393295,2.9390884566235975,5.0,3.0,4.0
No,"(28.8, 36.0]",No internet service,No internet service,Yes,Mailed check,Female,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",5,0,0.0,0.0007099247479767144,4.8984807610393295,0.0,5.0,0.0,4.0
No,"(7.2, 14.4]",No internet service,No internet service,No,Mailed check,Male,No,No,No internet service,Yes,No internet service,One year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",5,0,0.0,0.0007099247479767144,4.8984807610393295,0.0,5.0,0.0,4.0
Yes,"(-0.073, 7.2]",Yes,No,No,Electronic check,Female,No,No,No,Yes,No,Month-to-month,Fiber optic,No,Yes,Yes,"(88.6, 98.65]",5,5,1.0,0.0007099247479767144,4.8984807610393295,4.8984807610393295,5.0,5.0,4.0
No,"(64.8, 72.0]",No internet service,No internet service,No,Bank transfer (automatic),Female,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",5,0,0.0,0.0007099247479767144,4.8984807610393295,0.0,5.0,0.0,4.0
No,"(14.4, 21.6]",No internet service,No internet service,No,Mailed check,Male,No,No,No internet service,Yes,No internet service,One year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",5,0,0.0,0.0007099247479767144,4.8984807610393295,0.0,5.0,0.0,4.0
Yes,"(-0.073, 7.2]",No,No,No,Electronic check,Male,No,No,No,Yes,No,Month-to-month,Fiber optic,No,Yes,Yes,"(78.55, 88.6]",5,5,1.0,0.0007099247479767144,4.8984807610393295,4.8984807610393295,5.0,5.0,4.0
No,"(-0.073, 7.2]",No internet service,No internet service,Yes,Mailed check,Female,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",5,0,0.0,0.0007099247479767144,4.8984807610393295,0.0,5.0,0.0,4.0
No,"(64.8, 72.0]",No internet service,No internet service,Yes,Mailed check,Male,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,Yes,No internet service,"(18.148999999999997, 28.3]",5,0,0.0,0.0007099247479767144,4.8984807610393295,0.0,5.0,0.0,4.0
Yes,"(-0.073, 7.2]",No,No,No,Electronic check,Female,No,No,No,Yes,No,Month-to-month,DSL,No,No,Yes,"(48.4, 58.45]",5,3,0.6,0.0007099247479767144,4.8984807610393295,2.9390884566235975,5.0,3.0,4.0
No,"(43.2, 50.4]",No internet service,No internet service,Yes,Mailed check,Female,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",5,0,0.0,0.0007099247479767144,4.8984807610393295,0.0,5.0,0.0,4.0
Yes,"(64.8, 72.0]",Yes,Yes,Yes,Credit card (automatic),Male,Yes,No,Yes,Yes,Yes,Two year,Fiber optic,Yes,Yes,Yes,"(108.7, 118.75]",5,0,0.0,0.0007099247479767144,4.8984807610393295,0.0,5.0,0.0,4.0
No,"(64.8, 72.0]",Yes,Yes,Yes,Credit card (automatic),Male,Yes,No,Yes,Yes,Yes,Two year,DSL,Yes,Yes,Yes,"(88.6, 98.65]",5,0,0.0,0.0007099247479767144,4.8984807610393295,0.0,5.0,0.0,4.0
No,"(21.6, 28.8]",No internet service,No internet service,No,Mailed check,Male,No,No,No internet service,Yes,No internet service,One year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",5,0,0.0,0.0007099247479767144,4.8984807610393295,0.0,5.0,0.0,4.0
No,"(43.2, 50.4]",No internet service,No internet service,Yes,Bank transfer (automatic),Female,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",5,0,0.0,0.0007099247479767144,4.8984807610393295,0.0,5.0,0.0,4.0
No,"(7.2, 14.4]",No internet service,No internet service,No,Credit card (automatic),Male,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",5,0,0.0,0.0007099247479767144,4.8984807610393295,0.0,5.0,0.0,4.0
No,"(7.2, 14.4]",No internet service,No internet service,Yes,Mailed check,Male,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",5,0,0.0,0.0007099247479767144,4.8984807610393295,0.0,5.0,0.0,4.0
Yes,"(-0.073, 7.2]",Yes,No,No,Electronic check,Male,No,Yes,No,Yes,No,Month-to-month,Fiber optic,No,Yes,Yes,"(88.6, 98.65]",5,4,0.8,0.0007099247479767144,4.8984807610393295,3.918784608831464,5.0,4.0,4.0
No,"(64.8, 72.0]",No internet service,No internet service,No,Bank transfer (automatic),Female,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,Yes,No internet service,"(18.148999999999997, 28.3]",5,0,0.0,0.0007099247479767144,4.8984807610393295,0.0,5.0,0.0,4.0
No,"(64.8, 72.0]",No internet service,No internet service,Yes,Credit card (automatic),Male,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",5,0,0.0,0.0007099247479767144,4.8984807610393295,0.0,5.0,0.0,4.0
No,"(43.2, 50.4]",No internet service,No internet service,No,Credit card (automatic),Male,No,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",4,0,0.0,0.0005679397983813716,3.918784608831464,0.0,4.0,0.0,3.0
No,"(7.2, 14.4]",No internet service,No internet service,No,Mailed check,Female,No,No,No internet service,Yes,No internet service,One year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",4,0,0.0,0.0005679397983813716,3.918784608831464,0.0,4.0,0.0,3.0
No,"(43.2, 50.4]",No internet service,No internet service,Yes,Credit card (automatic),Female,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",4,0,0.0,0.0005679397983813716,3.918784608831464,0.0,4.0,0.0,3.0
Yes,"(-0.073, 7.2]",No,No,No,Electronic check,Female,No,Yes,No,Yes,No,Month-to-month,Fiber optic,No,Yes,No,"(68.5, 78.55]",4,2,0.5,0.0005679397983813716,3.918784608831464,1.959392304415732,4.0,2.0,3.0
Yes,"(14.4, 21.6]",No internet service,No internet service,No,Mailed check,Male,No,No,No internet service,Yes,No internet service,One year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",4,0,0.0,0.0005679397983813716,3.918784608831464,0.0,4.0,0.0,3.0
No,"(43.2, 50.4]",No internet service,No internet service,Yes,Mailed check,Male,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,Yes,No internet service,"(18.148999999999997, 28.3]",4,0,0.0,0.0005679397983813716,3.918784608831464,0.0,4.0,0.0,3.0
No,"(-0.073, 7.2]",No,No,No,Mailed check,Male,No,No,No,No,No,Month-to-month,DSL,No,No phone service,No,"(18.148999999999997, 28.3]",4,0,0.0,0.0005679397983813716,3.918784608831464,0.0,4.0,0.0,3.0
No,"(64.8, 72.0]",Yes,Yes,Yes,Credit card (automatic),Female,Yes,No,Yes,Yes,Yes,Two year,DSL,Yes,Yes,Yes,"(88.6, 98.65]",4,0,0.0,0.0005679397983813716,3.918784608831464,0.0,4.0,0.0,3.0
No,"(-0.073, 7.2]",No internet service,No internet service,No,Mailed check,Female,No,No,No internet service,Yes,No internet service,One year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",4,0,0.0,0.0005679397983813716,3.918784608831464,0.0,4.0,0.0,3.0
Yes,"(7.2, 14.4]",No,No,No,Electronic check,Female,No,No,No,Yes,No,Month-to-month,Fiber optic,No,Yes,Yes,"(78.55, 88.6]",4,2,0.5,0.0005679397983813716,3.918784608831464,1.959392304415732,4.0,2.0,3.0
No,"(-0.073, 7.2]",No internet service,No internet service,No,Credit card (automatic),Male,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",4,0,0.0,0.0005679397983813716,3.918784608831464,0.0,4.0,0.0,3.0
No,"(-0.073, 7.2]",No internet service,No internet service,No,Bank transfer (automatic),Female,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",4,2,0.5,0.0005679397983813716,3.918784608831464,1.959392304415732,4.0,2.0,3.0
Yes,"(-0.073, 7.2]",No,No,No,Electronic check,Female,No,No,No,Yes,No,Month-to-month,DSL,No,No,No,"(38.35, 48.4]",4,3,0.75,0.0005679397983813716,3.918784608831464,2.939088456623598,4.0,3.0,3.0
No,"(64.8, 72.0]",No internet service,No internet service,Yes,Credit card (automatic),Female,Yes,No,No internet service,Yes,No internet service,Two year,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",4,0,0.0,0.0005679397983813716,3.918784608831464,0.0,4.0,0.0,3.0
Yes,"(-0.073, 7.2]",Yes,No,No,Electronic check,Female,No,Yes,No,Yes,No,Month-to-month,Fiber optic,No,No,Yes,"(88.6, 98.65]",4,2,0.5,0.0005679397983813716,3.918784608831464,1.959392304415732,4.0,2.0,3.0
No,"(7.2, 14.4]",No internet service,No internet service,No,Bank transfer (automatic),Female,No,No,No internet service,Yes,No internet service,Month-to-month,No,No internet service,No,No internet service,"(18.148999999999997, 28.3]",4,0,0.0,0.0005679397983813716,3.918784608831464,0.0,4.0,0.0,3.0
