,PaymentMethod_x,PaymentMethod_y
182,Bank transfer (automatic),Bank transfer (automatic)
183,Credit card (automatic),Credit card (automatic)
184,Electronic check,Bank transfer (automatic)
185,Electronic check,Mailed check
186,Mailed check,Mailed check
187,Electronic check,Bank transfer (automatic)
188,Electronic check,Electronic check
189,Credit card (automatic),Credit card (automatic)
190,Credit card (automatic),Credit card (automatic)
191,Electronic check,Electronic check
192,Bank transfer (automatic),Bank transfer (automatic)
193,Credit card (automatic),Credit card (automatic)
194,Credit card (automatic),Credit card (automatic)
195,Electronic check,Bank transfer (automatic)
196,Bank transfer (automatic),Bank transfer (automatic)
197,Electronic check,Electronic check
198,Bank transfer (automatic),Bank transfer (automatic)
199,Mailed check,Mailed check
200,Credit card (automatic),Credit card (automatic)
201,Credit card (automatic),Credit card (automatic)
202,Electronic check,Mailed check
203,Credit card (automatic),Credit card (automatic)
204,Credit card (automatic),Credit card (automatic)
205,Bank transfer (automatic),Bank transfer (automatic)
206,Credit card (automatic),Credit card (automatic)
207,Electronic check,Electronic check
208,Electronic check,Electronic check
209,Credit card (automatic),Credit card (automatic)
210,Credit card (automatic),Credit card (automatic)
211,Electronic check,Credit card (automatic)
212,Mailed check,Mailed check
213,Electronic check,Electronic check
214,Electronic check,Electronic check
215,Bank transfer (automatic),Bank transfer (automatic)
216,Credit card (automatic),Credit card (automatic)
217,Bank transfer (automatic),Bank transfer (automatic)
218,Bank transfer (automatic),Bank transfer (automatic)
219,Bank transfer (automatic),Bank transfer (automatic)
220,Electronic check,Credit card (automatic)
221,Bank transfer (automatic),Bank transfer (automatic)
222,Electronic check,Electronic check
223,Mailed check,Mailed check
224,Bank transfer (automatic),Bank transfer (automatic)
225,Mailed check,Mailed check
226,Mailed check,Mailed check
227,Mailed check,Mailed check
228,Credit card (automatic),Credit card (automatic)
229,Credit card (automatic),Credit card (automatic)
230,Credit card (automatic),Credit card (automatic)
231,Credit card (automatic),Credit card (automatic)
232,Mailed check,Mailed check
233,Credit card (automatic),Credit card (automatic)
234,Electronic check,Credit card (automatic)
235,Mailed check,Mailed check
236,Mailed check,Mailed check
237,Electronic check,Electronic check
238,Electronic check,Electronic check
239,Mailed check,Mailed check
240,Bank transfer (automatic),Bank transfer (automatic)
241,Bank transfer (automatic),Bank transfer (automatic)
242,Credit card (automatic),Credit card (automatic)
243,Electronic check,Electronic check
244,Electronic check,Credit card (automatic)
245,Electronic check,Electronic check
246,Mailed check,Mailed check
247,Electronic check,Mailed check
248,Mailed check,Mailed check
249,Electronic check,Electronic check
250,Electronic check,Electronic check
251,Electronic check,Electronic check
252,Electronic check,Electronic check
253,Credit card (automatic),Credit card (automatic)
254,Mailed check,Mailed check
255,Electronic check,Mailed check
256,Credit card (automatic),Credit card (automatic)
257,Credit card (automatic),Credit card (automatic)
258,Credit card (automatic),Credit card (automatic)
259,Electronic check,Electronic check
260,Electronic check,Electronic check
261,Electronic check,Electronic check
262,Electronic check,Electronic check
263,Bank transfer (automatic),Bank transfer (automatic)
264,Mailed check,Mailed check
265,Mailed check,Mailed check
266,Bank transfer (automatic),Bank transfer (automatic)
267,Mailed check,Mailed check
268,Mailed check,Mailed check
269,Credit card (automatic),Credit card (automatic)
270,Electronic check,Electronic check
271,Electronic check,Bank transfer (automatic)
272,Bank transfer (automatic),Bank transfer (automatic)
273,Electronic check,Electronic check
274,Mailed check,Mailed check
275,Electronic check,Credit card (automatic)
276,Electronic check,Electronic check
277,Bank transfer (automatic),Bank transfer (automatic)
278,Electronic check,Mailed check
279,Bank transfer (automatic),Bank transfer (automatic)
280,Mailed check,Mailed check
281,Electronic check,Electronic check
282,Mailed check,Mailed check
283,Mailed check,Mailed check
284,Mailed check,Mailed check
285,Credit card (automatic),Credit card (automatic)
286,Electronic check,Electronic check
287,Electronic check,Electronic check
288,Electronic check,Electronic check
289,Credit card (automatic),Credit card (automatic)
290,Electronic check,Electronic check
291,Mailed check,Mailed check
292,Mailed check,Mailed check
293,Electronic check,Electronic check
294,Mailed check,Mailed check
295,Mailed check,Mailed check
296,Electronic check,Electronic check
297,Electronic check,Electronic check
298,Electronic check,Electronic check
299,Mailed check,Mailed check
300,Bank transfer (automatic),Bank transfer (automatic)
301,Electronic check,Electronic check
302,Electronic check,Electronic check
303,Credit card (automatic),Credit card (automatic)
304,Mailed check,Mailed check
305,Mailed check,Mailed check
306,Electronic check,Electronic check
307,Mailed check,Mailed check
308,Electronic check,Electronic check
309,Credit card (automatic),Credit card (automatic)
310,Bank transfer (automatic),Bank transfer (automatic)
311,Electronic check,Electronic check
312,Credit card (automatic),Credit card (automatic)
313,Electronic check,Electronic check
314,Electronic check,Electronic check
315,Credit card (automatic),Credit card (automatic)
316,Credit card (automatic),Credit card (automatic)
317,Credit card (automatic),Credit card (automatic)
318,Electronic check,Electronic check
319,Credit card (automatic),Credit card (automatic)
320,Bank transfer (automatic),Bank transfer (automatic)
321,Electronic check,Electronic check
322,Electronic check,Electronic check
323,Mailed check,Mailed check
324,Bank transfer (automatic),Bank transfer (automatic)
325,Credit card (automatic),Credit card (automatic)
326,Electronic check,Electronic check
327,Electronic check,Electronic check
328,Electronic check,Mailed check
329,Credit card (automatic),Credit card (automatic)
330,Mailed check,Mailed check
331,Mailed check,Mailed check
332,Credit card (automatic),Credit card (automatic)
333,Electronic check,Bank transfer (automatic)
334,Mailed check,Mailed check
335,Bank transfer (automatic),Bank transfer (automatic)
336,Electronic check,Electronic check
337,Electronic check,Credit card (automatic)
338,Credit card (automatic),Credit card (automatic)
339,Electronic check,Electronic check
340,Bank transfer (automatic),Bank transfer (automatic)
341,Credit card (automatic),Credit card (automatic)
342,Bank transfer (automatic),Bank transfer (automatic)
343,Mailed check,Mailed check
344,Credit card (automatic),Credit card (automatic)
345,Electronic check,Electronic check
346,Electronic check,Electronic check
347,Bank transfer (automatic),Bank transfer (automatic)
348,Electronic check,Electronic check
349,Bank transfer (automatic),Bank transfer (automatic)
350,Credit card (automatic),Credit card (automatic)
351,Mailed check,Mailed check
352,Electronic check,Electronic check
353,Bank transfer (automatic),Bank transfer (automatic)
354,Electronic check,Electronic check
355,Bank transfer (automatic),Bank transfer (automatic)
356,Electronic check,Mailed check
357,Electronic check,Electronic check
358,Credit card (automatic),Credit card (automatic)
359,Electronic check,Electronic check
360,Mailed check,Mailed check
361,Bank transfer (automatic),Bank transfer (automatic)
362,Credit card (automatic),Credit card (automatic)
363,Mailed check,Mailed check
364,Bank transfer (automatic),Bank transfer (automatic)
365,Bank transfer (automatic),Bank transfer (automatic)
366,Bank transfer (automatic),Bank transfer (automatic)
367,Mailed check,Mailed check
368,Credit card (automatic),Credit card (automatic)
369,Credit card (automatic),Credit card (automatic)
370,Mailed check,Mailed check
371,Electronic check,Electronic check
372,Mailed check,Mailed check
373,Credit card (automatic),Credit card (automatic)
374,Credit card (automatic),Credit card (automatic)
375,Credit card (automatic),Credit card (automatic)
376,Mailed check,Mailed check
377,Bank transfer (automatic),Bank transfer (automatic)
378,Electronic check,Electronic check
379,Electronic check,Electronic check
380,Bank transfer (automatic),Bank transfer (automatic)
381,Mailed check,Mailed check
382,Bank transfer (automatic),Bank transfer (automatic)
383,Credit card (automatic),Credit card (automatic)
384,Bank transfer (automatic),Bank transfer (automatic)
385,Mailed check,Mailed check
386,Electronic check,Mailed check
387,Electronic check,Electronic check
388,Mailed check,Mailed check
389,Electronic check,Electronic check
390,Bank transfer (automatic),Bank transfer (automatic)
391,Bank transfer (automatic),Bank transfer (automatic)
392,Electronic check,Electronic check
393,Mailed check,Mailed check
394,Electronic check,Credit card (automatic)
395,Credit card (automatic),Credit card (automatic)
396,Bank transfer (automatic),Bank transfer (automatic)
397,Credit card (automatic),Credit card (automatic)
398,Electronic check,Credit card (automatic)
399,Mailed check,Mailed check
400,Bank transfer (automatic),Bank transfer (automatic)
401,Credit card (automatic),Credit card (automatic)
402,Credit card (automatic),Credit card (automatic)
403,Bank transfer (automatic),Bank transfer (automatic)
404,Mailed check,Mailed check
405,Credit card (automatic),Credit card (automatic)
406,Bank transfer (automatic),Bank transfer (automatic)
407,Mailed check,Mailed check
408,Mailed check,Mailed check
409,Mailed check,Mailed check
410,Electronic check,Electronic check
411,Bank transfer (automatic),Bank transfer (automatic)
412,Electronic check,Electronic check
413,Electronic check,Credit card (automatic)
414,Bank transfer (automatic),Bank transfer (automatic)
415,Bank transfer (automatic),Bank transfer (automatic)
416,Bank transfer (automatic),Bank transfer (automatic)
417,Mailed check,Mailed check
418,Electronic check,Electronic check
419,Bank transfer (automatic),Bank transfer (automatic)
420,Mailed check,Mailed check
421,Bank transfer (automatic),Bank transfer (automatic)
422,Credit card (automatic),Credit card (automatic)
423,Mailed check,Mailed check
424,Bank transfer (automatic),Bank transfer (automatic)
425,Bank transfer (automatic),Bank transfer (automatic)
426,Bank transfer (automatic),Bank transfer (automatic)
427,Electronic check,Electronic check
428,Bank transfer (automatic),Bank transfer (automatic)
429,Bank transfer (automatic),Bank transfer (automatic)
430,Mailed check,Mailed check
431,Credit card (automatic),Credit card (automatic)
432,Electronic check,Bank transfer (automatic)
433,Bank transfer (automatic),Bank transfer (automatic)
434,Electronic check,Electronic check
435,Credit card (automatic),Credit card (automatic)
436,Bank transfer (automatic),Bank transfer (automatic)
437,Credit card (automatic),Credit card (automatic)
438,Bank transfer (automatic),Bank transfer (automatic)
439,Mailed check,Mailed check
440,Electronic check,Electronic check
441,Credit card (automatic),Credit card (automatic)
442,Mailed check,Mailed check
443,Electronic check,Electronic check
444,Electronic check,Mailed check
445,Electronic check,Electronic check
446,Mailed check,Mailed check
447,Bank transfer (automatic),Bank transfer (automatic)
448,Electronic check,Electronic check
449,Bank transfer (automatic),Bank transfer (automatic)
450,Mailed check,Mailed check
451,Mailed check,Mailed check
452,Bank transfer (automatic),Bank transfer (automatic)
453,Electronic check,Electronic check
454,Mailed check,Mailed check
455,Electronic check,Bank transfer (automatic)
456,Bank transfer (automatic),Bank transfer (automatic)
457,Bank transfer (automatic),Bank transfer (automatic)
458,Mailed check,Mailed check
459,Electronic check,Electronic check
460,Mailed check,Mailed check
461,Bank transfer (automatic),Bank transfer (automatic)
462,Electronic check,Electronic check
463,Electronic check,Bank transfer (automatic)
464,Bank transfer (automatic),Bank transfer (automatic)
465,Mailed check,Mailed check
466,Electronic check,Electronic check
467,Electronic check,Electronic check
468,Mailed check,Mailed check
469,Electronic check,Bank transfer (automatic)
470,Mailed check,Mailed check
471,Electronic check,Bank transfer (automatic)
472,Mailed check,Mailed check
473,Mailed check,Mailed check
474,Electronic check,Bank transfer (automatic)
475,Electronic check,Electronic check
476,Electronic check,Bank transfer (automatic)
477,Electronic check,Electronic check
478,Electronic check,Electronic check
479,Bank transfer (automatic),Bank transfer (automatic)
480,Mailed check,Mailed check
481,Bank transfer (automatic),Bank transfer (automatic)
482,Electronic check,Electronic check
483,Bank transfer (automatic),Bank transfer (automatic)
484,Electronic check,Mailed check
485,Credit card (automatic),Credit card (automatic)
486,Electronic check,Electronic check
487,Bank transfer (automatic),Bank transfer (automatic)
488,Bank transfer (automatic),Bank transfer (automatic)
489,Electronic check,Electronic check
490,Bank transfer (automatic),Bank transfer (automatic)
491,Electronic check,Electronic check
492,Electronic check,Electronic check
493,Bank transfer (automatic),Bank transfer (automatic)
494,Mailed check,Mailed check
495,Bank transfer (automatic),Bank transfer (automatic)
496,Mailed check,Mailed check
497,Bank transfer (automatic),Bank transfer (automatic)
498,Electronic check,Credit card (automatic)
499,Bank transfer (automatic),Bank transfer (automatic)
500,Credit card (automatic),Credit card (automatic)
501,Credit card (automatic),Credit card (automatic)
502,Bank transfer (automatic),Bank transfer (automatic)
503,Bank transfer (automatic),Bank transfer (automatic)
504,Credit card (automatic),Credit card (automatic)
505,Electronic check,Electronic check
506,Mailed check,Mailed check
507,Electronic check,Electronic check
508,Electronic check,Electronic check
509,Mailed check,Mailed check
510,Credit card (automatic),Credit card (automatic)
511,Electronic check,Electronic check
512,Electronic check,Electronic check
513,Bank transfer (automatic),Bank transfer (automatic)
514,Credit card (automatic),Credit card (automatic)
515,Bank transfer (automatic),Bank transfer (automatic)
516,Mailed check,Mailed check
517,Electronic check,Mailed check
518,Bank transfer (automatic),Bank transfer (automatic)
519,Credit card (automatic),Credit card (automatic)
520,Electronic check,Bank transfer (automatic)
521,Electronic check,Electronic check
522,Bank transfer (automatic),Bank transfer (automatic)
523,Bank transfer (automatic),Bank transfer (automatic)
524,Electronic check,Electronic check
525,Electronic check,Electronic check
526,Credit card (automatic),Credit card (automatic)
527,Credit card (automatic),Credit card (automatic)
528,Mailed check,Mailed check
529,Bank transfer (automatic),Bank transfer (automatic)
530,Credit card (automatic),Credit card (automatic)
531,Credit card (automatic),Credit card (automatic)
532,Electronic check,Electronic check
533,Credit card (automatic),Credit card (automatic)
534,Electronic check,Electronic check
535,Electronic check,Bank transfer (automatic)
536,Bank transfer (automatic),Bank transfer (automatic)
537,Mailed check,Mailed check
538,Credit card (automatic),Credit card (automatic)
539,Bank transfer (automatic),Bank transfer (automatic)
540,Bank transfer (automatic),Bank transfer (automatic)
541,Mailed check,Mailed check
542,Mailed check,Mailed check
543,Bank transfer (automatic),Bank transfer (automatic)
544,Credit card (automatic),Credit card (automatic)
545,Bank transfer (automatic),Bank transfer (automatic)
546,Mailed check,Mailed check
547,Bank transfer (automatic),Bank transfer (automatic)
548,Bank transfer (automatic),Bank transfer (automatic)
549,Mailed check,Mailed check
550,Bank transfer (automatic),Bank transfer (automatic)
551,Bank transfer (automatic),Bank transfer (automatic)
552,Bank transfer (automatic),Bank transfer (automatic)
553,Credit card (automatic),Credit card (automatic)
554,Bank transfer (automatic),Bank transfer (automatic)
555,Bank transfer (automatic),Bank transfer (automatic)
556,Bank transfer (automatic),Bank transfer (automatic)
557,Mailed check,Mailed check
558,Electronic check,Electronic check
559,Electronic check,Electronic check
560,Electronic check,Electronic check
561,Mailed check,Mailed check
562,Credit card (automatic),Credit card (automatic)
563,Credit card (automatic),Credit card (automatic)
564,Bank transfer (automatic),Bank transfer (automatic)
565,Credit card (automatic),Credit card (automatic)
566,Electronic check,Electronic check
567,Credit card (automatic),Credit card (automatic)
568,Electronic check,Electronic check
569,Credit card (automatic),Credit card (automatic)
570,Credit card (automatic),Credit card (automatic)
571,Bank transfer (automatic),Bank transfer (automatic)
572,Credit card (automatic),Credit card (automatic)
573,Credit card (automatic),Credit card (automatic)
574,Electronic check,Electronic check
575,Mailed check,Mailed check
576,Bank transfer (automatic),Bank transfer (automatic)
577,Electronic check,Electronic check
578,Electronic check,Electronic check
579,Mailed check,Mailed check
580,Mailed check,Mailed check
581,Mailed check,Mailed check
582,Electronic check,Electronic check
583,Mailed check,Mailed check
584,Mailed check,Mailed check
585,Electronic check,Electronic check
586,Credit card (automatic),Credit card (automatic)
587,Mailed check,Mailed check
588,Electronic check,Electronic check
589,Electronic check,Electronic check
590,Credit card (automatic),Credit card (automatic)
591,Electronic check,Electronic check
592,Credit card (automatic),Credit card (automatic)
593,Credit card (automatic),Credit card (automatic)
594,Mailed check,Mailed check
595,Mailed check,Mailed check
596,Mailed check,Mailed check
597,Mailed check,Mailed check
598,Credit card (automatic),Credit card (automatic)
599,Credit card (automatic),Credit card (automatic)
600,Credit card (automatic),Credit card (automatic)
601,Mailed check,Mailed check
602,Bank transfer (automatic),Bank transfer (automatic)
603,Electronic check,Electronic check
604,Bank transfer (automatic),Bank transfer (automatic)
605,Credit card (automatic),Credit card (automatic)
606,Credit card (automatic),Credit card (automatic)
607,Credit card (automatic),Credit card (automatic)
608,Bank transfer (automatic),Bank transfer (automatic)
609,Bank transfer (automatic),Bank transfer (automatic)
610,Electronic check,Bank transfer (automatic)
611,Mailed check,Mailed check
612,Mailed check,Mailed check
613,Credit card (automatic),Credit card (automatic)
614,Bank transfer (automatic),Bank transfer (automatic)
615,Mailed check,Mailed check
616,Credit card (automatic),Credit card (automatic)
617,Credit card (automatic),Credit card (automatic)
618,Bank transfer (automatic),Bank transfer (automatic)
619,Bank transfer (automatic),Bank transfer (automatic)
620,Bank transfer (automatic),Bank transfer (automatic)
621,Electronic check,Electronic check
622,Electronic check,Electronic check
623,Mailed check,Mailed check
624,Bank transfer (automatic),Bank transfer (automatic)
625,Electronic check,Electronic check
626,Electronic check,Electronic check
627,Credit card (automatic),Credit card (automatic)
628,Electronic check,Electronic check
629,Credit card (automatic),Credit card (automatic)
630,Bank transfer (automatic),Bank transfer (automatic)
631,Bank transfer (automatic),Bank transfer (automatic)
632,Credit card (automatic),Credit card (automatic)
633,Mailed check,Mailed check
634,Bank transfer (automatic),Bank transfer (automatic)
635,Electronic check,Electronic check
636,Bank transfer (automatic),Bank transfer (automatic)
637,Credit card (automatic),Credit card (automatic)
638,Bank transfer (automatic),Bank transfer (automatic)
639,Electronic check,Electronic check
640,Bank transfer (automatic),Bank transfer (automatic)
641,Electronic check,Electronic check
642,Electronic check,Electronic check
643,Bank transfer (automatic),Bank transfer (automatic)
644,Electronic check,Credit card (automatic)
645,Electronic check,Electronic check
646,Mailed check,Mailed check
647,Electronic check,Credit card (automatic)
648,Electronic check,Electronic check
649,Credit card (automatic),Credit card (automatic)
650,Bank transfer (automatic),Bank transfer (automatic)
651,Mailed check,Mailed check
652,Mailed check,Mailed check
653,Mailed check,Mailed check
654,Electronic check,Electronic check
655,Credit card (automatic),Credit card (automatic)
656,Credit card (automatic),Credit card (automatic)
657,Bank transfer (automatic),Bank transfer (automatic)
658,Mailed check,Mailed check
659,Bank transfer (automatic),Bank transfer (automatic)
660,Mailed check,Mailed check
661,Mailed check,Mailed check
662,Mailed check,Mailed check
663,Mailed check,Mailed check
664,Bank transfer (automatic),Bank transfer (automatic)
665,Mailed check,Mailed check
666,Electronic check,Bank transfer (automatic)
667,Bank transfer (automatic),Bank transfer (automatic)
668,Mailed check,Mailed check
669,Bank transfer (automatic),Bank transfer (automatic)
670,Bank transfer (automatic),Bank transfer (automatic)
671,Credit card (automatic),Credit card (automatic)
672,Mailed check,Mailed check
673,Credit card (automatic),Credit card (automatic)
674,Electronic check,Credit card (automatic)
675,Electronic check,Mailed check
676,Bank transfer (automatic),Bank transfer (automatic)
677,Electronic check,Electronic check
678,Mailed check,Mailed check
679,Bank transfer (automatic),Bank transfer (automatic)
680,Electronic check,Electronic check
681,Bank transfer (automatic),Bank transfer (automatic)
682,Credit card (automatic),Credit card (automatic)
683,Credit card (automatic),Credit card (automatic)
684,Mailed check,Mailed check
685,Electronic check,Electronic check
686,Bank transfer (automatic),Bank transfer (automatic)
687,Electronic check,Mailed check
688,Mailed check,Mailed check
689,Bank transfer (automatic),Bank transfer (automatic)
690,Mailed check,Mailed check
691,Bank transfer (automatic),Bank transfer (automatic)
692,Credit card (automatic),Credit card (automatic)
693,Credit card (automatic),Credit card (automatic)
694,Mailed check,Mailed check
695,Mailed check,Mailed check
696,Bank transfer (automatic),Bank transfer (automatic)
697,Electronic check,Mailed check
698,Bank transfer (automatic),Bank transfer (automatic)
699,Credit card (automatic),Credit card (automatic)
700,Bank transfer (automatic),Bank transfer (automatic)
701,Electronic check,Mailed check
702,Electronic check,Electronic check
703,Mailed check,Mailed check
704,Mailed check,Mailed check
705,Bank transfer (automatic),Bank transfer (automatic)
706,Mailed check,Mailed check
707,Bank transfer (automatic),Bank transfer (automatic)
708,Credit card (automatic),Credit card (automatic)
709,Credit card (automatic),Credit card (automatic)
710,Mailed check,Mailed check
711,Mailed check,Mailed check
712,Credit card (automatic),Credit card (automatic)
713,Mailed check,Mailed check
714,Mailed check,Mailed check
715,Credit card (automatic),Credit card (automatic)
716,Bank transfer (automatic),Bank transfer (automatic)
717,Bank transfer (automatic),Bank transfer (automatic)
718,Credit card (automatic),Credit card (automatic)
719,Credit card (automatic),Credit card (automatic)
720,Mailed check,Mailed check
721,Credit card (automatic),Credit card (automatic)
722,Electronic check,Electronic check
723,Electronic check,Bank transfer (automatic)
724,Electronic check,Electronic check
725,Mailed check,Mailed check
726,Mailed check,Mailed check
727,Electronic check,Credit card (automatic)
728,Credit card (automatic),Credit card (automatic)
729,Credit card (automatic),Credit card (automatic)
730,Electronic check,Credit card (automatic)
731,Mailed check,Mailed check
732,Electronic check,Electronic check
733,Bank transfer (automatic),Bank transfer (automatic)
734,Bank transfer (automatic),Bank transfer (automatic)
735,Credit card (automatic),Credit card (automatic)
736,Credit card (automatic),Credit card (automatic)
737,Credit card (automatic),Credit card (automatic)
738,Bank transfer (automatic),Bank transfer (automatic)
739,Bank transfer (automatic),Bank transfer (automatic)
740,Mailed check,Mailed check
741,Electronic check,Electronic check
742,Electronic check,Bank transfer (automatic)
743,Mailed check,Mailed check
744,Credit card (automatic),Credit card (automatic)
745,Credit card (automatic),Credit card (automatic)
746,Bank transfer (automatic),Bank transfer (automatic)
747,Mailed check,Mailed check
748,Mailed check,Mailed check
749,Credit card (automatic),Credit card (automatic)
750,Mailed check,Mailed check
751,Credit card (automatic),Credit card (automatic)
752,Credit card (automatic),Credit card (automatic)
