,customerID,tenure,Churn,bucket
6346,9661-MHUMO,1,1,One to 10 days
6381,0927-CNGRH,1,0,One to 10 days
2255,9537-VHDTA,1,0,One to 10 days
5943,2202-CUYXZ,1,1,One to 10 days
2269,0151-ONTOV,1,1,One to 10 days
2272,8064-RAVOH,1,0,One to 10 days
3536,2254-DLXRI,1,0,One to 10 days
2275,7180-PISOG,1,1,One to 10 days
5950,2862-PFNIK,1,0,One to 10 days
2283,6140-QNRQQ,1,1,One to 10 days
6339,7623-TRNQN,1,1,One to 10 days
6338,2081-KJSQF,1,0,One to 10 days
2295,2672-DZUOY,1,1,One to 10 days
2296,4706-DGAHW,1,0,One to 10 days
3527,3746-EUBYR,1,1,One to 10 days
3518,8393-JMVMB,1,0,One to 10 days
3551,7594-RQHXR,1,1,One to 10 days
2172,1895-QTKDO,1,0,One to 10 days
3631,2722-JMONI,1,1,One to 10 days
3633,3878-AVSOQ,1,0,One to 10 days
3753,1816-FLZDK,1,0,One to 10 days
3746,4806-HIPDW,1,1,One to 10 days
2069,6356-ELRKD,1,1,One to 10 days
3725,0968-GSIKN,1,1,One to 10 days
2077,3177-LASXD,1,1,One to 10 days
2083,4897-QSUYC,1,1,One to 10 days
2084,1084-UQCHV,1,1,One to 10 days
3709,2103-ZRXFN,1,0,One to 10 days
5905,1628-BIZYP,1,0,One to 10 days
2095,9300-RENDD,1,1,One to 10 days
2096,0761-AETCS,1,1,One to 10 days
5907,0082-LDZUE,1,0,One to 10 days
5908,4786-UKSNZ,1,1,One to 10 days
3689,9488-HGMJH,1,1,One to 10 days
3682,3716-BDVDB,1,1,One to 10 days
2116,4349-GFQHK,1,1,One to 10 days
3679,1240-KNSEZ,1,1,One to 10 days
3677,6656-JWRQX,1,0,One to 10 days
2121,0673-IGUQO,1,0,One to 10 days
3675,9753-OYLBX,1,0,One to 10 days
3674,7825-GKXMW,1,1,One to 10 days
2126,5858-EAFCZ,1,0,One to 10 days
3671,8816-VXNZD,1,1,One to 10 days
2129,9787-XVQIU,1,1,One to 10 days
2133,8051-HJRLT,1,1,One to 10 days
2134,8974-OVACP,1,0,One to 10 days
3652,0612-RTZZA,1,1,One to 10 days
6388,1963-VAUKV,1,1,One to 10 days
2152,0248-IPDFW,1,0,One to 10 days
3509,8710-YGLWG,1,0,One to 10 days
4939,9975-SKRNR,1,0,One to 10 days
4183,6917-IAYHD,1,0,One to 10 days
5288,8058-INTPH,1,1,One to 10 days
5480,2275-RBYQS,1,0,One to 10 days
27,8665-UTDHZ,1,1,One to 10 days
5033,7298-IZWLY,1,0,One to 10 days
248,0322-YINQP,1,1,One to 10 days
7016,1471-GIQKQ,1,0,One to 10 days
7032,6894-LFHLY,1,1,One to 10 days
5165,8062-YBDOE,1,1,One to 10 days
6924,6457-GIRWB,1,1,One to 10 days
70,2273-QCKXA,1,0,One to 10 days
5411,7932-WPTDS,1,1,One to 10 days
5023,6653-CBBOM,1,1,One to 10 days
408,4800-VHZKI,1,1,One to 10 days
128,3930-ZGWVE,1,0,One to 10 days
5170,7721-DVEKZ,1,0,One to 10 days
5336,9441-QHEVC,1,0,One to 10 days
232,8937-RDTHP,1,1,One to 10 days
6933,6502-MJQAE,1,1,One to 10 days
310,1098-TDVUQ,1,0,One to 10 days
227,2232-DMLXU,1,1,One to 10 days
409,7989-CHGTL,1,1,One to 10 days
6899,3926-CUQZX,1,1,One to 10 days
222,6469-MRVET,1,0,One to 10 days
6969,4745-LSPLO,1,1,One to 10 days
5116,4759-TRPLW,1,1,One to 10 days
5485,7794-JASDG,1,0,One to 10 days
252,9514-JDSKI,1,1,One to 10 days
5160,9840-EFJQB,1,0,One to 10 days
5463,6142-VSJQO,1,1,One to 10 days
389,5522-JBWMO,1,0,One to 10 days
4954,9725-SCPZG,1,1,One to 10 days
5140,7577-SWIFR,1,0,One to 10 days
295,8203-XJZRC,1,0,One to 10 days
6896,3085-QUOZK,1,1,One to 10 days
474,9399-APLBT,1,1,One to 10 days
5049,2955-PSXOE,1,1,One to 10 days
494,6579-JPICP,1,0,One to 10 days
287,5583-SXDAG,1,1,One to 10 days
471,3583-EKAPL,1,1,One to 10 days
5046,7252-NTGSS,1,0,One to 10 days
282,2080-SRCDE,1,0,One to 10 days
5135,1156-ZFYDO,1,0,One to 10 days
5186,3776-EKTKM,1,1,One to 10 days
367,7302-ZHMHP,1,0,One to 10 days
272,6366-ZGQGL,1,1,One to 10 days
376,6158-HDPXZ,1,0,One to 10 days
5307,1941-HOSAM,1,0,One to 10 days
5312,9564-KCLHR,1,1,One to 10 days
299,6390-DSAZX,1,1,One to 10 days
5315,2082-CEFLT,1,1,One to 10 days
381,6905-NIQIN,1,1,One to 10 days
80,5919-TMRGD,1,1,One to 10 days
383,5167-ZFFMM,1,1,One to 10 days
91,2424-WVHPL,1,0,One to 10 days
5300,8821-XNHVZ,1,1,One to 10 days
5354,4273-MBHYA,1,0,One to 10 days
274,5940-AHUHD,1,1,One to 10 days
5189,6907-FLBER,1,0,One to 10 days
5474,4912-PIGUY,1,0,One to 10 days
5341,2982-IHMFT,1,1,One to 10 days
5375,9637-EIHEQ,1,1,One to 10 days
345,0021-IKXGC,1,0,One to 10 days
185,1024-GUALD,1,1,One to 10 days
7010,0723-DRCLG,1,1,One to 10 days
181,6582-OIVSP,1,0,One to 10 days
180,6317-YPKDH,1,1,One to 10 days
5219,3976-NLDEZ,1,0,One to 10 days
147,2135-RXIHG,1,1,One to 10 days
439,3577-AMVUX,1,0,One to 10 days
34,3413-BMNZE,1,0,One to 10 days
5481,8473-VUVJN,1,1,One to 10 days
4959,7853-GVUDZ,1,1,One to 10 days
446,4110-PFEUZ,1,1,One to 10 days
22,1066-JKSGK,1,1,One to 10 days
100,6380-ARCEH,1,0,One to 10 days
5287,9708-KFDBY,1,0,One to 10 days
5393,5376-DEQCP,1,1,One to 10 days
5506,8048-DSDFQ,1,0,One to 10 days
6943,0032-PGELS,1,1,One to 10 days
6909,9108-EJFJP,1,0,One to 10 days
33,7310-EGVHZ,1,0,One to 10 days
4978,4855-SNKMY,1,1,One to 10 days
101,3679-XASPY,1,0,One to 10 days
5388,5515-IDEJJ,1,1,One to 10 days
5436,7246-ZGQDF,1,0,One to 10 days
4955,5884-GCYMI,1,1,One to 10 days
6979,5351-QESIO,1,0,One to 10 days
207,1285-OKIPP,1,1,One to 10 days
5100,9940-RHLFB,1,1,One to 10 days
489,8372-JUXUI,1,1,One to 10 days
