InternetService,Dependents,Partner,StreamingTV,OnlineSecurity,PaperlessBilling,SeniorCitizen,StreamingMovies,tenure_bins,PaymentMethod,DeviceProtection,Contract,TechSupport,monthly_charges_bins,MultipleLines,gender,PhoneService,OnlineBackup,original_customer_count,original_churn_sum,original_customer_ratio,original_churn_ratio,new_customer_count_float,new_customer_count_int,new_customer_optimized,new_churn_customers
DSL,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(38.35, 48.4]",No,Male,Yes,No,11,6,0.001561834445548772,0.5454545454545454,11.112452080079512,11.0,12,7
DSL,No,No,No,No,No,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(38.35, 48.4]",No,Male,Yes,No,11,5,0.001561834445548772,0.45454545454545453,11.112452080079512,11.0,12,5
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",Yes,Male,Yes,No,11,10,0.001561834445548772,0.9090909090909091,11.112452080079512,11.0,12,11
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,11,3,0.001561834445548772,0.2727272727272727,11.112452080079512,11.0,12,3
Fiber optic,No,No,Yes,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",No,Male,Yes,No,10,8,0.0014198494959534289,0.8,10.102229163708646,10.0,11,9
Fiber optic,No,No,Yes,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",No,Female,Yes,No,10,9,0.0014198494959534289,0.9,10.102229163708646,10.0,11,10
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Credit card (automatic),No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,10,1,0.0014198494959534289,0.1,10.102229163708646,10.0,11,1
DSL,No,No,No,No,No,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(38.35, 48.4]",No,Female,Yes,No,9,4,0.001277864546358086,0.4444444444444444,9.092006247337782,9.0,10,4
DSL,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(38.35, 48.4]",No,Female,Yes,No,9,5,0.001277864546358086,0.5555555555555556,9.092006247337782,9.0,10,6
DSL,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(38.35, 48.4]",No,Male,Yes,No,9,6,0.001277864546358086,0.6666666666666666,9.092006247337782,9.0,10,7
No,No,No,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,9,0,0.001277864546358086,0.0,9.092006247337782,9.0,10,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,8,0,0.0011358795967627432,0.0,8.081783330966918,8.0,9,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(36.0, 43.2]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,8,0,0.0011358795967627432,0.0,8.081783330966918,8.0,9,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,8,1,0.0011358795967627432,0.125,8.081783330966918,8.0,9,1
Fiber optic,No,No,No,No,Yes,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",Yes,Male,Yes,No,8,8,0.0011358795967627432,1.0,8.081783330966918,8.0,9,9
Fiber optic,No,No,No,No,No,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,8,6,0.0011358795967627432,0.75,8.081783330966918,8.0,9,7
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Electronic check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,8,2,0.0011358795967627432,0.25,8.081783330966918,8.0,9,2
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,8,1,0.0011358795967627432,0.125,8.081783330966918,8.0,9,1
No,No,Yes,No internet service,No internet service,Yes,No,No internet service,"(64.8, 72.0]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,8,0,0.0011358795967627432,0.0,8.081783330966918,8.0,9,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,8,0,0.0011358795967627432,0.0,8.081783330966918,8.0,9,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,7,0,0.0009938946471674003,0.0,7.071560414596053,7.0,8,0
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,7,5,0.0009938946471674003,0.7142857142857143,7.071560414596053,7.0,8,6
DSL,No,No,No,No,No,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(38.35, 48.4]",No,Male,Yes,No,7,6,0.0009938946471674003,0.8571428571428571,7.071560414596053,7.0,8,7
No,Yes,No,No internet service,No internet service,Yes,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,7,1,0.0009938946471674003,0.14285714285714285,7.071560414596053,7.0,8,1
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,7,0,0.0009938946471674003,0.0,7.071560414596053,7.0,8,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,7,1,0.0009938946471674003,0.14285714285714285,7.071560414596053,7.0,8,1
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,7,1,0.0009938946471674003,0.14285714285714285,7.071560414596053,7.0,8,1
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,7,0,0.0009938946471674003,0.0,7.071560414596053,7.0,8,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Bank transfer (automatic),No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,7,1,0.0009938946471674003,0.14285714285714285,7.071560414596053,7.0,8,1
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(50.4, 57.6]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,7,0,0.0009938946471674003,0.0,7.071560414596053,7.0,8,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,6,0,0.0008519096975720574,0.0,6.061337498225188,6.0,7,0
Fiber optic,No,No,No,No,No,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",Yes,Female,Yes,No,6,4,0.0008519096975720574,0.6666666666666666,6.061337498225188,6.0,7,5
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,6,0,0.0008519096975720574,0.0,6.061337498225188,6.0,7,0
DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(88.6, 98.65]",Yes,Male,Yes,Yes,6,0,0.0008519096975720574,0.0,6.061337498225188,6.0,7,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,6,0,0.0008519096975720574,0.0,6.061337498225188,6.0,7,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(-0.073, 7.2]",Electronic check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,6,1,0.0008519096975720574,0.16666666666666666,6.061337498225188,6.0,7,1
Fiber optic,No,No,No,No,Yes,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",No,Male,Yes,No,6,5,0.0008519096975720574,0.8333333333333334,6.061337498225188,6.0,7,6
No,No,No,No internet service,No internet service,No,No,No internet service,"(28.8, 36.0]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,6,0,0.0008519096975720574,0.0,6.061337498225188,6.0,7,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,6,0,0.0008519096975720574,0.0,6.061337498225188,6.0,7,0
Fiber optic,No,No,No,No,Yes,No,No,"(7.2, 14.4]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",Yes,Female,Yes,No,6,3,0.0008519096975720574,0.5,6.061337498225188,6.0,7,4
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Electronic check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,6,3,0.0008519096975720574,0.5,6.061337498225188,6.0,7,4
DSL,No,No,No,No,No,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(38.35, 48.4]",No,Female,Yes,No,6,2,0.0008519096975720574,0.3333333333333333,6.061337498225188,6.0,7,2
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,6,0,0.0008519096975720574,0.0,6.061337498225188,6.0,7,0
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,6,0,0.0008519096975720574,0.0,6.061337498225188,6.0,7,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",No,Male,Yes,No,6,4,0.0008519096975720574,0.6666666666666666,6.061337498225188,6.0,7,5
No,No,No,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Mailed check,No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,6,0,0.0008519096975720574,0.0,6.061337498225188,6.0,7,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,6,0,0.0008519096975720574,0.0,6.061337498225188,6.0,7,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(57.6, 64.8]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,6,0,0.0008519096975720574,0.0,6.061337498225188,6.0,7,0
Fiber optic,No,No,No,No,Yes,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",No,Female,Yes,No,6,6,0.0008519096975720574,1.0,6.061337498225188,6.0,7,7
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Male,Yes,No,5,4,0.0007099247479767144,0.8,5.051114581854323,5.0,6,5
No,No,No,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Credit card (automatic),No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,5,0,0.0007099247479767144,0.0,5.051114581854323,5.0,6,0
Fiber optic,No,No,No,No,Yes,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Male,Yes,No,5,3,0.0007099247479767144,0.6,5.051114581854323,5.0,6,4
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,5,0,0.0007099247479767144,0.0,5.051114581854323,5.0,6,0
DSL,Yes,Yes,Yes,Yes,No,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(88.6, 98.65]",Yes,Male,Yes,Yes,5,0,0.0007099247479767144,0.0,5.051114581854323,5.0,6,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,5,0,0.0007099247479767144,0.0,5.051114581854323,5.0,6,0
DSL,No,No,No,No,Yes,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(48.4, 58.45]",No,Female,Yes,No,5,3,0.0007099247479767144,0.6,5.051114581854323,5.0,6,4
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,5,0,0.0007099247479767144,0.0,5.051114581854323,5.0,6,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(43.2, 50.4]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,5,0,0.0007099247479767144,0.0,5.051114581854323,5.0,6,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,5,0,0.0007099247479767144,0.0,5.051114581854323,5.0,6,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(21.6, 28.8]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,5,0,0.0007099247479767144,0.0,5.051114581854323,5.0,6,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(57.6, 64.8]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,5,0,0.0007099247479767144,0.0,5.051114581854323,5.0,5,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,5,0,0.0007099247479767144,0.0,5.051114581854323,5.0,5,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,5,0,0.0007099247479767144,0.0,5.051114581854323,5.0,5,0
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Bank transfer (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,5,0,0.0007099247479767144,0.0,5.051114581854323,5.0,5,0
Fiber optic,No,No,No,No,Yes,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(78.55, 88.6]",Yes,Male,Yes,No,5,5,0.0007099247479767144,1.0,5.051114581854323,5.0,5,5
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Male,Yes,Yes,5,0,0.0007099247479767144,0.0,5.051114581854323,5.0,5,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(57.6, 64.8]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,5,0,0.0007099247479767144,0.0,5.051114581854323,5.0,5,0
DSL,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Bank transfer (automatic),No,Month-to-month,No,"(38.35, 48.4]",No,Male,Yes,No,5,1,0.0007099247479767144,0.2,5.051114581854323,5.0,5,1
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(28.8, 36.0]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,5,0,0.0007099247479767144,0.0,5.051114581854323,5.0,5,0
Fiber optic,No,No,No,No,No,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,5,4,0.0007099247479767144,0.8,5.051114581854323,5.0,5,4
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(43.2, 50.4]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,5,0,0.0007099247479767144,0.0,5.051114581854323,5.0,5,0
Fiber optic,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(68.5, 78.55]",No,Male,Yes,No,5,2,0.0007099247479767144,0.4,5.051114581854323,5.0,5,2
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,5,0,0.0007099247479767144,0.0,5.051114581854323,5.0,5,0
Fiber optic,No,No,Yes,No,Yes,No,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",Yes,Female,Yes,No,5,5,0.0007099247479767144,1.0,5.051114581854323,5.0,5,5
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,5,0,0.0007099247479767144,0.0,5.051114581854323,5.0,5,0
DSL,No,No,No,Yes,Yes,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(48.4, 58.45]",No,Male,Yes,No,5,2,0.0007099247479767144,0.4,5.051114581854323,5.0,5,2
Fiber optic,No,No,Yes,No,Yes,Yes,Yes,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(88.6, 98.65]",No,Female,Yes,No,4,2,0.0005679397983813716,0.5,4.040891665483459,4.0,4,2
DSL,No,No,No,No,No,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(38.35, 48.4]",No,Male,Yes,No,4,1,0.0005679397983813716,0.25,4.040891665483459,4.0,4,1
No,No,No,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
No,Yes,Yes,No internet service,No internet service,Yes,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Female,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
No,No,No,No internet service,No internet service,Yes,No,No internet service,"(14.4, 21.6]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
Fiber optic,No,No,No,No,Yes,No,No,"(14.4, 21.6]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",No,Female,Yes,No,4,1,0.0005679397983813716,0.25,4.040891665483459,4.0,4,1
No,No,No,No internet service,No internet service,No,No,No internet service,"(7.2, 14.4]",Bank transfer (automatic),No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(43.2, 50.4]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
DSL,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(38.35, 48.4]",No,Female,Yes,No,4,3,0.0005679397983813716,0.75,4.040891665483459,4.0,4,3
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(21.6, 28.8]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(21.6, 28.8]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Mailed check,No internet service,One year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
DSL,No,No,No,No,No,No,No,"(-0.073, 7.2]",Mailed check,No,Month-to-month,No,"(18.148999999999997, 28.3]",No phone service,Male,No,No,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
DSL,No,No,No,No,Yes,No,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(18.148999999999997, 28.3]",No phone service,Male,No,No,4,3,0.0005679397983813716,0.75,4.040891665483459,4.0,4,3
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(14.4, 21.6]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
No,No,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Bank transfer (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",Yes,Male,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Credit card (automatic),No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
DSL,No,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(88.6, 98.65]",Yes,Male,Yes,Yes,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
Fiber optic,No,Yes,No,No,Yes,Yes,No,"(-0.073, 7.2]",Electronic check,No,Month-to-month,No,"(68.5, 78.55]",Yes,Male,Yes,No,4,2,0.0005679397983813716,0.5,4.040891665483459,4.0,4,2
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(64.8, 72.0]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(-0.073, 7.2]",Bank transfer (automatic),No internet service,Month-to-month,No internet service,"(18.148999999999997, 28.3]",No,Female,Yes,No internet service,4,2,0.0005679397983813716,0.5,4.040891665483459,4.0,4,2
No,No,No,No internet service,No internet service,No,No,No internet service,"(50.4, 57.6]",Credit card (automatic),No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
Fiber optic,No,Yes,Yes,Yes,Yes,No,Yes,"(64.8, 72.0]",Credit card (automatic),Yes,Two year,Yes,"(108.7, 118.75]",Yes,Female,Yes,Yes,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
No,Yes,Yes,No internet service,No internet service,No,No,No internet service,"(28.8, 36.0]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
No,No,No,No internet service,No internet service,No,No,No internet service,"(50.4, 57.6]",Mailed check,No internet service,Two year,No internet service,"(18.148999999999997, 28.3]",No,Male,Yes,No internet service,4,0,0.0005679397983813716,0.0,4.040891665483459,4.0,4,0
