PaymentMethod,OnlineSecurity,DeviceProtection,MultipleLines,Partner,SeniorCitizen,Contract,PhoneService,tenure_bins,InternetService,Dependents,TechSupport,PaperlessBilling,gender,StreamingTV,OnlineBackup,monthly_charges_bins,StreamingMovies,customerID,Churn
Mailed check,No,No,Yes,No,No,One year,Yes,"(36.0, 43.2]",Fiber optic,No,No,No,Male,Yes,No,"(88.6, 98.65]",Yes,ee6df8ce-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,"(7.2, 14.4]",No,Yes,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8c53482-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No phone service,No,No,Month-to-month,No,"(50.4, 57.6]",DSL,No,No,Yes,Male,Yes,Yes,"(38.35, 48.4]",No,ec592bd0-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,Yes,Female,No,No,"(38.35, 48.4]",No,e7fa1ff4-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,No,Yes,Yes,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,No,Female,No,No,"(78.55, 88.6]",No,e9c154ba-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,Yes,Yes,Two year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,Yes,Female,No,Yes,"(88.6, 98.65]",No,fb23b1ee-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,No,No,Yes,No,One year,Yes,"(57.6, 64.8]",DSL,Yes,Yes,Yes,Male,Yes,Yes,"(68.5, 78.55]",Yes,f43cb330-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,No,No phone service,Yes,No,Month-to-month,No,"(28.8, 36.0]",DSL,Yes,No,Yes,Female,No,Yes,"(28.3, 38.35]",No,f1596d66-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,Yes,No,No,Month-to-month,Yes,"(57.6, 64.8]",Fiber optic,No,No,Yes,Male,Yes,No,"(98.65, 108.7]",Yes,f26de4d4-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,Yes,Male,Yes,Yes,"(98.65, 108.7]",Yes,e9981d52-773a-11ec-b2a1-acde48001122,0
Mailed check,No,Yes,No phone service,Yes,No,One year,No,"(28.8, 36.0]",DSL,Yes,Yes,Yes,Male,No,No,"(28.3, 38.35]",No,eed13e52-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,Yes,No,Yes,Male,No,Yes,"(68.5, 78.55]",No,fa338174-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,No,Male,Yes,No,"(78.55, 88.6]",No,e9ae26a6-773a-11ec-b2a1-acde48001122,1
Electronic check,Yes,No,Yes,Yes,No,One year,Yes,"(64.8, 72.0]",Fiber optic,Yes,Yes,No,Male,No,Yes,"(88.6, 98.65]",No,f045436e-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,Yes,No,No,Two year,Yes,"(64.8, 72.0]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8269ec6-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Two year,Yes,"(7.2, 14.4]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e872666c-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,Yes,No,No,One year,Yes,"(36.0, 43.2]",DSL,No,Yes,No,Male,No,Yes,"(58.45, 68.5]",No,f27fd086-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8176f50-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No phone service,No,No,Month-to-month,No,"(-0.073, 7.2]",DSL,No,No,Yes,Male,No,No,"(18.148999999999997, 28.3]",No,e81689dc-773a-11ec-b2a1-acde48001122,1
Electronic check,No internet service,No internet service,Yes,No,No,One year,Yes,"(50.4, 57.6]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,eb191870-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,No,Yes,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,e971ff32-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(57.6, 64.8]",Fiber optic,No,No,Yes,Female,Yes,Yes,"(108.7, 118.75]",Yes,f47409fc-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,No,No,Yes,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,Yes,Female,Yes,Yes,"(88.6, 98.65]",Yes,f6ca0e72-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,No phone service,Yes,No,Month-to-month,No,"(-0.073, 7.2]",DSL,Yes,Yes,Yes,Female,No,No,"(28.3, 38.35]",No,f1d92272-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,Yes,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Male,No,No,"(78.55, 88.6]",Yes,e7de1cfa-773a-11ec-b2a1-acde48001122,1
Mailed check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,No,Male,No,No,"(68.5, 78.55]",No,e8399454-773a-11ec-b2a1-acde48001122,1
Mailed check,No,Yes,No,Yes,No,Month-to-month,Yes,"(28.8, 36.0]",DSL,Yes,Yes,No,Male,No,No,"(48.4, 58.45]",No,eec4f138-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,Yes,No,Yes,No,Two year,Yes,"(57.6, 64.8]",Fiber optic,Yes,Yes,No,Male,Yes,Yes,"(98.65, 108.7]",Yes,eef83a52-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,No,No,No,No,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,No,No,Yes,Female,No,Yes,"(78.55, 88.6]",No,f418dc58-773a-11ec-b2a1-acde48001122,1
Mailed check,No internet service,No internet service,No,Yes,No,Month-to-month,Yes,"(28.8, 36.0]",No,Yes,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,edbcce14-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,No phone service,Yes,No,One year,No,"(21.6, 28.8]",DSL,No,No,No,Female,No,No,"(28.3, 38.35]",No,f914b1dc-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,Yes,Yes,No,Two year,Yes,"(21.6, 28.8]",No,Yes,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f3a10a34-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,No,Yes,Yes,One year,Yes,"(7.2, 14.4]",DSL,No,Yes,Yes,Female,Yes,No,"(78.55, 88.6]",Yes,f0a9b704-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No phone service,No,No,Month-to-month,No,"(-0.073, 7.2]",DSL,Yes,No,Yes,Male,No,No,"(18.148999999999997, 28.3]",No,e8d83af0-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No internet service,No internet service,Yes,Yes,Yes,One year,Yes,"(21.6, 28.8]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f3a653d6-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,Yes,No,No,One year,Yes,"(50.4, 57.6]",Fiber optic,No,No,Yes,Female,No,Yes,"(78.55, 88.6]",No,ee6bee3a-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,No,No,Yes,No,Month-to-month,Yes,"(50.4, 57.6]",DSL,Yes,No,No,Female,No,Yes,"(48.4, 58.45]",No,f12e4096-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,"(43.2, 50.4]",Fiber optic,Yes,Yes,Yes,Female,Yes,Yes,"(108.7, 118.75]",Yes,f04d5108-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,Yes,Yes,Yes,Female,Yes,Yes,"(108.7, 118.75]",Yes,ea170ce8-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,Yes,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,No,Male,No,No,"(68.5, 78.55]",No,e93daca0-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No internet service,No internet service,No,Yes,No,Month-to-month,Yes,"(7.2, 14.4]",No,No,No internet service,Yes,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f77881a0-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",DSL,No,Yes,No,Female,No,Yes,"(68.5, 78.55]",No,fadb7a46-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,No,No phone service,No,No,Month-to-month,No,"(43.2, 50.4]",DSL,No,No,Yes,Male,No,Yes,"(28.3, 38.35]",No,f01e9ac0-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,Yes,No,No,Two year,Yes,"(14.4, 21.6]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f3cfa1a0-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,No,Yes,No,No,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,No,No,Yes,Male,No,Yes,"(78.55, 88.6]",No,f96267ec-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,No,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,eb5ccd4a-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,No,Yes,No,One year,Yes,"(36.0, 43.2]",No,Yes,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f78921d6-773a-11ec-b2a1-acde48001122,0
Mailed check,No,No,No phone service,No,No,Month-to-month,No,"(14.4, 21.6]",DSL,No,No,Yes,Male,No,No,"(18.148999999999997, 28.3]",No,f22a2924-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No internet service,No internet service,Yes,Yes,Yes,Two year,Yes,"(64.8, 72.0]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,f3a3290e-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7a996e2-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,Yes,No,Yes,Female,No,No,"(78.55, 88.6]",Yes,fa37f5f6-773a-11ec-b2a1-acde48001122,1
Electronic check,No,No,No,Yes,Yes,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,ebef1970-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,Yes,Yes,Month-to-month,Yes,"(64.8, 72.0]",Fiber optic,No,No,Yes,Male,Yes,Yes,"(88.6, 98.65]",No,ed6a2556-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,No phone service,No,Yes,Month-to-month,No,"(-0.073, 7.2]",DSL,No,No,Yes,Male,No,Yes,"(38.35, 48.4]",Yes,ea231ae2-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,Yes,Yes,No,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,Yes,No,Yes,Female,No,No,"(78.55, 88.6]",Yes,eac0a24e-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),Yes,Yes,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",DSL,Yes,Yes,Yes,Male,Yes,Yes,"(78.55, 88.6]",No,e88c0e96-773a-11ec-b2a1-acde48001122,0
Mailed check,Yes,No,No phone service,No,No,One year,No,"(36.0, 43.2]",DSL,Yes,Yes,No,Male,No,Yes,"(38.35, 48.4]",No,f02951e0-773a-11ec-b2a1-acde48001122,0
Electronic check,No internet service,No internet service,No,No,No,One year,Yes,"(64.8, 72.0]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,eac9298c-773a-11ec-b2a1-acde48001122,0
Electronic check,No,Yes,No phone service,No,Yes,Month-to-month,No,"(-0.073, 7.2]",DSL,No,No,Yes,Male,No,No,"(38.35, 48.4]",Yes,e920d238-773a-11ec-b2a1-acde48001122,1
Mailed check,No,No,No,Yes,No,Month-to-month,Yes,"(7.2, 14.4]",DSL,Yes,Yes,No,Male,No,Yes,"(48.4, 58.45]",No,f18836f0-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"(7.2, 14.4]",Fiber optic,Yes,No,Yes,Female,No,No,"(68.5, 78.55]",No,fe57be6e-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,No,No,Yes,No,One year,Yes,"(21.6, 28.8]",Fiber optic,Yes,No,Yes,Male,No,Yes,"(78.55, 88.6]",No,f97161de-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),Yes,Yes,No,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",DSL,No,No,No,Male,Yes,No,"(58.45, 68.5]",No,f530ba66-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No internet service,No internet service,No,No,No,One year,Yes,"(21.6, 28.8]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e8103b86-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,Yes,Yes,No,No,Two year,Yes,"(50.4, 57.6]",Fiber optic,No,Yes,Yes,Male,Yes,No,"(108.7, 118.75]",Yes,f27437b2-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,No,No,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,No,No,No,Male,Yes,Yes,"(98.65, 108.7]",Yes,fbc59a90-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,Yes,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,ec7643aa-773a-11ec-b2a1-acde48001122,1
Mailed check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,e7ef89ae-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,Yes,Yes,No,No,Month-to-month,Yes,"(36.0, 43.2]",DSL,No,No,Yes,Male,No,No,"(48.4, 58.45]",No,f86170e0-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),No,Yes,No phone service,Yes,Yes,Month-to-month,No,"(36.0, 43.2]",DSL,No,No,No,Female,Yes,Yes,"(48.4, 58.45]",Yes,fcfe43ee-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),No,Yes,Yes,Yes,No,Month-to-month,Yes,"(36.0, 43.2]",Fiber optic,Yes,No,Yes,Male,Yes,No,"(98.65, 108.7]",Yes,fde6c150-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Male,No,No,"(68.5, 78.55]",No,e7ab62ec-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),Yes,No,Yes,Yes,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,Yes,Yes,Yes,Female,Yes,Yes,"(98.65, 108.7]",No,f9a0ada4-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,Yes,No,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,No,No,Yes,Male,No,No,"(78.55, 88.6]",Yes,ed2d6a62-773a-11ec-b2a1-acde48001122,1
Mailed check,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Female,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,eda65af8-773a-11ec-b2a1-acde48001122,0
Credit card (automatic),Yes,No,No,Yes,Yes,One year,Yes,"(64.8, 72.0]",Fiber optic,No,No,No,Female,No,Yes,"(78.55, 88.6]",Yes,f987544e-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,No,Yes,Month-to-month,Yes,"(-0.073, 7.2]",Fiber optic,No,No,Yes,Female,No,No,"(68.5, 78.55]",No,e7ae01d2-773a-11ec-b2a1-acde48001122,1
Electronic check,No,Yes,Yes,No,No,Month-to-month,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,Yes,Male,Yes,Yes,"(108.7, 118.75]",Yes,eb0fa22c-773a-11ec-b2a1-acde48001122,1
Credit card (automatic),Yes,Yes,Yes,No,No,Two year,Yes,"(64.8, 72.0]",Fiber optic,No,Yes,No,Female,Yes,Yes,"(108.7, 118.75]",Yes,faf2fa5e-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,Yes,No,No,Month-to-month,Yes,"(36.0, 43.2]",Fiber optic,No,No,Yes,Male,Yes,No,"(78.55, 88.6]",No,ebd0d05a-773a-11ec-b2a1-acde48001122,0
Bank transfer (automatic),No,No,No,No,No,Month-to-month,Yes,"(14.4, 21.6]",Fiber optic,Yes,No,Yes,Female,No,Yes,"(78.55, 88.6]",Yes,f6a68010-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No,No,No phone service,Yes,No,Two year,No,"(64.8, 72.0]",DSL,Yes,Yes,No,Male,Yes,No,"(48.4, 58.45]",Yes,f6cb1f9c-773a-11ec-b2a1-acde48001122,0
Electronic check,No,No,No,Yes,Yes,Month-to-month,Yes,"(21.6, 28.8]",Fiber optic,No,No,Yes,Male,Yes,No,"(88.6, 98.65]",Yes,ebee2682-773a-11ec-b2a1-acde48001122,0
Electronic check,Yes,No,Yes,Yes,No,One year,Yes,"(36.0, 43.2]",Fiber optic,Yes,No,No,Male,Yes,No,"(88.6, 98.65]",Yes,f03e36a0-773a-11ec-b2a1-acde48001122,0
Mailed check,No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,Yes,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7aa7c6a-773a-11ec-b2a1-acde48001122,1
Bank transfer (automatic),No internet service,No internet service,No,No,No,Month-to-month,Yes,"(-0.073, 7.2]",No,No,No internet service,No,Male,No internet service,No internet service,"(18.148999999999997, 28.3]",No internet service,e7c76032-773a-11ec-b2a1-acde48001122,0
