,customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Period
77,ee4ff3f2-6e47-11ec-ac64-acde48001122,Female,No,No,No,3,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,20.348323873393063,156.43366644697704,4,M12
6096,ee3de19e-6e47-11ec-ac64-acde48001122,Female,No,No,No,3,Yes,Yes,Fiber optic,No internet service,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.63972730258627,173.96089076085968,1,M12
5005,ef2275ca-6e47-11ec-ac64-acde48001122,Male,Yes,No,Yes,2,No,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,42.70021234817033,72.06601640203715,5,M12
1835,f02a3c46-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,1,No,No,Fiber optic,Yes,No,No,No,No internet service,No,Month-to-month,No,Mailed check,37.12611253507365,37.12611253507365,3,M12
3003,f00abf38-6e47-11ec-ac64-acde48001122,Male,No,Yes,No,1,Yes,Yes,DSL,Yes,No internet service,No internet service,No,Yes,No internet service,Two year,Yes,Credit card (automatic),114.36347269629897,114.36347269629897,2,M12
2886,ef1d2bba-6e47-11ec-ac64-acde48001122,Male,No,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),52.142030810142394,89.95715976406831,6,M12
2643,eff9ea32-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,1,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Electronic check,63.59767421331449,63.59767421331449,4,M12
3927,ec250298-6e47-11ec-ac64-acde48001122,Male,No,No,No,5,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),116.90157192074005,504.6979133165627,7,M12
5616,eb3d73a6-6e47-11ec-ac64-acde48001122,Female,No,No,No,6,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,No,Month-to-month,No,Credit card (automatic),80.51049922263854,492.40842835679945,4,M12
3710,ef3cb778-6e47-11ec-ac64-acde48001122,Male,No,No,Yes,2,Yes,No,DSL,No internet service,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Electronic check,27.248891141501545,61.324762104403675,3,M12
2815,efebddb6-6e47-11ec-ac64-acde48001122,Female,Yes,Yes,Yes,1,Yes,No,DSL,Yes,No,No,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,114.70466236101826,114.70466236101826,4,M12
4795,ec385eec-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,5,No,No,No,No,No internet service,No internet service,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),44.51907873052279,293.7189008657365,2,M12
1517,ea658ab8-6e47-11ec-ac64-acde48001122,Male,Yes,Yes,Yes,7,Yes,No,No,No,No internet service,No,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),61.73183175732704,427.07745108896535,4,M12
744,ef5d965a-6e47-11ec-ac64-acde48001122,Female,No,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No internet service,No,Two year,Yes,Electronic check,95.68541184660967,119.44712568168627,6,M12
5551,ef35556e-6e47-11ec-ac64-acde48001122,Female,No,No,Yes,2,Yes,Yes,Fiber optic,No,No internet service,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),105.25967598346612,135.91365498346977,5,M12
6498,ec1c934c-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,5,No,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,27.495402015283958,227.18565649735126,8,M12
5533,ef16183e-6e47-11ec-ac64-acde48001122,Male,No,No,Yes,2,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,117.14515342393202,185.4655284702191,4,M12
3977,ee5e807a-6e47-11ec-ac64-acde48001122,Male,No,No,No,3,No,No,DSL,No,Yes,No internet service,No internet service,No,No,Month-to-month,Yes,Electronic check,53.16265960885534,251.97033424680103,6,M12
983,ec23a3bc-6e47-11ec-ac64-acde48001122,Male,No,Yes,Yes,5,Yes,Yes,DSL,No,No,Yes,No internet service,No,Yes,One year,Yes,Mailed check,111.27170391733308,370.02744132505694,3,M12
5642,e8c06c00-6e47-11ec-ac64-acde48001122,Female,No,No,No,9,Yes,No phone service,DSL,No,No internet service,No,Yes,No,No,Two year,No,Electronic check,114.88199776045195,716.0520498524602,4,M12
5558,eb1a501a-6e47-11ec-ac64-acde48001122,Male,No,Yes,Yes,6,Yes,No,DSL,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,67.36873385177162,527.6269982957275,4,M12
3500,ed4e04bc-6e47-11ec-ac64-acde48001122,Female,No,No,Yes,4,Yes,No,Fiber optic,No,Yes,No,Yes,No,No internet service,Month-to-month,No,Mailed check,78.04723746162259,263.3308524289255,5,M12
6440,ed3fd3e2-6e47-11ec-ac64-acde48001122,Female,Yes,Yes,Yes,4,Yes,Yes,DSL,No,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),91.37316159119396,250.28553004629188,2,M12
4925,ef4737d4-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,2,Yes,No,DSL,No internet service,No internet service,No,No,No,Yes,Two year,No,Credit card (automatic),84.32592513857139,188.84108856846515,2,M12
5322,ed3fb3b2-6e47-11ec-ac64-acde48001122,Male,No,Yes,Yes,4,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,46.519503068068246,337.0850494214561,2,M12
3842,e8d2c724-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,9,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,59.8350783267369,651.4461517773152,6,M12
3523,ea55fab2-6e47-11ec-ac64-acde48001122,Male,No,No,No,7,Yes,No phone service,DSL,No,No internet service,Yes,Yes,Yes,No internet service,One year,No,Credit card (automatic),93.716776436417,496.06159502223477,6,M12
1156,ea6a2afa-6e47-11ec-ac64-acde48001122,Male,Yes,No,No,7,Yes,No,DSL,No,No,No internet service,No,Yes,Yes,One year,No,Mailed check,19.922116231355062,432.5960494170611,5,M12
797,ef48a196-6e47-11ec-ac64-acde48001122,Male,Yes,Yes,No,2,No,No,Fiber optic,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,102.50371926466535,174.36127659831953,3,M12
3783,ef1d5cb6-6e47-11ec-ac64-acde48001122,Male,No,No,No,2,Yes,No,DSL,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,90.15486937989101,113.51563779919911,5,M12
3449,ed3b2cc0-6e47-11ec-ac64-acde48001122,Male,No,Yes,Yes,4,Yes,Yes,No,No,Yes,Yes,Yes,No internet service,Yes,One year,No,Electronic check,77.4322753937695,273.7353484581603,4,M12
2257,f0448056-6e47-11ec-ac64-acde48001122,Male,No,No,No,1,Yes,Yes,DSL,Yes,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,95.07881609215605,95.07881609215605,6,M12
1721,f0258e80-6e47-11ec-ac64-acde48001122,Female,No,Yes,Yes,1,Yes,No phone service,DSL,No,No,Yes,Yes,No internet service,No,Month-to-month,No,Credit card (automatic),44.362122107223726,44.362122107223726,4,M12
620,ef19fa4e-6e47-11ec-ac64-acde48001122,Female,No,No,No,2,No,No,Fiber optic,No internet service,No internet service,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),51.96493886712966,129.33606100064833,4,M12
377,ed497ae6-6e47-11ec-ac64-acde48001122,Male,Yes,No,No,4,Yes,No,No,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),82.96304753856204,264.42094975428415,4,M12
5774,ef5b4c92-6e47-11ec-ac64-acde48001122,Male,No,Yes,No,2,Yes,No,Fiber optic,Yes,No,No,No,Yes,No internet service,One year,No,Electronic check,65.41821799397383,84.19753596310439,6,M12
525,ee4e851c-6e47-11ec-ac64-acde48001122,Male,No,No,No,3,Yes,No,Fiber optic,No,No,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,48.89063336999462,248.28293530903684,5,M12
1239,ef325904-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,2,Yes,No,DSL,No,No internet service,No,Yes,Yes,No,Two year,No,Credit card (automatic),95.95804655211785,141.07649128829016,4,M12
796,ee6a6f02-6e47-11ec-ac64-acde48001122,Male,No,No,Yes,3,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Mailed check,50.03824299465309,210.87777479806994,6,M12
3544,5647-URDKA,Male,No,Yes,Yes,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,30.05908991956769,1000.6156254604288,3,M12
865,ea83dafe-6e47-11ec-ac64-acde48001122,Female,Yes,No,No,7,Yes,No,DSL,No,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),69.4421500738373,563.4841070462076,6,M12
350,eeff76ba-6e47-11ec-ac64-acde48001122,Female,No,No,No,2,Yes,No,Fiber optic,No internet service,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),73.58286766901628,141.28994067038374,5,M12
4250,ee64be90-6e47-11ec-ac64-acde48001122,Female,No,No,Yes,3,Yes,Yes,No,No internet service,Yes,Yes,No internet service,No internet service,Yes,Two year,Yes,Credit card (automatic),101.42895242566193,306.39162091443217,3,M12
2567,efed115e-6e47-11ec-ac64-acde48001122,Female,No,No,No,1,Yes,No,No,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,111.53397738729771,111.53397738729771,3,M12
5732,ee5e901a-6e47-11ec-ac64-acde48001122,Female,No,Yes,Yes,3,Yes,Yes,No,No internet service,Yes,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),102.45242740882296,294.31931196933704,3,M12
5873,ed3fa3ae-6e47-11ec-ac64-acde48001122,Female,No,No,No,4,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,98.29313913106948,255.43410176537463,1,M12
5404,ee5b78bc-6e47-11ec-ac64-acde48001122,Female,No,No,No,3,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,75.6024757618924,225.68923003946125,4,M12
6630,ec5c6828-6e47-11ec-ac64-acde48001122,Male,No,No,Yes,5,Yes,No,Fiber optic,No,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),68.1241687338021,401.46715984606595,4,M12
5085,ef528ada-6e47-11ec-ac64-acde48001122,Female,No,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,73.99629766778827,110.91760412368765,4,M12
4674,ee616272-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,3,Yes,Yes,DSL,No,No,No internet service,No internet service,No,Yes,Month-to-month,No,Credit card (automatic),86.19143351846537,224.53126589642181,3,M12
4965,ee29d6d6-6e47-11ec-ac64-acde48001122,Male,No,No,Yes,3,Yes,Yes,No,No,No,Yes,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),97.72049150170209,208.06702203914483,4,M12
4494,ec63206e-6e47-11ec-ac64-acde48001122,Female,Yes,No,No,5,Yes,Yes,DSL,No internet service,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,98.61614442251725,369.24064365291423,2,M12
5124,e74172f2-6e47-11ec-ac64-acde48001122,Male,No,Yes,Yes,11,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,41.42896454537103,704.9114585481989,4,M12
5817,ed3f528c-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,68.54183380772895,281.88747264523766,4,M12
5092,ef4f8ec0-6e47-11ec-ac64-acde48001122,Female,No,No,No,2,Yes,Yes,No,No internet service,Yes,No internet service,Yes,Yes,No,One year,Yes,Electronic check,22.095706619517504,40.83566051589477,1,M12
5739,ed148b88-6e47-11ec-ac64-acde48001122,Female,Yes,No,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,No,No internet service,Yes,Two year,Yes,Electronic check,26.883799546694245,206.46162826553044,3,M12
6157,ed4d0fee-6e47-11ec-ac64-acde48001122,Male,No,Yes,No,4,Yes,Yes,DSL,No,Yes,No,No,Yes,No internet service,One year,No,Credit card (automatic),64.69712054350978,251.89153040979,3,M12
347,ef5c4804-6e47-11ec-ac64-acde48001122,Male,No,Yes,No,2,No,No,DSL,No,No internet service,No internet service,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),47.253266446022494,107.96258748746791,5,M12
3186,effbca14-6e47-11ec-ac64-acde48001122,Female,No,No,Yes,1,Yes,Yes,No,No,No,No,No,No,Yes,Two year,No,Bank transfer (automatic),102.75318328228242,102.75318328228242,7,M12
4364,ef09dcfe-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,2,Yes,No,DSL,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),90.49580272836124,113.15085197647775,3,M12
3542,ef2d1a48-6e47-11ec-ac64-acde48001122,Male,No,Yes,No,2,Yes,No,DSL,No,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Electronic check,109.23490695603653,201.78411271301232,4,M12
158,ee462cc8-6e47-11ec-ac64-acde48001122,Male,No,No,Yes,3,Yes,No,DSL,No,No internet service,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),28.578934796579475,103.19492632897628,6,M12
905,ef4537ae-6e47-11ec-ac64-acde48001122,Male,No,No,No,2,Yes,No phone service,DSL,No,No,No,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),112.5994897992097,193.80663626298917,6,M12
5792,ed3d324a-6e47-11ec-ac64-acde48001122,Male,No,No,No,4,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,Yes,One year,Yes,Mailed check,37.33534409855574,119.72159579364327,2,M12
961,e98a3850-6e47-11ec-ac64-acde48001122,Female,Yes,No,No,8,Yes,No,DSL,No,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Mailed check,41.93358522397651,551.3400323169489,2,M12
307,ee3325ba-6e47-11ec-ac64-acde48001122,Male,No,No,Yes,3,Yes,Yes,No,No internet service,No,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),109.80192700911235,230.1738793024366,4,M12
604,ee53619a-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,56.79957314418702,227.12305896617954,4,M12
2189,f043d0e8-6e47-11ec-ac64-acde48001122,Male,No,Yes,No,1,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No,No internet service,One year,No,Electronic check,77.21679208299668,77.21679208299668,7,M12
4718,eb493b32-6e47-11ec-ac64-acde48001122,Male,Yes,Yes,No,6,Yes,No,DSL,No internet service,No,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),117.76131636003117,418.9837463477071,4,M12
5416,ef511b1e-6e47-11ec-ac64-acde48001122,Male,No,Yes,No,2,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,91.87261991230375,124.8465090005818,5,M12
2820,efe948f8-6e47-11ec-ac64-acde48001122,Female,Yes,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Mailed check,109.38969716286074,109.38969716286074,5,M12
2520,eff0ed74-6e47-11ec-ac64-acde48001122,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,92.24872665589469,92.24872665589469,7,M12
2696,eff66682-6e47-11ec-ac64-acde48001122,Male,No,No,Yes,1,Yes,No,DSL,No,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),26.270929795605674,26.270929795605674,2,M12
6628,ef0110ce-6e47-11ec-ac64-acde48001122,Male,No,No,Yes,2,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,40.54243183581695,157.71928789796345,3,M12
3388,eb746b4a-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,Yes,Two year,Yes,Credit card (automatic),19.30716367894368,381.5111741500509,4,M12
5272,ee2ca8d4-6e47-11ec-ac64-acde48001122,Male,No,No,No,3,Yes,No,Fiber optic,No,No internet service,No,Yes,No,Yes,One year,No,Mailed check,31.656949034039663,115.80412699586353,4,M12
6456,ed36561e-6e47-11ec-ac64-acde48001122,Male,Yes,No,Yes,4,Yes,No,Fiber optic,No,No internet service,No internet service,No,No,Yes,Two year,No,Credit card (automatic),107.88452702659457,330.0864661346905,3,M12
2087,f0420fec-6e47-11ec-ac64-acde48001122,Female,No,No,No,1,Yes,Yes,No,Yes,Yes,No,No,No internet service,No internet service,One year,Yes,Mailed check,72.77389273415359,72.77389273415359,5,M12
6631,e98c8416-6e47-11ec-ac64-acde48001122,Female,Yes,Yes,No,8,Yes,No phone service,DSL,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,49.9773741711102,398.59790773126497,4,M12
2459,f0376c18-6e47-11ec-ac64-acde48001122,Female,No,No,No,1,Yes,No,DSL,Yes,No internet service,No internet service,Yes,No,No internet service,Two year,No,Electronic check,109.89773070148732,109.89773070148732,5,M12
3637,ec57ada6-6e47-11ec-ac64-acde48001122,Female,No,No,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,79.02302988815603,345.41055817300975,6,M12
579,ee39ec38-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,No internet service,No internet service,One year,Yes,Electronic check,69.59683775327736,233.22494122234735,3,M12
4363,ef02b29e-6e47-11ec-ac64-acde48001122,Female,Yes,No,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,One year,No,Electronic check,93.5127792190266,166.79937458266505,7,M12
6601,ee571eb6-6e47-11ec-ac64-acde48001122,Female,No,Yes,Yes,3,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,No,One year,No,Mailed check,68.89737475521432,192.1802257012224,3,M12
3717,e6fbd3c8-6e47-11ec-ac64-acde48001122,Female,No,No,No,11,No,Yes,No,No,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,47.16316156677729,761.2939753436975,3,M12
1781,f02dab38-6e47-11ec-ac64-acde48001122,Male,Yes,No,No,1,Yes,Yes,No,Yes,No internet service,Yes,No internet service,No,No,Month-to-month,No,Mailed check,97.98626749225818,97.98626749225818,4,M12
68,ef32b7aa-6e47-11ec-ac64-acde48001122,Female,Yes,No,No,2,Yes,No,DSL,No internet service,Yes,No,No,No,No,Month-to-month,No,Mailed check,61.19821130509251,82.74695294011781,5,M12
5537,ee3e7f82-6e47-11ec-ac64-acde48001122,Female,No,No,No,3,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,No,Month-to-month,No,Credit card (automatic),109.71568869619122,200.7817952167132,3,M12
4601,ee4320e6-6e47-11ec-ac64-acde48001122,Male,No,No,Yes,3,Yes,No,DSL,No,No,No,No,No internet service,No internet service,Month-to-month,No,Electronic check,39.37981424501455,163.33245569476384,3,M12
6408,ef36de3e-6e47-11ec-ac64-acde48001122,Male,No,No,Yes,2,Yes,No,Fiber optic,No,No internet service,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,71.10389098757064,186.23079498388717,1,M12
5052,ed541d70-6e47-11ec-ac64-acde48001122,Female,Yes,Yes,No,4,Yes,No,No,Yes,No,Yes,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),20.15748388827701,282.00302707142737,7,M12
5208,ee4fa1f4-6e47-11ec-ac64-acde48001122,Male,No,Yes,Yes,3,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),102.24866818388523,233.87144953395713,2,M12
635,ed276028-6e47-11ec-ac64-acde48001122,Female,No,No,Yes,4,No,No,DSL,Yes,No internet service,No,No,No,No,Month-to-month,Yes,Credit card (automatic),100.53407120304075,292.5052751606745,9,M12
3770,ef18edc0-6e47-11ec-ac64-acde48001122,Male,No,Yes,Yes,2,No,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),96.66402010070426,204.44114450064959,8,M12
5295,ef03cfee-6e47-11ec-ac64-acde48001122,Female,No,Yes,Yes,2,Yes,Yes,DSL,No,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,102.25866705630095,149.47872167641253,4,M12
1132,eb55d554-6e47-11ec-ac64-acde48001122,Male,No,Yes,No,6,Yes,No,DSL,Yes,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),27.82529240922854,483.2508558279721,6,M12
4312,ed0c46bc-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,68.84242239587098,223.1323589928862,7,M12
6331,ec56da66-6e47-11ec-ac64-acde48001122,Male,Yes,No,No,5,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),60.09577691821034,289.15355555462156,4,M12
915,ed093576-6e47-11ec-ac64-acde48001122,Female,No,No,No,4,Yes,No,No,No,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Electronic check,33.985776700929044,228.24602381288037,5,M12
1440,ec38b090-6e47-11ec-ac64-acde48001122,Female,No,Yes,No,5,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,88.01464802859566,272.15706928921736,6,M12
234,ef388540-6e47-11ec-ac64-acde48001122,Male,No,No,No,2,Yes,No,DSL,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,77.34218994893308,185.85095373543726,4,M12
3945,ec2c2244-6e47-11ec-ac64-acde48001122,Male,Yes,Yes,No,5,Yes,Yes,DSL,No,Yes,Yes,No,No,No internet service,One year,No,Credit card (automatic),25.14673597116142,244.2635912104705,2,M12
