,customerID,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn,tenure_bins,monthly_charges_bins
16,8191-XWSZG,Female,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0,"(50.4, 57.6]","(18.148999999999997, 28.3]"
17,9959-WOFKT,Male,No,No,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),0,"(64.8, 72.0]","(98.65, 108.7]"
18,4190-MFLUW,Female,No,Yes,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),1,"(7.2, 14.4]","(48.4, 58.45]"
19,4183-MYFRB,Female,No,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,0,"(14.4, 21.6]","(88.6, 98.65]"
20,8779-QRDMV,Male,Yes,No,No,No,No phone service,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,1,"(-0.073, 7.2]","(38.35, 48.4]"
21,1680-VDCWW,Male,No,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0,"(7.2, 14.4]","(18.148999999999997, 28.3]"
22,1066-JKSGK,Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1,"(-0.073, 7.2]","(18.148999999999997, 28.3]"
23,3638-WEABW,Female,No,Yes,No,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),0,"(57.6, 64.8]","(58.45, 68.5]"
24,6322-HRPFA,Male,No,Yes,Yes,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),0,"(43.2, 50.4]","(58.45, 68.5]"
25,6865-JZNKO,Female,No,No,No,Yes,No,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),0,"(28.8, 36.0]","(48.4, 58.45]"
26,6467-CHFZW,Male,No,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,"(43.2, 50.4]","(98.65, 108.7]"
27,8665-UTDHZ,Male,No,Yes,Yes,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,1,"(-0.073, 7.2]","(28.3, 38.35]"
28,5248-YGIJN,Male,No,Yes,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0,"(64.8, 72.0]","(88.6, 98.65]"
29,8773-HHUOZ,Female,No,No,Yes,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,1,"(14.4, 21.6]","(58.45, 68.5]"
30,3841-NFECX,Female,Yes,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),0,"(64.8, 72.0]","(88.6, 98.65]"
31,4929-XIHVW,Male,Yes,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0,"(-0.073, 7.2]","(88.6, 98.65]"
32,6827-IEAUQ,Female,No,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,0,"(21.6, 28.8]","(58.45, 68.5]"
33,7310-EGVHZ,Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),0,"(-0.073, 7.2]","(18.148999999999997, 28.3]"
34,3413-BMNZE,Male,Yes,No,No,Yes,No,DSL,No,No,No,No,No,No,One year,No,Bank transfer (automatic),0,"(-0.073, 7.2]","(38.35, 48.4]"
35,6234-RAAPL,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),0,"(64.8, 72.0]","(98.65, 108.7]"
36,6047-YHPVI,Male,No,No,No,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,1,"(-0.073, 7.2]","(68.5, 78.55]"
37,6572-ADKRS,Female,No,No,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),0,"(43.2, 50.4]","(68.5, 78.55]"
38,5380-WJKOV,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,"(28.8, 36.0]","(98.65, 108.7]"
39,8168-UQWWF,Female,No,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),1,"(7.2, 14.4]","(88.6, 98.65]"
40,8865-TNMNX,Male,No,Yes,Yes,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,0,"(7.2, 14.4]","(48.4, 58.45]"
41,9489-DEDVP,Female,No,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),0,"(64.8, 72.0]","(68.5, 78.55]"
42,9867-JCZSP,Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,0,"(14.4, 21.6]","(18.148999999999997, 28.3]"
43,4671-VJLCL,Female,No,No,No,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),0,"(57.6, 64.8]","(78.55, 88.6]"
44,4080-IIARD,Female,No,Yes,No,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,0,"(7.2, 14.4]","(68.5, 78.55]"
45,3714-NTNFO,Female,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,0,"(43.2, 50.4]","(78.55, 88.6]"
46,5948-UJZLF,Male,No,No,No,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,0,"(-0.073, 7.2]","(48.4, 58.45]"
47,7760-OYPDY,Female,No,No,No,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,1,"(-0.073, 7.2]","(78.55, 88.6]"
48,7639-LIAYI,Male,No,No,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0,"(50.4, 57.6]","(78.55, 88.6]"
49,2954-PIBKO,Female,No,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),0,"(64.8, 72.0]","(58.45, 68.5]"
50,8012-SOUDQ,Female,Yes,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,0,"(36.0, 43.2]","(88.6, 98.65]"
51,9420-LOJKX,Female,No,No,No,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1,"(14.4, 21.6]","(98.65, 108.7]"
52,6575-SUVOI,Female,Yes,Yes,No,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),0,"(21.6, 28.8]","(68.5, 78.55]"
53,7495-OOKFY,Female,Yes,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),1,"(7.2, 14.4]","(78.55, 88.6]"
54,4667-QONEA,Female,Yes,Yes,Yes,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),0,"(57.6, 64.8]","(68.5, 78.55]"
55,1658-BYGOY,Male,Yes,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,"(14.4, 21.6]","(88.6, 98.65]"
56,8769-KKTPH,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),0,"(57.6, 64.8]","(98.65, 108.7]"
57,5067-XJQFU,Male,Yes,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,0,"(64.8, 72.0]","(98.65, 108.7]"
58,3957-SQXML,Female,No,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0,"(28.8, 36.0]","(18.148999999999997, 28.3]"
59,5954-BDFSG,Female,No,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0,"(64.8, 72.0]","(98.65, 108.7]"
60,0434-CSFON,Female,No,Yes,No,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,0,"(43.2, 50.4]","(98.65, 108.7]"
61,1215-FIGMP,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),0,"(57.6, 64.8]","(88.6, 98.65]"
62,0526-SXDJP,Male,No,Yes,No,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),0,"(64.8, 72.0]","(38.35, 48.4]"
63,0557-ASKVU,Female,No,Yes,Yes,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),0,"(14.4, 21.6]","(48.4, 58.45]"
64,5698-BQJOH,Female,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,1,"(7.2, 14.4]","(88.6, 98.65]"
65,5122-CYFXA,Female,No,No,No,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,0,"(-0.073, 7.2]","(68.5, 78.55]"
66,8627-ZYGSZ,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,0,"(43.2, 50.4]","(78.55, 88.6]"
67,3410-YOQBQ,Female,No,No,No,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,0,"(28.8, 36.0]","(78.55, 88.6]"
68,3170-NMYVV,Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0,"(43.2, 50.4]","(18.148999999999997, 28.3]"
69,7410-OIEDU,Male,No,No,No,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Mailed check,0,"(7.2, 14.4]","(78.55, 88.6]"
70,2273-QCKXA,Male,No,No,No,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Mailed check,0,"(-0.073, 7.2]","(48.4, 58.45]"
71,0731-EBJQB,Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,0,"(50.4, 57.6]","(18.148999999999997, 28.3]"
72,1891-QRQSA,Male,Yes,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),0,"(57.6, 64.8]","(108.7, 118.75]"
73,8028-PNXHQ,Male,No,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0,"(57.6, 64.8]","(18.148999999999997, 28.3]"
74,5630-AHZIL,Female,No,No,Yes,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),0,"(-0.073, 7.2]","(58.45, 68.5]"
75,2673-CXQEU,Female,Yes,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,0,"(50.4, 57.6]","(108.7, 118.75]"
76,6416-JNVRK,Female,No,No,No,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),0,"(43.2, 50.4]","(48.4, 58.45]"
77,5590-ZSKRV,Female,No,Yes,Yes,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,0,"(7.2, 14.4]","(48.4, 58.45]"
78,0191-ZHSKZ,Male,Yes,No,No,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,0,"(28.8, 36.0]","(68.5, 78.55]"
79,3887-PBQAO,Female,No,Yes,Yes,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),0,"(43.2, 50.4]","(18.148999999999997, 28.3]"
80,5919-TMRGD,Female,No,No,Yes,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,1,"(-0.073, 7.2]","(78.55, 88.6]"
81,8108-UXRQN,Female,No,Yes,Yes,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,0,"(7.2, 14.4]","(48.4, 58.45]"
82,9191-MYQKX,Female,No,Yes,No,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),1,"(-0.073, 7.2]","(68.5, 78.55]"
83,9919-YLNNG,Female,No,No,No,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),0,"(36.0, 43.2]","(98.65, 108.7]"
84,0318-ZOPWS,Female,No,Yes,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0,"(43.2, 50.4]","(18.148999999999997, 28.3]"
85,4445-ZJNMU,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0,"(7.2, 14.4]","(98.65, 108.7]"
86,4808-YNLEU,Female,No,Yes,No,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),0,"(28.8, 36.0]","(58.45, 68.5]"
87,1862-QRWPE,Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0,"(43.2, 50.4]","(18.148999999999997, 28.3]"
88,2796-NNUFI,Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0,"(43.2, 50.4]","(18.148999999999997, 28.3]"
89,3016-KSVCP,Male,No,Yes,No,No,No phone service,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,0,"(28.8, 36.0]","(28.3, 38.35]"
90,4767-HZZHQ,Male,No,Yes,Yes,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),0,"(28.8, 36.0]","(78.55, 88.6]"
91,2424-WVHPL,Male,Yes,No,No,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,0,"(-0.073, 7.2]","(68.5, 78.55]"
92,7233-PAHHL,Male,No,Yes,Yes,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,0,"(64.8, 72.0]","(78.55, 88.6]"
93,6067-NGCEU,Female,No,No,No,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),0,"(64.8, 72.0]","(108.7, 118.75]"
94,9848-JQJTX,Male,No,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),0,"(64.8, 72.0]","(98.65, 108.7]"
95,8637-XJIVR,Female,No,No,No,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Electronic check,1,"(7.2, 14.4]","(78.55, 88.6]"
96,9803-FTJCG,Male,No,Yes,Yes,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),0,"(64.8, 72.0]","(58.45, 68.5]"
97,0278-YXOOG,Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1,"(-0.073, 7.2]","(18.148999999999997, 28.3]"
98,3212-KXOCR,Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),0,"(50.4, 57.6]","(18.148999999999997, 28.3]"
99,4598-XLKNJ,Female,Yes,Yes,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,1,"(21.6, 28.8]","(88.6, 98.65]"
100,6380-ARCEH,Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,"(-0.073, 7.2]","(18.148999999999997, 28.3]"
101,3679-XASPY,Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,0,"(-0.073, 7.2]","(18.148999999999997, 28.3]"
102,7123-WQUHX,Male,No,No,No,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),0,"(36.0, 43.2]","(88.6, 98.65]"
103,5386-THSLQ,Female,Yes,Yes,No,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),0,"(64.8, 72.0]","(38.35, 48.4]"
104,3192-NQECA,Male,No,Yes,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),1,"(64.8, 72.0]","(108.7, 118.75]"
105,6180-YBIQI,Male,No,No,No,No,No phone service,DSL,No,No,No,No,No,No,Two year,No,Mailed check,0,"(-0.073, 7.2]","(18.148999999999997, 28.3]"
106,6728-DKUCO,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,0,"(64.8, 72.0]","(98.65, 108.7]"
107,9750-BOOHV,Female,No,No,No,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,0,"(28.8, 36.0]","(28.3, 38.35]"
108,8597-CWYHH,Male,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,0,"(36.0, 43.2]","(88.6, 98.65]"
109,2848-YXSMW,Male,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),0,"(64.8, 72.0]","(18.148999999999997, 28.3]"
110,0486-HECZI,Male,No,Yes,No,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,1,"(50.4, 57.6]","(88.6, 98.65]"
111,4549-ZDQYY,Female,No,No,No,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),0,"(50.4, 57.6]","(48.4, 58.45]"
112,5712-AHQNN,Female,No,No,No,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,0,"(36.0, 43.2]","(88.6, 98.65]"
113,4846-WHAFZ,Female,Yes,Yes,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,"(36.0, 43.2]","(68.5, 78.55]"
114,5256-SKJGO,Female,No,Yes,Yes,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,0,"(57.6, 64.8]","(48.4, 58.45]"
115,3071-VBYPO,Male,No,Yes,Yes,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,0,"(-0.073, 7.2]","(88.6, 98.65]"
116,9560-BBZXK,Female,No,No,No,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),0,"(28.8, 36.0]","(28.3, 38.35]"
117,5299-RULOA,Female,No,Yes,Yes,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,1,"(7.2, 14.4]","(98.65, 108.7]"
118,8402-OOOHJ,Female,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0,"(36.0, 43.2]","(18.148999999999997, 28.3]"
119,9445-ZUEQE,Male,No,Yes,Yes,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),0,"(21.6, 28.8]","(78.55, 88.6]"
120,1091-SOZGA,Female,No,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),0,"(50.4, 57.6]","(98.65, 108.7]"
121,2928-HLDBA,Female,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,"(-0.073, 7.2]","(18.148999999999997, 28.3]"
122,0404-SWRVG,Male,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,1,"(-0.073, 7.2]","(68.5, 78.55]"
123,6497-TILVL,Female,No,Yes,Yes,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,0,"(-0.073, 7.2]","(48.4, 58.45]"
124,7219-TLZHO,Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0,"(-0.073, 7.2]","(18.148999999999997, 28.3]"
125,4622-YNKIJ,Male,No,No,No,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,0,"(28.8, 36.0]","(88.6, 98.65]"
126,4412-YLTKF,Female,Yes,No,No,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,1,"(21.6, 28.8]","(68.5, 78.55]"
127,6734-PSBAW,Male,No,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),0,"(64.8, 72.0]","(18.148999999999997, 28.3]"
128,3930-ZGWVE,Male,No,No,No,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,0,"(-0.073, 7.2]","(18.148999999999997, 28.3]"
129,2639-UGMAZ,Male,Yes,No,No,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,0,"(64.8, 72.0]","(48.4, 58.45]"
130,2876-GZYZC,Female,No,No,No,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,0,"(7.2, 14.4]","(78.55, 88.6]"
131,6207-WIOLX,Female,No,Yes,Yes,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1,"(21.6, 28.8]","(58.45, 68.5]"
132,8587-XYZSF,Male,No,No,No,Yes,No,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),0,"(64.8, 72.0]","(48.4, 58.45]"
133,3091-FYHKI,Male,No,No,No,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1,"(-0.073, 7.2]","(28.3, 38.35]"
134,2372-HWUHI,Male,No,No,No,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,1,"(-0.073, 7.2]","(38.35, 48.4]"
135,7799-LGRDP,Female,No,No,No,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),0,"(36.0, 43.2]","(18.148999999999997, 28.3]"
136,7850-VWJUU,Female,No,No,No,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),0,"(21.6, 28.8]","(68.5, 78.55]"
137,3774-VBNXY,Female,No,Yes,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,0,"(57.6, 64.8]","(18.148999999999997, 28.3]"
138,6217-KDYWC,Male,No,No,Yes,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,0,"(50.4, 57.6]","(18.148999999999997, 28.3]"
139,0390-DCFDQ,Female,Yes,Yes,No,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,1,"(-0.073, 7.2]","(68.5, 78.55]"
140,3146-MSEGF,Female,Yes,Yes,Yes,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),0,"(64.8, 72.0]","(78.55, 88.6]"
141,4080-OGPJL,Female,No,No,No,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,1,"(7.2, 14.4]","(68.5, 78.55]"
